# 78954 TBPB Grantley Adams Observations at 12Z 08 Jan 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1010.0,57.0,24.8,18.8,69.0,13.71,70,8,297.1,337.0,299.6
1007.0,81.0,24.8,17.8,65.0,12.9,67,10,297.4,334.9,299.7
1000.0,138.0,24.4,17.4,65.0,12.66,60,13,297.6,334.5,299.8
999.0,147.0,24.4,17.4,65.0,12.67,60,13,297.6,334.6,299.9
982.0,296.0,23.3,16.3,65.0,12.0,60,18,298.0,333.1,300.1
948.0,604.0,21.0,14.0,64.0,10.71,65,16,298.7,330.1,300.6
928.0,788.0,19.6,12.6,64.0,9.97,69,16,299.1,328.5,300.9
925.0,816.0,19.2,12.2,64.0,9.74,70,16,298.9,327.7,300.7
916.0,900.0,18.7,12.0,65.0,9.73,75,16,299.2,328.0,301.0
902.0,1032.0,17.8,11.8,68.0,9.73,73,15,299.6,328.4,301.4
850.0,1538.0,15.0,6.0,55.0,6.94,65,12,301.9,322.8,303.1
814.0,1903.0,12.8,0.8,44.0,5.01,68,8,303.3,318.7,304.2
795.0,2100.0,11.2,0.5,48.0,5.03,70,6,303.6,319.1,304.5
789.0,2163.0,10.7,0.4,49.0,5.03,95,3,303.7,319.2,304.6
786.0,2195.0,10.4,0.4,50.0,5.04,93,3,303.7,319.3,304.7
774.0,2323.0,9.6,-1.4,46.0,4.48,84,5,304.2,318.2,305.1
768.0,2388.0,9.6,-3.4,40.0,3.89,79,5,304.9,317.1,305.6
757.0,2507.0,11.2,-15.8,13.0,1.48,70,7,307.9,312.9,308.2
738.0,2719.0,10.5,-19.8,10.0,1.08,55,9,309.4,313.1,309.6
718.0,2947.0,9.8,-24.2,7.0,0.76,65,11,311.0,313.7,311.2
707.0,3075.0,9.8,-28.2,5.0,0.53,71,12,312.4,314.4,312.5
700.0,3157.0,9.8,-29.2,5.0,0.49,75,13,313.3,315.1,313.4
698.0,3181.0,9.7,-30.1,4.0,0.45,75,14,313.4,315.1,313.5
692.0,3252.0,9.4,-32.6,3.0,0.36,75,14,313.9,315.2,314.0
619.0,4164.0,2.0,-28.0,9.0,0.62,70,14,315.6,317.8,315.7
616.0,4203.0,1.9,-28.9,8.0,0.57,70,14,315.8,317.9,315.9
615.0,4217.0,1.8,-29.2,8.0,0.56,68,14,315.9,318.0,316.0
610.0,4282.0,1.8,-32.2,6.0,0.42,57,12,316.7,318.2,316.7
594.0,4493.0,0.6,-34.2,5.0,0.36,20,8,317.7,319.0,317.8
555.0,5032.0,-2.5,-39.4,4.0,0.23,345,11,320.3,321.2,320.3
503.0,5813.0,-6.9,-46.9,2.0,0.11,350,10,324.0,324.5,324.0
500.0,5860.0,-6.9,-48.9,2.0,0.09,350,10,324.6,324.9,324.6
493.0,5970.0,-6.7,-50.7,2.0,0.07,341,10,326.1,326.4,326.1
468.0,6369.0,-8.8,-52.2,2.0,0.07,310,8,328.4,328.7,328.4
427.0,7072.0,-12.5,-54.9,2.0,0.05,325,5,332.4,332.7,332.4
412.0,7347.0,-13.9,-55.9,2.0,0.05,342,17,334.0,334.2,334.0
409.0,7402.0,-14.2,-54.4,2.0,0.06,345,19,334.4,334.6,334.4
400.0,7570.0,-14.9,-49.9,3.0,0.1,335,25,335.5,336.0,335.6
369.0,8162.0,-19.3,-52.3,4.0,0.08,310,28,337.5,337.9,337.6
300.0,9680.0,-30.5,-58.5,5.0,0.05,310,43,342.3,342.5,342.3
295.0,9797.0,-31.5,-58.4,5.0,0.05,305,42,342.5,342.7,342.5
261.0,10650.0,-38.8,-57.6,12.0,0.06,295,53,344.1,344.3,344.1
250.0,10950.0,-41.3,-57.3,16.0,0.07,295,52,344.5,344.8,344.5
222.0,11733.0,-47.9,-59.6,25.0,0.06,275,46,346.3,346.5,346.3
200.0,12420.0,-53.7,-61.7,37.0,0.05,270,45,347.6,347.8,347.6
196.0,12549.0,-54.7,-62.7,36.0,0.04,270,44,348.0,348.2,348.0
158.0,13887.0,-64.4,-71.6,37.0,0.02,290,65,353.7,353.8,353.7
150.0,14210.0,-66.7,-73.7,37.0,0.01,295,66,355.0,355.1,355.0
147.0,14332.0,-67.5,-74.5,36.0,0.01,294,68,355.7,355.7,355.7
127.0,15195.0,-74.0,-79.3,44.0,0.01,290,81,359.1,359.1,359.1
124.0,15336.0,-75.1,-80.1,46.0,0.01,290,83,359.6,359.6,359.6
123.0,15383.0,-75.3,-80.5,45.0,0.01,290,83,360.0,360.0,360.0
116.0,15721.0,-77.1,-83.1,38.0,0.0,295,76,362.8,362.8,362.8
115.0,15770.0,-77.1,-83.1,38.0,0.0,296,74,363.7,363.7,363.7
109.0,16078.0,-77.1,-84.1,32.0,0.0,300,62,369.3,369.3,369.3
103.0,16401.0,-78.0,-84.4,35.0,0.0,305,50,373.6,373.6,373.6
100.0,16570.0,-78.5,-84.5,37.0,0.0,305,42,375.8,375.8,375.8
98.4,16662.0,-78.5,-84.5,37.0,0.0,306,41,377.6,377.6,377.6
85.4,17474.0,-76.7,-83.7,32.0,0.0,314,29,396.8,396.8,396.8
84.4,17542.0,-76.5,-82.5,38.0,0.01,314,28,398.5,398.6,398.5
78.4,17965.0,-78.5,-83.5,44.0,0.0,318,23,402.9,402.9,402.9
76.5,18105.0,-79.1,-84.1,44.0,0.0,320,21,404.4,404.5,404.4
76.0,18142.0,-79.0,-84.0,44.0,0.0,320,20,405.3,405.4,405.3
74.0,18294.0,-78.8,-83.8,44.0,0.0,340,19,408.9,408.9,408.9
72.7,18395.0,-78.7,-83.7,44.0,0.01,359,20,411.2,411.3,411.2
72.0,18450.0,-78.8,-83.8,44.0,0.0,10,21,412.0,412.1,412.0
70.0,18610.0,-79.3,-84.3,44.0,0.0,25,15,414.4,414.4,414.4
69.2,18675.0,-79.3,-84.3,44.0,0.0,29,15,415.8,415.8,415.8
66.6,18894.0,-77.5,-84.5,32.0,0.0,43,13,424.3,424.3,424.3
60.4,19456.0,-76.3,-82.3,38.0,0.01,79,10,438.9,439.0,438.9
51.0,20453.0,-68.8,-76.6,32.0,0.02,140,5,478.3,478.4,478.3
50.0,20570.0,-67.9,-75.9,31.0,0.03,175,9,483.1,483.2,483.1
47.0,20950.0,-66.5,-75.1,29.0,0.03,205,5,494.9,495.1,494.9
45.0,21218.0,-65.6,-74.6,28.0,0.03,260,5,503.4,503.6,503.4
43.0,21497.0,-64.6,-74.0,26.0,0.04,315,14,512.4,512.7,512.4
32.5,23218.0,-58.5,-70.5,20.0,0.09,239,23,571.4,572.0,571.4
32.0,23315.0,-58.7,-70.9,19.0,0.08,235,23,573.3,573.9,573.3
30.0,23720.0,-59.7,-72.7,17.0,0.07,250,13,581.3,581.9,581.3
20.0,26300.0,-51.3,-74.3,5.0,0.08,245,35,678.4,679.2,678.4
17.7,27094.0,-50.9,-77.9,3.0,0.05,251,31,703.8,704.3,703.8
16.5,27551.0,-50.3,-77.3,3.0,0.06,254,28,720.0,720.6,720.0
15.9,27793.0,-50.7,-77.7,3.0,0.06,256,27,726.3,727.0,726.3
13.8,28719.0,-48.7,-75.7,3.0,0.1,262,22,763.1,764.2,763.1
13.2,29012.0,-47.9,-76.9,2.0,0.08,264,21,775.6,776.5,775.6
13.0,,,,,,265,20,,,
