# 01004 ENAS Ny-Alesund Ii Observations at 12Z 14 Jan 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1000.0,6.0,,,,,,,,,
999.0,8.0,-11.5,-18.5,56.0,0.9,130.0,8.0,261.7,264.3,261.9
989.0,86.0,-10.3,-18.3,52.0,0.92,122.0,8.0,263.7,266.3,263.8
925.0,602.0,-13.9,-18.9,66.0,0.93,70.0,6.0,265.1,267.8,265.2
850.0,1237.0,-18.5,-23.5,65.0,0.68,10.0,12.0,266.8,268.8,266.9
844.0,1289.0,-18.9,-23.8,65.0,0.67,15.0,10.0,266.9,268.9,267.0
741.0,2247.0,-26.1,-29.1,76.0,0.47,15.0,7.0,269.1,270.6,269.2
722.0,2435.0,-27.1,-31.5,66.0,0.38,15.0,6.0,270.1,271.2,270.1
712.0,2536.0,-26.5,-31.5,63.0,0.39,15.0,6.0,271.8,273.0,271.9
708.0,2577.0,-26.3,-36.3,38.0,0.24,15.0,6.0,272.4,273.2,272.5
706.0,2597.0,-26.3,-34.3,47.0,0.3,15.0,6.0,272.7,273.6,272.7
702.0,2638.0,-26.5,-30.5,69.0,0.43,15.0,6.0,272.9,274.2,273.0
700.0,2659.0,-26.7,-30.7,69.0,0.43,15.0,6.0,272.9,274.2,273.0
692.0,2742.0,-27.3,-31.0,71.0,0.42,5.0,5.0,273.1,274.4,273.2
644.0,3254.0,-30.3,-36.3,56.0,0.27,300.0,3.0,275.4,276.2,275.4
628.0,3431.0,-31.9,-38.9,50.0,0.21,278.0,3.0,275.6,276.2,275.6
576.0,4032.0,-37.2,-41.5,65.0,0.18,200.0,0.0,276.2,276.8,276.2
570.0,4104.0,-37.9,-41.8,67.0,0.17,207.0,1.0,276.2,276.8,276.3
558.0,4250.0,-38.9,-45.9,47.0,0.11,220.0,2.0,276.7,277.1,276.8
519.0,4741.0,-43.1,-48.1,58.0,0.09,266.0,6.0,277.5,277.8,277.5
500.0,4990.0,-44.3,-51.3,46.0,0.07,290.0,8.0,279.0,279.2,279.0
496.0,5043.0,-44.7,-51.4,47.0,0.07,295.0,10.0,279.2,279.4,279.2
485.0,5192.0,-45.7,-51.7,50.0,0.07,280.0,17.0,279.7,279.9,279.7
438.0,5870.0,-50.3,-53.1,72.0,0.06,254.0,11.0,282.1,282.4,282.1
431.0,5975.0,-51.0,-54.9,63.0,0.05,250.0,10.0,282.6,282.8,282.6
425.0,6066.0,-51.5,-56.5,55.0,0.04,230.0,10.0,283.0,283.2,283.0
417.0,6190.0,-52.3,-58.6,46.0,0.03,260.0,10.0,283.5,283.7,283.6
413.0,6253.0,-52.7,-59.7,42.0,0.03,254.0,9.0,283.8,283.9,283.8
400.0,6460.0,-53.1,-61.1,37.0,0.03,235.0,6.0,285.9,286.0,285.9
393.0,6574.0,-53.4,-64.5,25.0,0.02,205.0,12.0,286.9,287.0,286.9
391.0,6607.0,-53.5,-65.5,22.0,0.01,199.0,10.0,287.2,287.3,287.2
377.0,6841.0,-54.4,-66.4,21.0,0.01,160.0,0.0,289.0,289.1,289.0
370.0,6961.0,-54.9,-66.9,21.0,0.01,190.0,10.0,289.9,290.0,289.9
369.0,6979.0,-54.9,-67.0,21.0,0.01,200.0,10.0,290.2,290.2,290.2
352.0,7281.0,-54.9,-68.8,16.0,0.01,205.0,19.0,294.1,294.2,294.1
351.0,7299.0,-54.9,-68.9,16.0,0.01,206.0,19.0,294.4,294.4,294.4
346.0,7390.0,-55.1,-69.3,16.0,0.01,210.0,17.0,295.2,295.3,295.2
333.0,7635.0,-55.8,-70.3,15.0,0.01,190.0,16.0,297.6,297.6,297.6
319.0,7909.0,-56.5,-71.5,14.0,0.01,225.0,12.0,300.2,300.3,300.2
316.0,7969.0,-56.7,-71.7,13.0,0.01,221.0,12.0,300.8,300.9,300.8
309.0,8112.0,-56.0,-72.7,11.0,0.01,210.0,12.0,303.7,303.7,303.7
303.0,8237.0,-55.4,-73.6,9.0,0.01,185.0,10.0,306.3,306.3,306.3
300.0,8300.0,-55.1,-74.1,8.0,0.01,205.0,10.0,307.6,307.6,307.6
299.0,8321.0,-55.1,-74.2,8.0,0.01,215.0,10.0,307.9,307.9,307.9
261.0,9186.0,-54.0,-77.6,4.0,0.0,170.0,10.0,321.6,321.6,321.6
257.0,9284.0,-53.9,-78.0,4.0,0.0,180.0,12.0,323.2,323.2,323.2
250.0,9460.0,-53.7,-78.7,3.0,0.0,170.0,8.0,326.1,326.1,326.1
207.0,10670.0,-53.2,-80.7,2.0,0.0,65.0,0.0,345.0,345.0,345.0
200.0,10890.0,-53.1,-81.1,2.0,0.0,100.0,4.0,348.5,348.5,348.5
188.0,11290.0,-52.9,-81.5,2.0,0.0,65.0,10.0,355.1,355.1,355.1
164.0,12173.0,-52.4,-82.5,1.0,0.0,350.0,10.0,370.0,370.0,370.0
160.0,12333.0,-52.3,-82.7,1.0,0.0,20.0,16.0,372.8,372.8,372.8
157.0,12455.0,-52.3,-82.8,1.0,0.0,45.0,12.0,374.9,374.9,374.9
155.0,12538.0,-52.2,-82.9,1.0,0.0,60.0,10.0,376.4,376.4,376.4
152.0,12664.0,-52.1,-83.0,1.0,0.0,35.0,2.0,378.6,378.6,378.6
