# 48698 WSSS Singapore Observations at 12Z 26 Jan 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1009.0,16,27.8,21.8,70,16.6,60.0,5.0,300.2,349.0,303.2
1000.0,104,26.6,21.6,74,16.54,40.0,11.0,299.8,348.3,302.7
996.0,139,26.3,21.5,75,16.48,35.0,14.0,299.8,348.2,302.7
955.0,508,22.8,20.2,86,15.91,30.0,17.0,299.9,346.6,302.7
938.0,665,21.3,19.7,91,15.67,5.0,17.0,299.9,345.9,302.7
928.0,759,20.4,19.4,94,15.53,9.0,16.0,299.9,345.5,302.7
925.0,787,20.4,18.4,88,14.62,10.0,16.0,300.2,343.2,302.8
913.0,900,19.8,18.1,90,14.54,15.0,22.0,300.7,343.6,303.3
869.0,1325,17.6,17.0,96,14.24,350.0,14.0,302.7,345.0,305.2
861.0,1405,17.2,16.8,98,14.18,329.0,12.0,303.0,345.3,305.6
856.0,1455,17.1,16.5,96,13.97,315.0,11.0,303.4,345.1,306.0
850.0,1515,17.0,16.1,94,13.73,315.0,10.0,303.9,345.0,306.4
827.0,1749,15.2,15.2,100,13.31,306.0,7.0,304.4,344.3,306.9
825.0,1770,15.1,15.0,99,13.19,305.0,7.0,304.6,344.1,307.0
794.0,2095,14.2,12.2,88,11.4,265.0,15.0,307.0,341.6,309.1
786.0,2181,14.0,11.5,85,10.96,270.0,14.0,307.6,341.0,309.6
769.0,2365,13.1,11.2,88,11.02,280.0,13.0,308.6,342.3,310.6
752.0,2554,12.2,11.0,92,11.08,256.0,12.0,309.6,343.6,311.6
744.0,2643,11.6,10.5,93,10.85,245.0,12.0,309.9,343.2,311.9
725.0,2859,10.2,9.4,95,10.29,255.0,12.0,310.6,342.4,312.5
706.0,3081,8.7,8.2,97,9.74,235.0,11.0,311.3,341.5,313.1
700.0,3152,8.2,7.8,97,9.57,235.0,13.0,311.5,341.3,313.3
690.0,3271,7.2,7.2,100,9.32,255.0,14.0,311.7,340.7,313.4
682.0,3368,7.6,5.0,84,8.11,220.0,15.0,313.2,338.7,314.7
665.0,3576,8.4,0.4,57,5.96,256.0,14.0,316.4,335.6,317.5
661.0,3626,8.2,0.2,57,5.9,265.0,14.0,316.7,335.7,317.8
647.0,3803,7.4,-0.6,57,5.69,269.0,13.0,317.7,336.2,318.8
630.0,4021,5.9,-1.0,61,5.69,275.0,12.0,318.5,337.0,319.6
609.0,4299,4.0,-1.4,67,5.69,240.0,10.0,319.4,338.0,320.5
602.0,4394,3.4,-1.6,70,5.69,253.0,10.0,319.7,338.3,320.8
574.0,4778,1.6,-5.8,58,4.36,305.0,10.0,322.0,336.6,322.9
564.0,4920,1.0,-7.3,54,3.94,295.0,12.0,322.9,336.1,323.6
547.0,5167,-0.2,-10.0,48,3.29,315.0,13.0,324.3,335.6,325.0
545.0,5196,-0.3,-10.3,47,3.22,313.0,12.0,324.5,335.6,325.1
528.0,5448,-2.3,-10.9,52,3.16,300.0,5.0,325.1,335.9,325.7
508.0,5755,-4.7,-11.7,58,3.09,307.0,9.0,325.8,336.4,326.4
501.0,5864,-5.4,-14.2,50,2.57,310.0,10.0,326.2,335.2,326.7
500.0,5880,-5.5,-14.5,49,2.5,320.0,8.0,326.3,335.0,326.8
478.0,6232,-7.7,-23.7,26,1.19,40.0,9.0,327.8,332.1,328.0
474.0,6297,-7.7,-18.7,41,1.85,55.0,10.0,328.6,335.2,328.9
472.0,6330,-8.1,-12.1,73,3.22,62.0,10.0,328.5,339.6,329.1
470.0,6363,-8.2,-13.7,65,2.84,70.0,10.0,328.7,338.7,329.3
468.0,6396,-8.3,-15.3,57,2.5,72.0,10.0,329.0,337.8,329.5
440.0,6873,-11.6,-14.7,78,2.8,95.0,14.0,330.7,340.6,331.2
436.0,6943,-12.1,-14.6,82,2.84,93.0,14.0,330.9,341.0,331.5
427.0,7103,-12.5,-18.5,61,2.09,88.0,13.0,332.4,339.9,332.8
422.0,7193,-12.9,-16.9,72,2.42,85.0,12.0,333.0,341.6,333.4
420.0,7229,-13.1,-16.3,77,2.56,92.0,12.0,333.2,342.4,333.7
413.0,7357,-13.7,-17.4,74,2.38,115.0,10.0,334.0,342.6,334.5
400.0,7600,-14.9,-19.4,69,2.07,125.0,10.0,335.5,343.1,336.0
385.0,7887,-16.5,-22.1,62,1.7,130.0,9.0,337.1,343.4,337.5
367.0,8246,-18.5,-25.5,54,1.32,129.0,14.0,339.1,344.1,339.4
366.0,8266,-18.7,-24.7,59,1.42,129.0,14.0,339.1,344.4,339.4
333.0,8961,-24.1,-30.1,58,0.95,126.0,24.0,341.0,344.7,341.2
322.0,9203,-26.4,-30.1,71,0.98,125.0,27.0,341.1,345.0,341.4
311.0,9454,-28.7,-30.0,89,1.02,116.0,25.0,341.3,345.2,341.5
304.0,9616,-29.9,-31.8,84,0.88,110.0,23.0,341.8,345.2,341.9
302.0,9663,-30.3,-32.3,83,0.85,112.0,24.0,341.9,345.2,342.1
300.0,9710,-30.7,-33.6,76,0.75,115.0,25.0,342.0,345.0,342.1
288.0,9999,-32.3,-41.3,40,0.36,118.0,23.0,343.7,345.2,343.8
263.0,10632,-37.3,-50.3,25,0.15,124.0,19.0,345.4,346.1,345.5
261.0,10685,-37.8,-49.7,28,0.16,125.0,19.0,345.5,346.2,345.6
250.0,10980,-40.3,-46.3,53,0.24,135.0,23.0,346.0,347.0,346.1
248.0,11035,-40.3,-54.3,21,0.1,134.0,23.0,346.8,347.2,346.8
244.0,11145,-41.3,-62.3,8,0.04,131.0,24.0,346.9,347.1,346.9
240.0,11257,-42.1,-53.1,29,0.11,128.0,24.0,347.4,347.9,347.4
239.0,11286,-42.5,-61.5,11,0.04,128.0,24.0,347.2,347.4,347.2
208.0,12206,-51.2,-59.6,36,0.06,105.0,29.0,347.6,347.9,347.6
207.0,12237,-51.5,-59.5,38,0.06,104.0,30.0,347.6,347.9,347.6
200.0,12460,-52.9,-63.9,25,0.04,100.0,38.0,348.8,349.0,348.8
182.0,13061,-58.3,-68.3,27,0.02,103.0,44.0,349.6,349.7,349.6
154.0,14092,-66.9,-71.0,56,0.02,109.0,54.0,352.0,352.1,352.0
150.0,14250,-68.3,-72.5,55,0.01,110.0,56.0,352.2,352.3,352.2
