# 10410 EDZE Essen Observations at 12Z 30 Jan 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1000.0,-60.0,,,,,,,,,
974.0,147.0,-1.1,-1.9,94.0,3.43,25.0,4.0,274.1,283.6,274.7
973.0,155.0,-1.1,-1.9,94.0,3.42,45.0,4.0,274.1,283.6,274.7
935.0,474.0,-3.0,-3.4,97.0,3.19,125.0,12.0,275.4,284.3,275.9
925.0,560.0,-3.5,-3.8,98.0,3.13,140.0,14.0,275.7,284.5,276.2
889.0,873.0,-5.5,-5.5,100.0,2.87,170.0,19.0,276.8,284.9,277.3
850.0,1225.0,-6.7,-6.7,100.0,2.74,200.0,10.0,279.1,287.0,279.6
828.0,1429.0,-7.3,-7.5,98.0,2.64,140.0,4.0,280.6,288.2,281.1
798.0,1717.0,-8.1,-8.6,96.0,2.51,131.0,7.0,282.7,290.1,283.1
777.0,1922.0,-9.2,-9.8,95.0,2.35,125.0,10.0,283.7,290.6,284.1
750.0,2194.0,-10.7,-11.4,94.0,2.14,145.0,14.0,285.0,291.4,285.4
709.0,2627.0,-13.0,-13.9,93.0,1.85,135.0,17.0,287.0,292.6,287.4
700.0,2725.0,-13.5,-14.5,92.0,1.78,140.0,17.0,287.5,292.9,287.8
680.0,2945.0,-14.5,-14.9,97.0,1.78,185.0,12.0,288.8,294.3,289.1
672.0,3035.0,-14.9,-15.0,99.0,1.78,182.0,13.0,289.3,294.8,289.6
670.0,3058.0,-14.9,-15.0,99.0,1.79,182.0,13.0,289.6,295.1,289.9
652.0,3264.0,-16.7,-16.7,100.0,1.6,176.0,15.0,289.8,294.7,290.1
619.0,3651.0,-19.5,-19.7,98.0,1.31,165.0,19.0,290.9,295.1,291.2
607.0,3798.0,-20.5,-20.8,97.0,1.21,170.0,20.0,291.4,295.2,291.6
605.0,3822.0,-20.7,-22.4,86.0,1.05,171.0,21.0,291.4,294.8,291.6
602.0,3859.0,-20.5,-35.5,25.0,0.31,172.0,21.0,292.1,293.1,292.1
571.0,4247.0,-23.0,-40.3,19.0,0.2,185.0,23.0,293.6,294.4,293.7
550.0,4523.0,-24.7,-43.7,15.0,0.15,179.0,25.0,294.7,295.3,294.8
521.0,4915.0,-27.5,-43.5,20.0,0.16,171.0,27.0,295.9,296.5,296.0
500.0,5210.0,-29.7,-34.3,64.0,0.42,165.0,29.0,296.8,298.2,296.8
496.0,5267.0,-30.2,-34.8,64.0,0.4,165.0,29.0,296.9,298.3,296.9
495.0,5281.0,-30.3,-34.9,64.0,0.4,165.0,29.0,296.9,298.3,297.0
490.0,5353.0,-30.1,-31.2,90.0,0.58,165.0,30.0,298.0,300.0,298.1
463.0,5752.0,-32.3,-35.8,71.0,0.39,167.0,34.0,300.1,301.5,300.2
429.0,6282.0,-36.7,-40.7,66.0,0.26,168.0,40.0,301.1,302.1,301.2
400.0,6760.0,-40.9,-43.9,73.0,0.2,170.0,45.0,301.8,302.5,301.8
374.0,7216.0,-44.7,-45.7,90.0,0.17,171.0,49.0,302.6,303.2,302.6
364.0,7397.0,-46.3,-50.5,62.0,0.1,172.0,50.0,302.8,303.2,302.8
338.0,7888.0,-50.5,-52.3,81.0,0.09,173.0,55.0,303.5,303.9,303.6
320.0,8244.0,-53.5,-56.5,70.0,0.06,174.0,58.0,304.2,304.4,304.2
302.0,8617.0,-54.9,-61.9,42.0,0.03,175.0,62.0,307.3,307.4,307.3
300.0,8660.0,-55.5,-61.5,47.0,0.03,175.0,62.0,307.0,307.1,307.0
296.0,8744.0,-56.1,-61.7,49.0,0.03,175.0,64.0,307.3,307.4,307.3
