# 01004 ENAS Ny-Alesund Ii Observations at 12Z 01 Feb 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1024.0,8.0,-2.1,-6.7,71.0,2.27,115,10,269.2,275.5,269.6
1013.0,99.0,-1.7,-7.7,64.0,2.12,115,12,270.4,276.4,270.8
1000.0,208.0,-2.5,-7.5,69.0,2.19,115,16,270.6,276.8,271.0
971.0,440.0,-4.0,-8.6,71.0,2.07,105,12,271.4,277.3,271.8
925.0,822.0,-6.5,-10.3,74.0,1.9,150,4,272.7,278.1,273.0
893.0,1095.0,-8.4,-12.2,74.0,1.69,175,12,273.4,278.3,273.7
869.0,1306.0,-9.9,-13.6,74.0,1.54,140,12,274.0,278.5,274.3
850.0,1478.0,-11.1,-14.8,74.0,1.43,140,8,274.5,278.7,274.7
831.0,1651.0,-12.7,-15.0,83.0,1.44,135,10,274.6,278.8,274.9
826.0,1697.0,-13.1,-15.1,85.0,1.44,118,10,274.6,278.9,274.9
818.0,1771.0,-13.4,-16.3,79.0,1.31,90,10,275.1,278.9,275.3
801.0,1931.0,-14.1,-19.0,66.0,1.07,82,8,276.0,279.2,276.2
729.0,2633.0,-20.7,-22.1,88.0,0.89,45,0,276.3,279.1,276.5
700.0,2936.0,-23.5,-23.5,100.0,0.83,60,4,276.4,278.9,276.6
693.0,3009.0,-24.1,-24.1,100.0,0.79,69,4,276.6,279.0,276.7
689.0,3052.0,-21.5,-25.0,73.0,0.73,75,3,279.9,282.2,280.0
669.0,3268.0,-22.7,-27.0,68.0,0.63,102,3,280.9,282.9,281.0
656.0,3411.0,-23.8,-27.2,74.0,0.63,120,2,281.2,283.2,281.4
655.0,3422.0,-23.9,-27.2,74.0,0.63,123,3,281.3,283.3,281.4
641.0,3580.0,-24.3,-29.9,60.0,0.5,165,14,282.6,284.2,282.7
633.0,3671.0,-24.5,-31.5,52.0,0.44,133,10,283.4,284.8,283.4
631.0,3694.0,-24.5,-33.7,43.0,0.36,125,10,283.6,284.8,283.6
620.0,3822.0,-24.7,-45.7,12.0,0.1,134,9,284.8,285.2,284.8
619.0,3834.0,-24.7,-45.7,12.0,0.1,134,9,284.9,285.3,285.0
534.0,4885.0,-34.7,-41.7,49.0,0.19,207,7,285.3,285.9,285.3
512.0,5177.0,-36.9,-50.9,22.0,0.07,228,6,286.1,286.3,286.1
500.0,5340.0,-38.5,-48.5,34.0,0.09,240,6,286.0,286.4,286.1
454.0,5984.0,-44.7,-51.3,48.0,0.08,20,2,286.3,286.6,286.3
429.0,6362.0,-48.3,-52.9,59.0,0.07,315,12,286.4,286.6,286.4
423.0,6455.0,-49.2,-53.3,62.0,0.06,325,16,286.4,286.6,286.4
417.0,6551.0,-50.1,-53.7,66.0,0.06,310,13,286.4,286.6,286.4
413.0,6613.0,-50.6,-54.5,63.0,0.06,300,12,286.5,286.7,286.5
