# 48698 WSSS Singapore Observations at 12Z 03 Feb 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1008.0,16,29.2,23.2,70,18.13,55.0,6.0,301.7,355.4,304.9
1000.0,64,28.4,21.4,66,16.33,35.0,10.0,301.6,349.9,304.5
937.0,664,22.8,20.5,87,16.49,30.0,19.0,301.5,350.3,304.5
931.0,723,22.7,19.1,80,15.14,30.0,20.0,302.0,346.8,304.7
925.0,782,22.6,17.6,73,13.88,30.0,20.0,302.4,343.7,304.9
882.0,1196,20.0,16.1,78,13.22,13.0,16.0,303.9,343.4,306.3
876.0,1255,20.1,15.0,72,12.36,10.0,15.0,304.6,341.7,306.8
872.0,1295,20.2,14.2,68,11.81,12.0,15.0,305.1,340.6,307.2
851.0,1505,18.5,14.5,78,12.33,25.0,12.0,305.4,342.6,307.6
850.0,1515,18.4,14.5,78,12.36,25.0,11.0,305.4,342.7,307.7
836.0,1656,17.6,14.0,80,12.2,5.0,11.0,306.0,342.9,308.2
791.0,2124,14.8,12.5,86,11.65,85.0,1.0,307.9,343.4,310.1
771.0,2341,13.6,11.8,89,11.4,60.0,10.0,308.8,343.7,310.9
759.0,2473,12.8,11.4,91,11.25,45.0,13.0,309.4,343.9,311.5
746.0,2620,11.9,10.9,93,11.09,55.0,15.0,310.0,344.1,312.0
726.0,2850,10.6,10.1,97,10.83,45.0,12.0,310.9,344.4,312.9
714.0,2991,9.7,9.7,100,10.68,65.0,12.0,311.5,344.5,313.5
712.0,3014,9.6,9.6,100,10.65,66.0,12.0,311.6,344.6,313.6
700.0,3156,10.2,6.7,79,8.87,70.0,15.0,313.8,341.6,315.4
698.0,3180,10.4,6.5,77,8.77,72.0,15.0,314.2,341.9,315.9
695.0,3216,10.2,6.2,76,8.61,75.0,15.0,314.4,341.6,316.1
685.0,3336,9.7,5.1,73,8.08,60.0,12.0,315.2,340.8,316.7
662.0,3620,8.6,2.4,65,6.94,80.0,14.0,316.9,339.2,318.3
650.0,3772,7.9,1.0,62,6.39,60.0,12.0,317.9,338.5,319.1
648.0,3798,7.8,0.8,61,6.3,64.0,12.0,318.0,338.4,319.2
640.0,3899,7.2,0.2,61,6.09,80.0,12.0,318.4,338.2,319.6
574.0,4784,1.7,-5.3,60,4.52,75.0,12.0,322.1,337.2,323.0
564.0,4927,0.8,-6.2,59,4.31,50.0,11.0,322.7,337.1,323.6
549.0,5147,-0.5,-7.5,59,3.99,63.0,10.0,323.6,337.1,324.4
535.0,5353,-1.9,-4.3,84,5.23,75.0,10.0,324.3,341.8,325.4
520.0,5580,-2.7,-9.7,59,3.54,102.0,9.0,326.0,338.1,326.7
500.0,5890,-4.9,-8.7,75,3.99,140.0,7.0,327.0,340.6,327.8
499.0,5906,-5.1,-8.7,76,3.99,141.0,7.0,326.9,340.6,327.7
485.0,6129,-5.9,-12.9,58,2.94,160.0,6.0,328.6,338.9,329.2
480.0,6210,-5.9,-19.9,32,1.65,167.0,6.0,329.6,335.6,329.9
461.0,6526,-6.7,-24.7,22,1.13,194.0,5.0,332.4,336.6,332.7
460.0,6543,-6.8,-24.7,23,1.13,195.0,5.0,332.5,336.7,332.8
443.0,6836,-8.3,-25.3,24,1.11,159.0,7.0,334.2,338.4,334.4
423.0,7193,-11.3,-18.3,56,2.15,115.0,10.0,334.8,342.6,335.3
412.0,7394,-12.5,-24.7,35,1.26,90.0,11.0,335.8,340.5,336.0
400.0,7620,-13.9,-31.9,20,0.66,125.0,8.0,336.8,339.4,337.0
399.0,7639,-14.1,-33.1,18,0.59,127.0,8.0,336.8,339.1,336.9
383.0,7946,-16.1,-33.3,21,0.61,165.0,10.0,338.1,340.5,338.2
365.0,8307,-18.5,-33.5,26,0.62,160.0,11.0,339.6,342.1,339.8
348.0,8658,-21.5,-40.1,17,0.34,115.0,12.0,340.2,341.6,340.3
337.0,8894,-23.5,-44.5,13,0.22,115.0,11.0,340.6,341.6,340.7
330.0,9046,-24.9,-41.7,19,0.3,115.0,10.0,340.8,342.0,340.8
327.0,9113,-25.5,-40.5,23,0.34,105.0,10.0,340.8,342.2,340.9
324.0,9179,-26.1,-33.1,52,0.73,95.0,10.0,340.9,343.8,341.1
323.0,9202,-26.1,-33.1,52,0.73,92.0,10.0,341.2,344.1,341.4
314.0,9405,-27.5,-44.5,18,0.23,62.0,10.0,342.0,343.0,342.1
309.0,9519,-28.4,-45.4,18,0.21,45.0,10.0,342.3,343.2,342.4
301.0,9706,-29.9,-46.9,18,0.19,35.0,16.0,342.8,343.6,342.8
300.0,9730,-30.1,-47.1,17,0.18,30.0,15.0,342.8,343.6,342.9
299.0,9754,-30.3,-50.3,12,0.13,29.0,15.0,342.9,343.4,342.9
290.0,9971,-32.3,-49.3,17,0.15,21.0,13.0,343.0,343.7,343.1
288.0,10019,-32.5,-42.5,36,0.32,19.0,13.0,343.4,344.8,343.5
279.0,10239,-34.4,-43.5,39,0.29,10.0,11.0,343.8,345.0,343.9
260.0,10728,-38.7,-45.8,47,0.24,25.0,13.0,344.5,345.5,344.5
254.0,10890,-40.1,-46.6,50,0.23,55.0,10.0,344.7,345.7,344.7
250.0,11000,-41.1,-47.1,52,0.22,75.0,8.0,344.8,345.8,344.9
242.0,11221,-43.1,-50.1,46,0.16,93.0,9.0,345.0,345.8,345.1
235.0,11418,-44.9,-49.9,57,0.17,109.0,9.0,345.2,346.0,345.3
231.0,11533,-45.7,-48.9,70,0.19,118.0,9.0,345.7,346.6,345.8
227.0,11650,-46.7,-57.7,27,0.07,128.0,10.0,345.9,346.2,345.9
224.0,11738,-47.3,-53.6,48,0.12,135.0,10.0,346.3,346.8,346.3
223.0,11768,-47.5,-52.2,58,0.14,135.0,10.0,346.4,347.1,346.5
217.0,11948,-49.1,-52.4,68,0.14,138.0,11.0,346.7,347.3,346.7
203.0,12383,-52.7,-55.4,72,0.1,145.0,13.0,347.7,348.1,347.7
200.0,12480,-53.5,-56.1,73,0.1,145.0,12.0,347.9,348.3,347.9
183.0,13043,-58.8,-60.3,82,0.06,130.0,13.0,348.3,348.5,348.3
182.0,13078,-59.1,-60.6,83,0.06,123.0,12.0,348.3,348.6,348.3
180.0,13147,-59.7,-61.9,75,0.05,110.0,10.0,348.4,348.6,348.4
174.0,13358,-61.1,-66.1,51,0.03,110.0,15.0,349.5,349.6,349.5
164.0,13721,-64.5,-69.5,50,0.02,85.0,18.0,349.7,349.8,349.8
162.0,13796,-65.1,-69.9,52,0.02,80.0,19.0,349.9,350.0,349.9
156.0,14025,-67.1,-71.1,57,0.02,87.0,26.0,350.4,350.4,350.4
150.0,14260,-68.3,-74.3,42,0.01,95.0,34.0,352.2,352.3,352.2
138.0,14754,-71.4,-82.0,19,0.0,90.0,54.0,355.2,355.2,355.2
137.0,14798,-71.7,-82.7,18,0.0,92.0,51.0,355.5,355.5,355.5
133.0,14973,-68.9,-83.9,10,0.0,100.0,37.0,363.5,363.5,363.5
116.0,15763,-75.0,-86.2,16,0.0,85.0,10.0,366.6,366.6,366.6
113.0,15914,-76.2,-86.6,18,0.0,10.0,3.0,367.2,367.2,367.2
109.0,16122,-77.8,-87.2,21,0.0,310.0,10.0,367.9,367.9,367.9
105.0,16338,-79.5,-87.9,24,0.0,295.0,20.0,368.7,368.7,368.7
100.0,16620,-81.7,-88.7,30,0.0,310.0,19.0,369.6,369.6,369.6
93.0,17022,-84.1,-90.2,34,0.0,325.0,11.0,372.6,372.6,372.6
92.0,17082,-84.5,-90.5,35,0.0,325.0,10.0,373.0,373.0,373.0
88.0,17328,-86.0,-91.4,38,0.0,270.0,4.0,374.8,374.8,374.8
85.1,17513,-87.1,-92.1,40,0.0,240.0,8.0,376.1,376.2,376.1
84.0,17585,-86.9,-92.1,38,0.0,240.0,10.0,378.0,378.1,378.0
83.0,17651,-86.6,-92.2,37,0.0,225.0,10.0,379.8,379.8,379.8
81.0,17786,-86.2,-92.2,34,0.0,145.0,10.0,383.4,383.4,383.4
79.0,17923,-85.7,-92.2,31,0.0,115.0,15.0,387.1,387.1,387.1
