# 78954 TBPB Grantley Adams Observations at 12Z 03 Mar 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1011.0,57.0,25.4,20.6,75.0,15.36,90,18,297.6,342.3,300.4
1006.0,95.0,24.8,20.4,77.0,15.24,88,18,297.4,341.8,300.1
1000.0,140.0,24.2,19.8,76.0,14.76,85,19,297.4,340.3,300.0
999.0,149.0,24.0,19.6,76.0,14.59,84,19,297.2,339.6,299.8
989.0,237.0,23.4,19.0,76.0,14.19,79,20,297.5,338.8,300.0
982.0,299.0,22.9,18.7,78.0,14.03,75,21,297.5,338.4,300.0
949.0,595.0,20.2,17.3,84.0,13.29,75,23,297.8,336.5,300.1
925.0,817.0,18.2,16.3,89.0,12.76,75,24,297.9,335.1,300.2
916.0,901.0,17.6,15.8,89.0,12.46,80,24,298.1,334.5,300.3
911.0,948.0,17.2,15.5,90.0,12.3,80,24,298.2,334.1,300.4
850.0,1537.0,14.0,9.8,76.0,9.02,85,18,300.8,327.7,302.4
836.0,1677.0,13.0,8.7,75.0,8.51,91,16,301.2,326.6,302.7
795.0,2096.0,9.6,6.8,82.0,7.85,110,8,301.9,325.6,303.4
762.0,2449.0,6.8,5.2,90.0,7.33,117,11,302.6,324.7,303.9
755.0,2525.0,6.4,4.5,88.0,7.04,118,11,302.9,324.3,304.2
741.0,2679.0,10.8,-5.2,32.0,3.52,121,12,309.3,320.7,310.0
735.0,2747.0,11.0,-15.0,15.0,1.63,122,13,310.3,315.8,310.6
730.0,2804.0,10.8,-19.2,10.0,1.15,123,13,310.7,314.6,310.9
716.0,2966.0,13.2,-35.8,2.0,0.25,126,15,315.0,316.0,315.1
711.0,3024.0,13.2,-35.8,2.0,0.26,128,15,315.7,316.6,315.7
700.0,3155.0,12.8,-36.2,2.0,0.25,130,16,316.6,317.6,316.7
617.0,4177.0,6.0,-41.5,2.0,0.16,135,14,320.5,321.1,320.5
500.0,5880.0,-5.3,-50.3,1.0,0.08,150,14,326.5,326.8,326.5
484.0,6133.0,-6.6,-44.9,3.0,0.15,165,9,328.0,328.6,328.0
473.0,6312.0,-7.5,-41.0,5.0,0.22,140,3,329.0,329.9,329.1
467.0,6411.0,-8.0,-38.9,6.0,0.28,10,3,329.6,330.7,329.6
455.0,6613.0,-9.0,-34.6,11.0,0.45,295,9,330.8,332.5,330.8
443.0,6821.0,-10.1,-30.1,18.0,0.71,297,11,331.9,334.7,332.1
417.0,7283.0,-13.3,-33.9,16.0,0.53,300,17,333.6,335.7,333.7
400.0,7600.0,-15.5,-36.5,15.0,0.42,295,17,334.8,336.4,334.8
380.0,7985.0,-18.7,-41.7,11.0,0.26,307,18,335.5,336.6,335.5
362.0,8344.0,-21.3,-40.3,16.0,0.32,319,19,336.7,338.0,336.8
353.0,8528.0,-22.7,-44.1,12.0,0.22,325,19,337.2,338.1,337.2
322.0,9196.0,-27.9,-57.9,4.0,0.05,236,4,339.0,339.2,339.0
320.0,9241.0,-28.3,-57.3,4.0,0.05,230,3,339.1,339.3,339.1
312.0,9421.0,-29.9,-55.0,7.0,0.07,165,5,339.4,339.7,339.4
304.0,9606.0,-31.5,-52.5,11.0,0.1,155,4,339.6,340.0,339.6
300.0,9700.0,-32.3,-51.3,13.0,0.11,165,5,339.7,340.2,339.8
292.0,9887.0,-33.9,-51.5,15.0,0.11,215,6,340.1,340.6,340.2
277.0,10251.0,-36.9,-52.0,19.0,0.11,285,13,340.9,341.4,340.9
250.0,10960.0,-42.9,-52.9,32.0,0.11,305,18,342.1,342.6,342.2
245.0,11093.0,-44.0,-53.4,34.0,0.11,310,21,342.5,342.9,342.5
209.0,12138.0,-52.7,-57.6,55.0,0.08,306,36,344.8,345.1,344.8
200.0,12420.0,-54.9,-59.9,54.0,0.06,305,40,345.7,345.9,345.7
188.0,12805.0,-57.5,-62.9,50.0,0.04,300,42,347.6,347.9,347.6
151.0,14170.0,-66.7,-73.7,37.0,0.01,310,15,354.3,354.4,354.3
150.0,14210.0,-66.9,-73.9,37.0,0.01,310,14,354.6,354.7,354.6
143.0,14494.0,-68.8,-75.1,40.0,0.01,285,14,356.3,356.3,356.3
130.0,15061.0,-72.5,-77.5,47.0,0.01,305,17,359.4,359.5,359.4
129.0,15106.0,-72.9,-77.9,47.0,0.01,303,16,359.5,359.5,359.5
125.0,15290.0,-73.7,-78.7,46.0,0.01,295,13,361.3,361.3,361.3
119.0,15576.0,-74.9,-79.9,46.0,0.01,281,8,364.2,364.2,364.2
114.0,15822.0,-76.3,-81.1,47.0,0.0,270,3,366.1,366.2,366.1
110.0,16027.0,-77.4,-82.0,48.0,0.0,215,5,367.8,367.8,367.8
105.0,16294.0,-78.9,-83.3,49.0,0.0,222,4,369.9,369.9,369.9
103.0,16403.0,-79.5,-84.0,48.0,0.0,225,3,370.7,370.8,370.7
100.0,16570.0,-79.5,-84.0,48.0,0.0,165,2,373.9,373.9,373.9
97.2,16732.0,-79.3,-83.7,49.0,0.0,92,1,377.3,377.3,377.3
96.0,16802.0,-79.4,-83.7,49.0,0.0,60,1,378.5,378.5,378.5
84.2,17547.0,-80.1,-84.1,52.0,0.0,66,6,391.5,391.5,391.5
82.4,17670.0,-80.3,-84.5,50.0,0.0,67,7,393.5,393.5,393.5
70.0,18600.0,-77.7,-82.3,48.0,0.01,75,13,417.8,417.9,417.8
