# 48698 WSSS Singapore Observations at 12Z 06 Mar 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1008.0,16,29.4,22.4,66,17.25,45.0,4.0,301.9,353.0,305.0
1007.0,26,27.2,19.2,62,14.11,43.0,5.0,299.8,341.2,302.3
1005.0,46,28.6,22.6,70,17.52,39.0,6.0,301.3,353.1,304.5
1000.0,96,28.0,22.0,70,16.96,30.0,10.0,301.1,351.3,304.2
998.0,114,27.8,22.0,70,16.95,30.0,10.0,301.2,351.3,304.2
925.0,783,21.8,20.5,92,16.71,20.0,11.0,301.6,351.0,304.6
922.0,811,21.6,20.3,93,16.58,20.0,11.0,301.6,350.7,304.6
920.0,830,21.4,20.2,93,16.49,19.0,11.0,301.6,350.4,304.6
873.0,1285,19.7,16.6,83,13.82,345.0,10.0,304.4,345.8,306.9
850.0,1516,18.8,14.8,78,12.61,10.0,8.0,305.8,343.9,308.1
839.0,1628,17.8,14.6,82,12.61,10.0,11.0,305.9,344.0,308.2
823.0,1791,16.9,13.4,80,11.91,335.0,10.0,306.6,342.7,308.8
727.0,2843,11.0,6.0,71,8.13,343.0,8.0,311.2,336.6,312.8
700.0,3158,9.4,0.4,53,5.66,345.0,8.0,312.9,330.9,313.9
693.0,3241,9.0,-1.0,50,5.16,338.0,9.0,313.3,329.9,314.3
690.0,3277,8.8,-2.0,47,4.81,335.0,10.0,313.4,328.9,314.3
681.0,3386,8.0,-5.0,39,3.89,324.0,11.0,313.8,326.4,314.5
679.0,3410,7.6,-0.4,57,5.5,322.0,11.0,313.6,331.2,314.6
673.0,3483,7.3,-5.9,39,3.68,315.0,11.0,314.0,326.0,314.7
672.0,3496,7.2,-6.8,36,3.43,316.0,11.0,314.1,325.3,314.7
645.0,3832,4.8,-1.4,64,5.38,335.0,11.0,315.0,332.3,316.0
641.0,3883,4.4,-0.6,70,5.75,327.0,12.0,315.2,333.6,316.2
635.0,3959,3.9,-2.9,61,4.89,315.0,13.0,315.4,331.2,316.3
621.0,4140,2.6,-8.4,44,3.28,319.0,10.0,316.0,326.8,316.6
619.0,4166,2.4,-7.8,47,3.44,320.0,10.0,316.0,327.3,316.6
611.0,4271,1.4,-5.6,60,4.14,310.0,10.0,316.1,329.6,316.8
