# 01004 ENAS Ny-Alesund Ii Observations at 12Z 07 Mar 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1006.0,8,-18.5,-28.5,41,0.36,220.0,4.0,254.2,255.3,254.3
1004.0,26,-14.5,-23.5,46,0.58,190.0,3.0,258.4,260.0,258.4
1001.0,55,-13.1,-23.1,43,0.6,145.0,2.0,260.0,261.7,260.1
1000.0,64,-13.3,-23.3,43,0.59,130.0,2.0,259.9,261.6,259.9
977.0,241,-11.9,-26.9,28,0.44,100.0,4.0,263.0,264.3,263.1
925.0,658,-13.3,-27.3,30,0.44,30.0,8.0,265.7,267.0,265.8
918.0,716,-12.9,-26.9,30,0.46,10.0,10.0,266.7,268.1,266.8
914.0,750,-12.7,-26.7,30,0.47,7.0,10.0,267.2,268.7,267.3
895.0,909,-13.9,-28.2,29,0.42,355.0,10.0,267.6,268.9,267.6
880.0,1038,-14.9,-29.4,28,0.38,15.0,12.0,267.9,269.0,267.9
850.0,1301,-16.9,-31.9,26,0.31,25.0,12.0,268.4,269.4,268.5
847.0,1327,-17.1,-33.1,24,0.28,27.0,13.0,268.5,269.4,268.5
833.0,1452,-16.9,-38.9,13,0.16,35.0,21.0,270.0,270.5,270.0
809.0,1671,-17.4,-36.7,17,0.21,15.0,17.0,271.7,272.3,271.7
807.0,1690,-17.5,-36.5,17,0.21,14.0,17.0,271.8,272.5,271.8
752.0,2208,-22.2,-38.7,21,0.18,0.0,14.0,272.3,272.9,272.3
744.0,2286,-22.9,-39.0,21,0.18,15.0,10.0,272.3,272.9,272.4
732.0,2406,-23.9,-39.5,22,0.17,15.0,16.0,272.4,273.0,272.5
720.0,2527,-25.0,-40.0,23,0.16,355.0,19.0,272.5,273.1,272.6
704.0,2692,-26.5,-40.7,25,0.16,0.0,25.0,272.6,273.2,272.7
700.0,2734,-26.9,-40.9,25,0.15,0.0,23.0,272.7,273.2,272.7
661.0,3136,-30.4,-42.0,32,0.15,25.0,25.0,273.2,273.7,273.2
621.0,3574,-34.3,-43.1,40,0.14,10.0,23.0,273.7,274.1,273.7
610.0,3699,-35.4,-43.4,44,0.13,30.0,21.0,273.8,274.3,273.8
593.0,3898,-37.1,-44.0,49,0.13,10.0,25.0,274.0,274.4,274.0
582.0,4029,-38.3,-44.3,53,0.13,27.0,25.0,274.1,274.6,274.1
580.0,4052,-38.5,-44.6,53,0.13,30.0,25.0,274.2,274.6,274.2
537.0,4575,-42.7,-50.7,41,0.07,17.0,25.0,275.2,275.5,275.3
514.0,4866,-45.3,-51.2,51,0.07,10.0,25.0,275.6,275.8,275.6
500.0,5050,-46.9,-51.6,59,0.07,15.0,29.0,275.8,276.0,275.8
485.0,5250,-48.5,-52.1,67,0.06,10.0,33.0,276.2,276.4,276.2
464.0,5541,-51.0,-52.8,81,0.06,20.0,27.0,276.7,276.9,276.7
461.0,5583,-51.3,-52.9,83,0.06,18.0,27.0,276.8,277.0,276.8
455.0,5668,-51.5,-55.1,65,0.05,13.0,27.0,277.6,277.8,277.6
438.0,5915,-51.9,-57.6,50,0.04,0.0,25.0,280.2,280.3,280.2
436.0,5945,-51.9,-57.9,48,0.04,2.0,25.0,280.5,280.6,280.5
423.0,6141,-53.1,-57.7,57,0.04,19.0,25.0,281.4,281.5,281.4
422.0,6156,-53.2,-57.8,57,0.04,20.0,25.0,281.5,281.6,281.5
409.0,6357,-54.1,-59.5,51,0.03,355.0,21.0,282.9,283.0,282.9
