# 10410 EDZE Essen Observations at 12Z 22 Mar 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1012.0,147.0,16.6,4.6,45.0,5.28,145,6,288.8,304.1,289.7
1000.0,251.0,14.8,2.8,44.0,4.7,195,8,287.9,301.6,288.8
954.0,645.0,11.4,1.8,52.0,4.6,155,10,288.4,301.8,289.2
925.0,903.0,9.2,1.2,57.0,4.53,140,12,288.7,301.9,289.5
918.0,966.0,8.8,0.8,57.0,4.44,140,14,288.9,301.9,289.7
911.0,1029.0,8.4,0.4,57.0,4.34,149,13,289.1,301.9,289.9
901.0,1121.0,9.0,-1.0,50.0,3.96,161,12,290.7,302.4,291.4
894.0,1185.0,8.6,-1.4,49.0,3.88,170,12,290.9,302.4,291.6
854.0,1562.0,6.2,-3.8,49.0,3.41,190,12,292.3,302.5,292.9
850.0,1601.0,6.0,-4.0,49.0,3.36,190,12,292.4,302.5,293.0
825.0,1845.0,4.4,-4.6,52.0,3.31,189,11,293.2,303.2,293.8
801.0,2085.0,4.6,-10.4,33.0,2.17,188,11,295.9,302.7,296.3
761.0,2501.0,2.6,-15.4,25.0,1.52,187,11,298.1,303.0,298.4
718.0,2969.0,-0.3,-10.3,47.0,2.44,186,10,299.9,307.6,300.4
700.0,3172.0,-0.9,-12.9,40.0,2.03,185,10,301.5,308.0,301.8
689.0,3298.0,-1.8,-13.4,41.0,1.99,190,10,301.9,308.3,302.2
672.0,3497.0,-3.1,-14.1,42.0,1.92,194,9,302.5,308.7,302.9
652.0,3736.0,-3.7,-27.7,14.0,0.61,199,8,304.5,306.6,304.6
600.0,4386.0,-8.9,-22.9,31.0,1.02,212,5,305.8,309.2,306.0
587.0,4555.0,-9.7,-27.1,23.0,0.71,215,4,306.8,309.2,306.9
574.0,4728.0,-10.5,-31.5,16.0,0.48,275,10,307.8,309.5,307.9
554.0,5001.0,-11.8,-38.3,9.0,0.25,265,12,309.4,310.4,309.5
549.0,5071.0,-12.1,-40.1,8.0,0.21,270,12,309.8,310.6,309.9
528.0,5367.0,-14.0,-39.5,10.0,0.24,290,14,311.1,312.0,311.1
512.0,5601.0,-15.4,-39.0,11.0,0.25,265,16,312.0,313.0,312.1
507.0,5675.0,-15.9,-38.9,12.0,0.26,267,15,312.4,313.3,312.4
