# 78954 TBPB Grantley Adams Observations at 12Z 02 Apr 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1010.0,57,26.4,21.4,74,16.17,80.0,8.0,298.7,346.0,301.6
1007.0,81,25.4,19.4,69,14.29,79.0,10.0,298.0,339.6,300.5
1000.0,136,24.8,18.8,69,13.85,75.0,16.0,297.9,338.4,300.4
998.0,154,24.6,19.6,74,14.6,74.0,16.0,297.9,340.5,300.5
982.0,294,23.2,19.0,77,14.27,70.0,20.0,297.9,339.5,300.4
948.0,601,20.1,17.6,85,13.56,65.0,19.0,297.8,337.3,300.2
940.0,675,19.4,17.3,88,13.39,67.0,19.0,297.8,336.8,300.2
933.0,740,19.2,16.2,83,12.57,68.0,20.0,298.2,334.9,300.4
927.0,795,19.2,14.8,76,11.54,70.0,20.0,298.8,332.6,300.8
925.0,814,19.2,14.8,76,11.57,70.0,20.0,298.9,332.9,301.0
916.0,898,18.7,14.2,75,11.22,75.0,21.0,299.2,332.3,301.2
865.0,1388,15.6,10.6,72,9.36,83.0,19.0,301.0,328.8,302.7
850.0,1537,14.4,10.5,77,9.46,85.0,19.0,301.2,329.4,302.9
846.0,1577,14.0,10.4,79,9.44,87.0,19.0,301.2,329.4,302.9
811.0,1932,12.3,5.7,64,7.12,105.0,19.0,303.1,324.7,304.4
796.0,2089,11.6,3.6,58,6.26,100.0,20.0,303.9,323.1,305.1
795.0,2100,11.5,3.7,59,6.31,100.0,20.0,303.9,323.2,305.1
778.0,2280,10.0,5.0,71,7.08,92.0,20.0,304.2,325.8,305.5
772.0,2345,9.8,3.8,66,6.55,90.0,20.0,304.7,324.7,305.9
766.0,2409,10.0,1.0,54,5.4,87.0,20.0,305.6,322.3,306.6
761.0,2464,9.8,-0.2,50,4.98,85.0,20.0,305.9,321.4,306.8
754.0,2541,9.2,0.2,53,5.18,82.0,21.0,306.1,322.2,307.0
741.0,2685,11.0,-9.0,24,2.62,76.0,21.0,309.6,318.1,310.1
719.0,2936,10.3,-11.9,20,2.14,65.0,21.0,311.4,318.6,311.8
711.0,3029,10.0,-13.0,18,1.99,63.0,20.0,312.1,318.8,312.5
700.0,3158,9.4,-14.6,17,1.77,60.0,19.0,312.9,318.9,313.2
688.0,3301,8.4,-17.6,14,1.4,57.0,17.0,313.3,318.1,313.6
677.0,3433,8.8,-26.2,6,0.67,54.0,15.0,315.2,317.6,315.3
648.0,3791,6.9,-28.1,6,0.59,45.0,10.0,317.0,319.2,317.1
617.0,4191,4.8,-30.2,6,0.51,40.0,9.0,319.1,320.9,319.1
603.0,4378,3.8,-31.2,6,0.47,20.0,8.0,320.0,321.8,320.1
592.0,4528,3.0,-32.0,6,0.44,19.0,8.0,320.8,322.4,320.9
583.0,4652,3.2,-35.8,4,0.31,17.0,9.0,322.4,323.6,322.5
562.0,4948,2.4,-42.6,2,0.16,14.0,9.0,324.9,325.5,324.9
500.0,5880,-2.9,-34.9,6,0.4,5.0,11.0,329.4,331.0,329.5
466.0,6426,-6.7,-38.4,6,0.3,20.0,18.0,331.4,332.6,331.5
454.0,6628,-8.1,-39.7,6,0.27,10.0,23.0,332.1,333.2,332.2
443.0,6818,-9.4,-40.9,6,0.24,10.0,21.0,332.8,333.8,332.9
400.0,7610,-14.9,-45.9,5,0.16,10.0,19.0,335.5,336.2,335.6
367.0,8245,-19.3,-46.4,7,0.16,5.0,19.0,338.1,338.8,338.1
362.0,8346,-20.0,-46.5,8,0.16,355.0,15.0,338.5,339.2,338.5
348.0,8636,-22.0,-46.7,9,0.17,325.0,14.0,339.6,340.3,339.6
300.0,9730,-29.5,-47.5,16,0.18,300.0,22.0,343.7,344.4,343.7
272.0,10413,-35.4,-52.9,15,0.1,290.0,24.0,344.9,345.3,344.9
250.0,11000,-40.5,-57.5,14,0.06,280.0,30.0,345.7,346.0,345.7
249.0,11027,-40.7,-57.6,15,0.06,280.0,30.0,345.8,346.1,345.8
