# 48698 WSSS Singapore Observations at 12Z 10 Apr 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1006.0,16.0,28.2,24.4,80.0,19.57,10,4,300.8,358.7,304.4
1000.0,78.0,27.6,23.0,76.0,18.05,350,7,300.8,354.0,304.0
925.0,766.0,23.2,20.2,83.0,16.4,5,1,303.0,351.8,306.0
868.0,1318.0,20.2,17.4,84.0,14.64,270,10,305.4,349.5,308.1
850.0,1500.0,19.2,16.5,84.0,14.09,285,8,306.2,348.8,308.8
772.0,2324.0,13.8,13.8,100.0,13.02,240,6,309.0,348.7,311.4
700.0,3148.0,10.6,8.7,88.0,10.19,195,3,314.2,346.1,316.1
643.0,3852.0,6.6,5.9,95.0,9.14,315,1,317.4,346.5,319.1
623.0,4110.0,5.5,2.7,82.0,7.5,0,0,319.0,343.2,320.4
594.0,4500.0,3.8,-2.2,65.0,5.51,34,3,321.4,339.6,322.5
586.0,4610.0,3.0,0.1,81.0,6.62,44,4,321.7,343.4,323.0
570.0,4834.0,2.2,-6.8,51.0,4.05,64,6,323.3,337.0,324.1
567.0,4877.0,2.8,-13.2,30.0,2.45,68,7,324.5,333.0,325.0
560.0,4977.0,1.8,-5.2,60.0,4.66,77,8,324.5,340.2,325.4
558.0,5006.0,1.8,-12.2,35.0,2.7,79,8,324.8,334.2,325.4
553.0,5078.0,1.0,-6.0,60.0,4.44,86,9,324.7,339.7,325.6
549.0,5136.0,0.8,-12.2,37.0,2.75,91,9,325.1,334.7,325.7
542.0,5239.0,0.2,-13.4,35.0,2.52,100,10,325.6,334.4,326.1
537.0,5313.0,-0.3,-14.3,34.0,2.37,104,10,325.9,334.2,326.4
536.0,5328.0,-0.4,-14.3,34.0,2.38,105,10,325.9,334.3,326.4
508.0,5754.0,-3.3,-13.4,46.0,2.7,85,14,327.5,337.0,328.1
500.0,5880.0,-4.1,-13.1,50.0,2.8,85,13,328.0,337.8,328.5
495.0,5960.0,-4.7,-12.7,54.0,2.93,90,13,328.2,338.4,328.8
490.0,6040.0,-5.0,-12.5,55.0,3.0,95,12,328.8,339.3,329.4
483.0,6154.0,-5.3,-12.3,58.0,3.1,79,14,329.8,340.6,330.4
481.0,6186.0,-5.4,-13.1,55.0,2.92,75,14,330.0,340.3,330.6
465.0,6453.0,-6.3,-19.3,35.0,1.8,72,16,332.1,338.6,332.5
459.0,6555.0,-7.3,-13.3,62.0,3.01,71,17,332.1,342.7,332.7
455.0,6623.0,-7.5,-16.9,47.0,2.24,70,18,332.6,340.7,333.1
452.0,6675.0,-7.7,-19.7,38.0,1.78,73,19,333.1,339.6,333.4
437.0,6937.0,-9.4,-21.9,36.0,1.53,90,21,334.1,339.8,334.4
421.0,7227.0,-11.3,-24.3,33.0,1.28,83,20,335.3,340.1,335.5
419.0,7263.0,-11.3,-19.3,52.0,1.99,82,20,335.7,343.0,336.1
405.0,7525.0,-12.6,-22.8,42.0,1.52,75,19,337.3,343.0,337.6
400.0,7620.0,-13.1,-24.1,39.0,1.37,95,17,337.9,343.0,338.1
399.0,7639.0,-13.1,-25.1,36.0,1.26,97,17,338.1,342.9,338.4
395.0,7715.0,-13.8,-26.8,33.0,1.09,105,18,338.2,342.3,338.4
391.0,7792.0,-14.5,-28.5,29.0,0.94,104,19,338.2,341.9,338.4
379.0,8027.0,-16.5,-22.5,60.0,1.67,102,21,338.6,344.9,339.0
369.0,8227.0,-17.5,-26.5,45.0,1.2,101,23,339.9,344.5,340.1
365.0,8308.0,-18.1,-26.4,48.0,1.23,100,24,340.1,344.8,340.4
341.0,8811.0,-21.9,-25.4,73.0,1.43,118,29,341.7,347.1,342.0
332.0,9005.0,-23.1,-26.7,73.0,1.31,125,31,342.6,347.7,342.9
305.0,9621.0,-26.9,-30.7,70.0,0.98,150,23,345.7,349.6,345.9
300.0,9740.0,-27.9,-31.9,69.0,0.89,155,22,345.9,349.4,346.1
292.0,9930.0,-29.4,-33.6,67.0,0.77,165,20,346.4,349.5,346.6
282.0,10174.0,-31.4,-35.8,65.0,0.64,150,19,347.0,349.7,347.2
250.0,11020.0,-38.3,-43.3,59.0,0.33,170,22,349.0,350.4,349.1
248.0,11075.0,-38.9,-43.4,62.0,0.33,169,22,348.9,350.3,349.0
237.0,11386.0,-41.5,-48.8,45.0,0.19,165,23,349.4,350.3,349.5
230.0,11590.0,-43.3,-52.3,36.0,0.13,177,20,349.8,350.4,349.8
227.0,11679.0,-43.9,-48.8,58.0,0.2,182,19,350.2,351.1,350.2
225.0,11738.0,-44.4,-49.1,59.0,0.19,185,18,350.3,351.1,350.3
213.0,12105.0,-47.7,-51.2,67.0,0.16,173,20,350.7,351.4,350.7
203.0,12423.0,-50.5,-53.9,67.0,0.12,163,22,351.1,351.7,351.2
200.0,12520.0,-51.3,-54.5,68.0,0.12,160,22,351.4,351.9,351.4
196.0,12650.0,-52.5,-55.2,72.0,0.11,160,22,351.5,352.0,351.6
190.0,12851.0,-54.3,-56.4,77.0,0.1,161,21,351.7,352.2,351.8
186.0,12987.0,-55.3,-61.3,47.0,0.05,161,21,352.3,352.5,352.3
172.0,13481.0,-59.5,-62.9,64.0,0.05,163,20,353.3,353.5,353.3
156.0,14081.0,-65.2,-69.3,57.0,0.02,165,18,353.6,353.7,353.6
152.0,14240.0,-66.7,-71.0,55.0,0.02,162,17,353.6,353.7,353.6
150.0,14320.0,-67.5,-72.5,49.0,0.01,160,16,353.6,353.7,353.6
137.0,14850.0,-71.6,-76.6,48.0,0.01,140,13,355.6,355.6,355.6
132.0,15067.0,-73.3,-78.2,47.0,0.01,155,11,356.4,356.4,356.4
120.0,15624.0,-77.7,-82.5,46.0,0.0,92,20,358.2,358.2,358.2
117.0,15767.0,-78.4,-83.3,45.0,0.0,75,23,359.6,359.6,359.6
109.0,16165.0,-80.2,-85.7,40.0,0.0,70,30,363.4,363.4,363.4
100.0,16650.0,-82.5,-88.5,36.0,0.0,100,29,368.1,368.1,368.1
98.1,16757.0,-82.9,-88.9,35.0,0.0,110,27,369.3,369.3,369.3
94.9,16943.0,-80.5,-88.5,26.0,0.0,126,23,377.6,377.6,377.6
93.0,17056.0,-81.1,-88.7,27.0,0.0,135,20,378.6,378.6,378.6
91.0,17177.0,-81.7,-89.0,28.0,0.0,125,20,379.8,379.8,379.8
87.0,17428.0,-82.9,-89.5,32.0,0.0,100,27,382.2,382.2,382.2
83.9,17631.0,-83.9,-89.9,35.0,0.0,102,32,384.2,384.2,384.2
80.0,17896.0,-83.3,-90.2,30.0,0.0,105,39,390.6,390.6,390.6
74.0,18330.0,-82.4,-90.6,24.0,0.0,70,35,401.3,401.3,401.3
70.8,18576.0,-81.9,-90.9,21.0,0.0,82,35,407.5,407.5,407.5
70.0,18640.0,-80.9,-90.9,18.0,0.0,85,35,411.0,411.0,411.0
69.0,18721.0,-80.3,-91.8,14.0,0.0,90,29,413.9,413.9,413.9
67.2,18871.0,-79.3,-93.3,9.0,0.0,126,26,419.3,419.3,419.3
65.2,19045.0,-72.9,-91.9,4.0,0.0,167,22,436.9,436.9,436.9
62.0,19344.0,-68.6,-95.1,1.0,0.0,235,16,452.8,452.8,452.8
61.8,19363.0,-68.3,-95.3,1.0,0.0,236,16,453.8,453.8,453.8
59.7,19570.0,-69.5,-93.5,2.0,0.0,243,18,455.6,455.6,455.6
59.0,19642.0,-68.9,-93.2,2.0,0.0,245,19,458.5,458.5,458.5
56.0,19959.0,-66.3,-92.0,2.0,0.0,230,11,471.2,471.2,471.2
55.0,20068.0,-65.5,-91.6,2.0,0.0,235,10,475.7,475.7,475.7
54.0,20180.0,-64.5,-91.2,1.0,0.0,250,9,480.3,480.3,480.3
53.0,20293.0,-63.6,-90.8,1.0,0.0,290,13,485.0,485.0,485.0
51.4,20480.0,-62.1,-90.1,1.0,0.0,298,23,492.8,492.8,492.8
51.0,20528.0,-62.3,-90.0,1.0,0.0,300,25,493.4,493.4,493.4
50.0,20650.0,-62.9,-89.9,2.0,0.0,300,24,494.8,494.9,494.8
46.0,21160.0,-66.2,-91.3,2.0,0.0,285,19,498.8,498.8,498.8
45.9,21173.0,-66.3,-91.3,2.0,0.0,290,19,498.9,498.9,498.9
43.0,21571.0,-65.8,-91.2,2.0,0.0,270,28,509.6,509.6,509.6
41.0,21861.0,-65.4,-91.2,2.0,0.0,280,38,517.6,517.6,517.6
39.0,22166.0,-65.0,-91.2,2.0,0.0,275,32,526.1,526.1,526.1
37.0,22487.0,-64.5,-91.1,2.0,0.0,295,29,535.1,535.2,535.1
35.2,22791.0,-64.1,-91.1,1.0,0.0,273,25,543.9,543.9,543.9
35.0,22826.0,-63.8,-91.0,1.0,0.0,270,25,545.7,545.7,545.7
33.0,23192.0,-60.2,-90.6,1.0,0.0,290,27,564.4,564.5,564.4
32.0,23383.0,-58.3,-90.3,1.0,0.0,290,23,574.4,574.5,574.4
31.0,23583.0,-58.0,-89.5,1.0,0.0,290,18,580.5,580.5,580.5
30.0,23790.0,-57.7,-88.7,1.0,0.01,300,19,586.8,586.8,586.8
28.1,24205.0,-55.7,-88.7,1.0,0.01,314,27,603.4,603.4,603.4
28.0,24228.0,-55.7,-88.7,1.0,0.01,315,27,604.0,604.1,604.0
26.0,24701.0,-55.4,-88.4,1.0,0.01,300,25,617.8,617.9,617.8
23.0,25484.0,-54.9,-87.9,1.0,0.01,300,29,641.3,641.4,641.3
22.0,25768.0,-54.7,-87.7,1.0,0.01,288,25,650.0,650.1,650.0
21.5,25915.0,-54.9,-87.9,1.0,0.01,281,22,653.7,653.8,653.7
21.0,26066.0,-54.1,-87.8,1.0,0.01,275,20,660.5,660.6,660.5
20.0,26380.0,-52.5,-87.5,1.0,0.01,270,24,674.7,674.8,674.7
18.0,27070.0,-49.4,-86.2,1.0,0.01,250,29,705.2,705.3,705.2
17.0,27444.0,-47.7,-85.5,1.0,0.02,245,24,722.2,722.4,722.2
16.0,27840.0,-45.9,-84.8,0.0,0.02,260,23,740.7,740.9,740.7
15.9,27881.0,-45.7,-84.7,0.0,0.02,257,23,742.6,742.9,742.6
15.0,28269.0,-45.4,-84.8,0.0,0.02,230,22,756.1,756.3,756.1
13.6,28921.0,-44.9,-84.9,0.0,0.02,240,14,779.3,779.5,779.3
13.0,29222.0,-45.1,-85.1,0.0,0.02,245,11,788.7,789.0,788.7
12.3,29594.0,-41.5,-82.5,0.0,0.04,197,11,813.9,814.4,813.9
12.0,29759.0,-42.6,-83.0,0.0,0.03,175,11,815.8,816.2,815.8
11.3,30163.0,-45.3,-84.3,0.0,0.03,154,10,820.2,820.5,820.2
11.0,30343.0,-44.5,-84.0,0.0,0.03,145,10,829.3,829.7,829.3
10.6,30590.0,-43.5,-83.5,0.0,0.04,77,15,841.9,842.4,841.9
10.0,30980.0,-44.7,-84.7,0.0,0.03,330,23,851.6,852.0,851.6
9.2,31534.0,-47.5,-86.5,0.0,0.02,15,24,861.4,861.7,861.4
9.0,31680.0,-44.1,-84.1,0.0,0.04,27,24,879.9,880.4,879.9
8.0,,,,,,90,25,,,
