# 01004 ENAS Ny-Alesund Ii Observations at 12Z 16 Apr 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1013.0,8,2.6,-0.2,82,3.74,50.0,4.0,274.7,285.1,275.4
1000.0,125,1.6,-0.4,87,3.73,25.0,4.0,274.8,285.1,275.4
970.0,369,-0.6,-1.4,95,3.59,285.0,0.0,274.9,284.9,275.5
953.0,510,-1.9,-1.9,100,3.51,200.0,9.0,275.0,284.8,275.6
952.0,519,-1.9,-1.9,100,3.5,195.0,10.0,275.0,284.8,275.6
935.0,662,-2.8,-2.8,100,3.34,195.0,21.0,275.6,284.9,276.1
925.0,747,-3.3,-3.3,100,3.25,200.0,23.0,275.9,285.1,276.5
896.0,999,-3.9,-3.9,100,3.21,240.0,25.0,277.8,286.9,278.4
886.0,1088,-4.1,-4.1,100,3.2,249.0,28.0,278.5,287.6,279.1
879.0,1150,-3.2,-3.2,100,3.46,255.0,29.0,280.1,289.9,280.7
874.0,1195,-2.5,-2.5,100,3.66,258.0,29.0,281.3,291.7,281.9
870.0,1232,-2.7,-2.9,99,3.56,260.0,29.0,281.4,291.6,282.0
850.0,1416,-3.9,-5.1,91,3.09,260.0,25.0,282.1,291.0,282.6
751.0,2380,-11.5,-12.8,90,1.91,253.0,33.0,284.0,289.7,284.3
743.0,2462,-12.1,-14.7,81,1.65,252.0,34.0,284.2,289.2,284.5
740.0,2493,-12.7,-26.7,30,0.59,252.0,34.0,283.9,285.7,283.9
714.0,2766,-11.3,-32.3,16,0.36,250.0,37.0,288.3,289.5,288.4
713.0,2777,-11.4,-32.7,15,0.34,250.0,37.0,288.4,289.5,288.4
700.0,2918,-12.1,-38.1,10,0.21,250.0,35.0,289.1,289.8,289.1
642.0,3570,-15.4,-44.4,6,0.12,245.0,33.0,292.5,293.0,292.6
589.0,4220,-18.7,-50.7,4,0.06,249.0,29.0,296.0,296.2,296.0
575.0,4399,-19.9,-45.9,8,0.11,250.0,28.0,296.6,297.0,296.6
521.0,5122,-25.2,-54.1,5,0.05,255.0,23.0,298.7,298.9,298.7
520.0,5136,-25.3,-54.3,5,0.05,256.0,23.0,298.8,298.9,298.8
507.0,5319,-26.3,-49.5,9,0.08,275.0,21.0,299.7,300.0,299.7
500.0,5420,-26.9,-46.9,13,0.11,270.0,21.0,300.2,300.6,300.2
450.0,6165,-33.3,-48.3,21,0.11,274.0,20.0,301.3,301.7,301.3
446.0,6228,-33.7,-45.7,29,0.14,275.0,20.0,301.6,302.1,301.6
444.0,6259,-33.8,-41.3,47,0.23,275.0,19.0,301.8,302.7,301.9
442.0,6291,-33.9,-36.8,75,0.37,272.0,19.0,302.1,303.4,302.2
424.0,6578,-35.6,-38.9,72,0.31,245.0,16.0,303.6,304.7,303.7
419.0,6661,-36.0,-39.5,71,0.3,235.0,17.0,304.0,305.1,304.1
412.0,6777,-36.7,-40.3,69,0.28,231.0,18.0,304.6,305.6,304.7
400.0,6980,-38.3,-41.5,72,0.25,225.0,19.0,305.1,306.1,305.2
382.0,7296,-40.9,-42.6,84,0.24,222.0,19.0,305.8,306.6,305.8
374.0,7437,-42.0,-44.0,81,0.21,220.0,19.0,306.1,306.9,306.2
327.0,8337,-49.1,-53.1,63,0.08,232.0,23.0,308.4,308.7,308.4
300.0,8900,-51.7,-57.7,48,0.05,240.0,25.0,312.4,312.6,312.4
267.0,9646,-56.1,-65.1,31,0.02,253.0,29.0,316.5,316.6,316.5
250.0,10060,-59.1,-66.1,40,0.02,260.0,31.0,318.1,318.2,318.1
243.0,10238,-60.7,-66.7,45,0.02,261.0,31.0,318.3,318.4,318.3
235.0,10446,-62.3,-64.8,72,0.03,263.0,31.0,318.9,319.0,318.9
224.0,10743,-63.5,-67.3,60,0.02,265.0,31.0,321.5,321.6,321.5
222.0,10798,-63.7,-70.7,38,0.01,265.0,31.0,322.0,322.0,322.0
219.0,10882,-62.7,-76.7,14,0.01,268.0,31.0,324.8,324.8,324.8
212.0,11084,-61.1,-88.1,2,0.0,275.0,31.0,330.3,330.3,330.3
202.0,11387,-58.5,-85.5,2,0.0,285.0,31.0,339.1,339.1,339.1
200.0,11450,-57.9,-84.9,2,0.0,285.0,29.0,340.9,340.9,340.9
197.0,11545,-57.7,-85.2,2,0.0,275.0,25.0,342.8,342.8,342.8
185.0,11941,-56.7,-86.7,1,0.0,279.0,29.0,350.5,350.6,350.5
152.0,13186,-55.6,-90.3,1,0.0,290.0,41.0,372.7,372.7,372.7
150.0,13270,-55.5,-90.5,1,0.0,290.0,41.0,374.2,374.2,374.2
137.0,13849,-54.7,-90.9,0,0.0,285.0,39.0,385.6,385.6,385.6
130.0,14183,-54.2,-91.1,0,0.0,265.0,29.0,392.2,392.2,392.2
129.0,14233,-54.1,-91.1,0,0.0,266.0,29.0,393.2,393.2,393.2
121.0,14634,-56.3,-91.5,0,0.0,270.0,29.0,396.5,396.5,396.5
106.0,15464,-60.9,-92.5,1,0.0,315.0,29.0,403.1,403.1,403.1
100.0,15830,-62.9,-92.9,1,0.0,290.0,23.0,405.9,405.9,405.9
93.4,16247,-65.1,-92.1,1,0.0,275.0,31.0,409.6,409.6,409.6
92.0,16340,-64.9,-92.2,1,0.0,270.0,39.0,411.7,411.7,411.7
83.1,16961,-63.7,-92.7,1,0.0,288.0,58.0,426.4,426.4,426.4
82.0,17043,-62.8,-92.8,1,0.0,290.0,60.0,429.9,429.9,429.9
81.5,17081,-62.3,-92.9,1,0.0,290.0,60.0,431.5,431.5,431.5
77.2,17417,-58.5,-93.5,0,0.0,301.0,52.0,446.2,446.2,446.2
70.0,18030,-59.5,-94.5,0,0.0,320.0,37.0,456.8,456.8,456.8
69.0,18118,-59.9,-94.4,0,0.0,325.0,33.0,457.8,457.8,457.8
64.0,18579,-61.8,-94.1,1,0.0,305.0,33.0,463.6,463.6,463.6
62.0,18773,-62.6,-94.0,1,0.0,320.0,27.0,466.0,466.0,466.0
59.0,19077,-63.9,-93.8,1,0.0,300.0,19.0,469.8,469.8,469.8
51.0,19969,-67.6,-93.2,2,0.0,310.0,31.0,481.1,481.1,481.1
