# 10410 EDZE Essen Observations at 12Z 27 Apr 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1000.0,96.0,,,,,,,,,
994.0,147.0,8.4,7.0,91.0,6.36,200.0,4.0,282.0,299.7,283.1
980.0,263.0,7.3,6.1,92.0,6.06,240.0,12.0,282.1,299.0,283.1
925.0,736.0,3.0,2.5,97.0,4.98,250.0,21.0,282.4,296.4,283.2
903.0,930.0,1.7,1.4,98.0,4.72,260.0,21.0,283.0,296.4,283.8
878.0,1156.0,0.2,0.1,100.0,4.43,255.0,27.0,283.7,296.3,284.4
875.0,1183.0,0.0,0.0,100.0,4.39,253.0,27.0,283.8,296.3,284.5
850.0,1415.0,-0.7,-0.7,100.0,4.3,240.0,21.0,285.4,297.8,286.1
828.0,1624.0,-1.4,-1.4,100.0,4.19,215.0,23.0,286.8,299.0,287.6
812.0,1780.0,-1.9,-1.9,100.0,4.12,210.0,23.0,287.9,299.9,288.6
780.0,2097.0,-3.7,-4.0,98.0,3.67,200.0,23.0,289.2,300.1,289.9
703.0,2915.0,-8.5,-9.3,94.0,2.7,205.0,33.0,292.7,300.9,293.2
700.0,2948.0,-8.5,-10.3,87.0,2.51,205.0,33.0,293.0,300.7,293.5
649.0,3530.0,-12.7,-22.7,43.0,0.96,201.0,35.0,294.7,297.8,294.9
634.0,3708.0,-13.8,-18.1,70.0,1.45,200.0,35.0,295.4,300.1,295.7
630.0,3756.0,-14.1,-16.9,79.0,1.62,203.0,34.0,295.6,300.8,295.9
626.0,3805.0,-14.3,-22.3,51.0,1.03,206.0,33.0,295.9,299.3,296.1
614.0,3950.0,-15.4,-21.2,61.0,1.15,215.0,31.0,296.3,300.1,296.5
589.0,4264.0,-17.7,-18.8,91.0,1.48,203.0,33.0,297.2,301.9,297.4
587.0,4289.0,-17.9,-19.7,86.0,1.37,202.0,34.0,297.2,301.6,297.5
585.0,4314.0,-18.1,-31.1,31.0,0.49,201.0,34.0,297.3,298.9,297.4
581.0,4366.0,-18.3,-41.3,11.0,0.18,199.0,34.0,297.6,298.3,297.6
573.0,4469.0,-18.9,-39.2,15.0,0.22,195.0,35.0,298.1,298.9,298.1
552.0,4746.0,-20.5,-33.5,30.0,0.41,192.0,36.0,299.4,300.8,299.5
500.0,5470.0,-26.1,-34.1,47.0,0.43,185.0,39.0,301.2,302.7,301.2
485.0,5690.0,-27.7,-34.7,51.0,0.42,185.0,39.0,301.8,303.3,301.9
448.0,6258.0,-31.9,-39.9,45.0,0.27,185.0,41.0,303.5,304.4,303.5
400.0,7050.0,-38.5,-41.1,76.0,0.26,185.0,43.0,304.9,305.8,304.9
396.0,7119.0,-39.1,-40.9,83.0,0.27,183.0,43.0,305.0,306.0,305.0
392.0,7188.0,-39.5,-41.6,80.0,0.26,180.0,42.0,305.3,306.3,305.4
346.0,8022.0,-44.6,-55.0,30.0,0.06,150.0,41.0,309.5,309.8,309.5
324.0,8461.0,-47.3,-62.0,17.0,0.03,155.0,47.0,311.7,311.8,311.7
313.0,8692.0,-48.7,-65.7,12.0,0.02,160.0,41.0,312.8,312.9,312.8
