# 78954 TBPB Grantley Adams Observations at 12Z 04 May 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1009.0,57,27.0,22.1,75,16.91,60.0,17.0,299.4,349.0,302.4
1005.0,88,25.8,20.8,74,15.65,60.0,17.0,298.5,344.2,301.3
1000.0,126,25.6,20.6,74,15.53,60.0,18.0,298.8,344.2,301.5
997.0,153,25.2,20.3,74,15.28,60.0,18.0,298.6,343.3,301.3
980.0,303,23.9,19.8,78,15.06,60.0,20.0,298.7,342.8,301.4
947.0,603,21.1,18.8,86,14.62,60.0,20.0,298.9,341.7,301.5
938.0,686,20.4,18.5,89,14.5,64.0,20.0,299.0,341.4,301.6
925.0,807,19.8,16.8,83,13.18,70.0,21.0,299.6,338.3,301.9
915.0,901,19.4,15.4,78,12.14,70.0,20.0,300.1,335.9,302.2
896.0,1082,18.6,12.6,68,10.33,71.0,19.0,301.1,331.8,302.9
850.0,1532,15.4,13.0,86,11.19,75.0,16.0,302.3,335.6,304.3
827.0,1765,14.2,13.1,93,11.58,91.0,17.0,303.4,338.0,305.5
815.0,1889,14.0,12.9,93,11.6,100.0,17.0,304.4,339.3,306.6
797.0,2078,14.4,11.7,84,10.95,114.0,18.0,306.8,340.1,308.8
795.0,2099,14.3,11.5,83,10.8,115.0,18.0,306.9,339.8,308.9
779.0,2271,13.6,9.5,76,9.66,115.0,15.0,308.0,337.5,309.8
768.0,2391,14.2,5.2,55,7.27,115.0,13.0,309.9,332.5,311.2
747.0,2624,13.0,-2.4,34,4.32,115.0,9.0,311.0,324.9,311.9
726.0,2863,11.8,-10.2,20,2.44,106.0,9.0,312.2,320.3,312.7
720.0,2933,12.2,-13.8,15,1.84,104.0,10.0,313.4,319.7,313.8
700.0,3168,11.6,-17.4,11,1.4,95.0,10.0,315.3,320.2,315.6
687.0,3322,10.7,-18.5,11,1.3,70.0,7.0,316.0,320.6,316.3
648.0,3804,8.0,-21.9,10,1.03,115.0,4.0,318.3,322.0,318.5
618.0,4195,5.9,-24.6,9,0.85,90.0,4.0,320.1,323.2,320.3
591.0,4563,3.8,-27.2,8,0.7,110.0,5.0,321.9,324.4,322.0
500.0,5900,-4.9,-27.9,15,0.78,185.0,7.0,327.0,329.9,327.1
489.0,6074,-6.1,-18.1,38,1.89,218.0,9.0,327.6,334.4,328.0
475.0,6300,-7.3,-22.1,30,1.38,260.0,11.0,328.9,333.9,329.1
459.0,6566,-8.7,-26.7,22,0.94,267.0,12.0,330.4,333.9,330.5
429.0,7087,-10.9,-26.9,26,0.99,281.0,15.0,334.0,337.7,334.2
400.0,7620,-13.9,-40.9,8,0.27,295.0,17.0,336.8,337.9,336.9
367.0,8255,-18.8,-39.8,14,0.33,305.0,22.0,338.8,340.1,338.8
302.0,9691,-29.7,-37.2,48,0.52,255.0,28.0,342.7,344.8,342.8
300.0,9740,-30.1,-37.1,50,0.53,250.0,28.0,342.8,345.0,342.9
289.0,10004,-31.9,-38.9,50,0.46,252.0,30.0,343.9,345.8,344.1
