# 48698 WSSS Singapore Observations at 12Z 13 May 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1005.0,16.0,29.0,26.5,86.0,22.29,225,4,301.7,368.0,305.7
1000.0,71.0,28.6,24.8,80.0,20.19,145,9,301.8,361.6,305.4
952.0,508.0,24.6,23.3,92.0,19.35,158,11,302.0,359.4,305.4
945.0,573.0,24.3,22.7,91.0,18.82,160,11,302.3,358.2,305.7
925.0,761.0,23.4,21.1,87.0,17.36,165,9,303.2,355.0,306.4
850.0,1498.0,20.0,15.6,76.0,13.29,180,6,307.1,347.4,309.5
793.0,2095.0,17.0,11.0,68.0,10.5,223,6,310.0,342.4,312.0
732.0,2775.0,12.8,10.0,83.0,10.64,272,6,312.6,345.7,314.6
727.0,2832.0,13.2,5.2,58.0,7.69,277,6,313.7,337.9,315.1
710.0,3031.0,11.4,8.2,81.0,9.7,291,6,313.8,344.2,315.6
700.0,3150.0,10.8,6.8,76.0,8.93,300,6,314.4,342.6,316.1
694.0,3222.0,10.6,3.6,62.0,7.19,304,6,315.0,337.9,316.3
689.0,3282.0,9.8,7.4,85.0,9.46,308,7,314.7,344.5,316.5
661.0,3627.0,8.4,3.6,72.0,7.55,328,9,316.9,341.1,318.4
652.0,3741.0,8.6,2.0,63.0,6.84,335,10,318.4,340.5,319.7
645.0,3831.0,8.8,0.8,57.0,6.33,331,10,319.6,340.2,320.8
578.0,4722.0,2.7,-2.4,69.0,5.58,295,12,322.6,341.1,323.7
573.0,4792.0,2.2,-2.6,70.0,5.53,310,13,322.8,341.1,323.9
568.0,4864.0,1.7,-2.9,71.0,5.47,320,11,323.1,341.2,324.1
525.0,5503.0,-2.7,-5.2,83.0,4.98,345,6,325.1,341.8,326.1
500.0,5890.0,-4.5,-8.3,75.0,4.11,0,3,327.5,341.6,328.3
470.0,6374.0,-6.3,-14.3,53.0,2.7,0,1,331.1,340.7,331.6
457.0,6591.0,-7.9,-15.0,57.0,2.62,0,0,331.7,341.1,332.3
429.0,7079.0,-11.6,-16.6,66.0,2.44,35,10,333.1,341.9,333.6
428.0,7097.0,-11.7,-16.7,66.0,2.43,35,10,333.2,341.9,333.7
412.0,7387.0,-13.5,-24.5,39.0,1.28,35,15,334.5,339.3,334.8
410.0,7423.0,-13.8,-24.8,39.0,1.26,35,16,334.6,339.4,334.9
400.0,7610.0,-15.1,-26.1,39.0,1.14,40,13,335.3,339.6,335.5
395.0,7705.0,-15.8,-25.9,42.0,1.18,40,12,335.5,339.9,335.8
386.0,7879.0,-17.2,-25.6,48.0,1.24,60,13,336.0,340.6,336.2
384.0,7918.0,-17.5,-25.5,50.0,1.26,57,13,336.1,340.8,336.3
376.0,8075.0,-18.3,-28.3,41.0,1.0,45,12,337.0,340.8,337.2
368.0,8236.0,-19.1,-31.1,34.0,0.78,27,10,338.0,341.1,338.2
356.0,8482.0,-20.9,-23.8,77.0,1.58,359,7,338.8,344.8,339.2
334.0,8951.0,-23.7,-27.4,71.0,1.21,305,2,341.2,345.9,341.5
325.0,9152.0,-24.9,-29.0,69.0,1.08,338,4,342.3,346.4,342.5
320.0,9265.0,-25.3,-35.3,39.0,0.6,357,4,343.2,345.6,343.4
317.0,9333.0,-25.9,-30.4,66.0,0.97,8,5,343.3,347.1,343.5
307.0,9565.0,-28.1,-32.9,63.0,0.79,47,7,343.4,346.5,343.6
300.0,9730.0,-29.1,-46.1,18.0,0.2,75,8,344.2,345.1,344.3
297.0,9801.0,-29.5,-48.5,14.0,0.16,77,8,344.7,345.4,344.7
287.0,10044.0,-31.7,-45.7,24.0,0.22,85,10,344.9,345.9,345.0
282.0,10167.0,-32.9,-38.9,55.0,0.47,89,10,344.9,346.9,345.0
274.0,10368.0,-34.1,-52.1,14.0,0.11,95,11,346.0,346.6,346.1
268.0,10521.0,-35.4,-53.1,15.0,0.1,100,12,346.4,346.9,346.4
250.0,11000.0,-39.3,-56.3,15.0,0.07,90,9,347.5,347.8,347.5
241.0,11249.0,-41.5,-58.9,13.0,0.06,100,11,347.9,348.2,347.9
233.0,11478.0,-43.5,-61.3,12.0,0.04,90,13,348.2,348.4,348.2
229.0,11596.0,-44.5,-62.5,12.0,0.04,91,13,348.4,348.6,348.4
216.0,11985.0,-48.0,-64.2,14.0,0.03,95,11,348.8,349.0,348.8
215.0,12016.0,-48.3,-64.3,14.0,0.03,100,11,348.8,349.0,348.9
209.0,12202.0,-49.7,-54.7,56.0,0.11,130,10,349.5,350.0,349.5
208.0,12234.0,-50.0,-54.4,60.0,0.11,135,10,349.5,350.0,349.5
207.0,12266.0,-50.3,-54.0,65.0,0.12,134,10,349.5,350.0,349.5
200.0,12490.0,-51.7,-68.7,11.0,0.02,125,13,350.7,350.8,350.7
194.0,12686.0,-53.3,-57.9,57.0,0.08,122,13,351.2,351.6,351.3
181.0,13128.0,-56.9,-73.9,10.0,0.01,115,12,352.4,352.5,352.4
173.0,13412.0,-59.1,-63.0,60.0,0.05,111,11,353.4,353.6,353.4
171.0,13485.0,-59.6,-67.6,35.0,0.03,110,11,353.6,353.8,353.7
170.0,13521.0,-59.9,-69.9,26.0,0.02,108,12,353.8,353.9,353.8
162.0,13819.0,-62.9,-66.9,58.0,0.03,89,16,353.7,353.8,353.7
158.0,13973.0,-63.1,-73.4,23.0,0.01,80,19,355.9,356.0,355.9
157.0,14012.0,-63.1,-75.1,18.0,0.01,78,18,356.5,356.6,356.5
152.0,14209.0,-64.8,-72.5,34.0,0.01,70,15,356.9,357.0,356.9
