# 78954 TBPB Grantley Adams Observations at 12Z 15 May 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1010.0,57.0,27.2,23.6,81.0,18.55,90,5,299.5,353.9,302.8
1005.0,95.0,26.4,22.6,80.0,17.52,92,7,299.1,350.4,302.2
1000.0,134.0,25.8,22.3,81.0,17.28,95,10,298.9,349.5,302.0
998.0,152.0,25.6,22.2,82.0,17.21,94,11,298.9,349.3,302.0
981.0,302.0,24.4,21.5,84.0,16.73,90,15,299.2,348.1,302.1
948.0,601.0,21.9,20.0,89.0,15.8,85,17,299.6,346.0,302.4
928.0,787.0,20.4,19.1,92.0,15.24,89,17,299.9,344.6,302.6
925.0,815.0,20.2,18.9,92.0,15.09,90,17,300.0,344.3,302.7
916.0,900.0,19.8,17.8,88.0,14.2,85,17,300.4,342.3,303.0
900.0,1052.0,19.2,15.8,81.0,12.7,84,16,301.3,338.9,303.6
850.0,1543.0,16.0,14.1,88.0,12.04,80,11,302.9,338.8,305.1
843.0,1614.0,15.4,13.6,89.0,11.74,81,12,303.0,338.1,305.1
836.0,1685.0,15.4,12.7,84.0,11.16,83,12,303.7,337.1,305.7
806.0,1996.0,17.0,3.0,39.0,5.93,88,14,308.6,327.1,309.7
796.0,2101.0,16.3,2.6,40.0,5.82,90,15,309.0,327.2,310.0
700.0,3183.0,9.2,-1.8,46.0,4.81,65,13,312.6,328.1,313.6
683.0,3385.0,7.5,-2.5,49.0,4.7,55,13,312.9,328.0,313.8
639.0,3932.0,2.8,-4.2,60.0,4.41,65,10,313.6,327.9,314.4
618.0,4201.0,1.6,-10.7,40.0,2.76,70,9,315.2,324.4,315.8
592.0,4548.0,0.0,-19.0,22.0,1.45,181,4,317.3,322.3,317.6
590.0,4575.0,-0.2,-18.5,24.0,1.52,190,4,317.3,322.6,317.6
582.0,4684.0,-1.2,-16.5,30.0,1.83,235,5,317.4,323.7,317.8
563.0,4948.0,-3.5,-11.5,54.0,2.83,259,6,317.8,327.3,318.3
529.0,5440.0,-5.3,-24.3,21.0,1.02,304,8,321.3,325.0,321.5
521.0,5559.0,-6.4,-22.1,27.0,1.25,315,9,321.4,325.9,321.6
500.0,5880.0,-9.3,-16.3,57.0,2.15,285,8,321.6,329.1,322.1
497.0,5927.0,-9.5,-16.5,57.0,2.13,280,9,321.9,329.3,322.4
493.0,5989.0,-9.9,-16.9,57.0,2.08,273,10,322.2,329.4,322.6
488.0,6068.0,-9.5,-20.3,41.0,1.57,265,11,323.6,329.2,323.9
485.0,6116.0,-9.3,-22.3,34.0,1.33,274,11,324.4,329.2,324.7
481.0,6180.0,-9.5,-25.5,26.0,1.0,286,11,325.0,328.6,325.2
471.0,6342.0,-8.5,-33.5,11.0,0.48,316,12,328.2,330.0,328.3
468.0,6392.0,-8.7,-34.3,11.0,0.45,325,12,328.5,330.2,328.6
461.0,6509.0,-9.3,-36.3,9.0,0.37,319,13,329.2,330.7,329.3
424.0,7146.0,-13.9,-35.6,14.0,0.44,285,18,331.3,333.0,331.4
400.0,7590.0,-17.1,-35.1,19.0,0.49,295,17,332.7,334.6,332.8
393.0,7722.0,-17.7,-34.7,21.0,0.51,295,18,333.6,335.6,333.7
375.0,8071.0,-19.5,-39.5,15.0,0.33,296,21,335.7,337.0,335.8
