# 01004 ENAS Ny-Alesund Ii Observations at 12Z 25 May 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1014.0,8.0,-4.7,-10.7,63.0,1.68,130,10,267.4,272.1,267.7
1000.0,128.0,-6.3,-13.3,58.0,1.38,135,12,266.9,270.8,267.1
994.0,174.0,-6.7,-13.4,59.0,1.38,140,12,266.9,270.8,267.1
933.0,664.0,-11.3,-14.3,78.0,1.36,30,2,267.1,271.0,267.3
925.0,730.0,-11.9,-14.4,82.0,1.36,10,4,267.1,271.0,267.4
907.0,880.0,-13.1,-14.7,88.0,1.36,13,5,267.4,271.2,267.6
868.0,1215.0,-14.1,-16.4,83.0,1.23,19,9,269.7,273.3,269.9
861.0,1276.0,-14.3,-16.6,83.0,1.22,20,10,270.1,273.6,270.3
850.0,1374.0,-14.7,-17.0,83.0,1.19,25,14,270.7,274.2,270.9
821.0,1636.0,-15.6,-17.4,86.0,1.19,55,21,272.5,276.0,272.7
811.0,1729.0,-15.9,-17.6,87.0,1.19,47,21,273.1,276.6,273.3
797.0,1860.0,-15.8,-17.6,86.0,1.21,35,19,274.6,278.2,274.8
770.0,2121.0,-15.5,-17.6,84.0,1.25,34,21,277.6,281.4,277.8
704.0,2791.0,-20.5,-21.3,93.0,1.0,30,27,279.3,282.3,279.5
703.0,2801.0,-20.5,-21.4,92.0,0.99,30,27,279.4,282.4,279.6
700.0,2833.0,-20.3,-22.5,83.0,0.9,30,27,280.0,282.8,280.1
687.0,2971.0,-20.3,-23.9,73.0,0.81,30,29,281.5,284.0,281.6
664.0,3222.0,-21.3,-25.5,69.0,0.73,30,33,283.1,285.4,283.2
647.0,3413.0,-22.9,-25.4,80.0,0.75,30,37,283.4,285.8,283.5
645.0,3435.0,-23.0,-25.6,79.0,0.74,30,37,283.6,285.9,283.7
627.0,3642.0,-23.7,-27.4,72.0,0.65,26,33,285.0,287.1,285.1
609.0,3853.0,-25.3,-28.6,74.0,0.6,21,28,285.6,287.5,285.7
604.0,3913.0,-25.8,-29.7,70.0,0.54,20,27,285.7,287.4,285.8
603.0,3925.0,-25.9,-29.9,69.0,0.53,21,27,285.7,287.4,285.8
596.0,4009.0,-26.5,-38.5,31.0,0.23,24,28,285.9,286.8,286.0
582.0,4180.0,-27.5,-41.5,25.0,0.17,31,30,286.7,287.3,286.8
556.0,4506.0,-30.3,-42.7,29.0,0.16,45,33,287.1,287.7,287.2
551.0,4570.0,-30.9,-42.9,30.0,0.16,45,34,287.2,287.8,287.2
532.0,4817.0,-32.9,-37.7,62.0,0.28,45,37,287.7,288.7,287.8
500.0,5250.0,-35.5,-45.5,35.0,0.13,45,43,289.7,290.2,289.7
490.0,5390.0,-36.5,-48.5,28.0,0.1,44,43,290.1,290.5,290.2
463.0,5781.0,-40.1,-45.1,59.0,0.15,40,45,290.4,290.9,290.4
461.0,5810.0,-40.2,-46.2,53.0,0.13,40,45,290.6,291.1,290.6
442.0,6097.0,-41.5,-56.5,18.0,0.04,38,42,292.5,292.7,292.5
406.0,6670.0,-44.3,-57.3,22.0,0.04,35,37,296.1,296.2,296.1
403.0,6720.0,-44.3,-58.3,20.0,0.04,35,37,296.7,296.8,296.7
400.0,6770.0,-44.3,-59.3,17.0,0.03,35,39,297.3,297.5,297.3
395.0,6854.0,-44.4,-60.1,16.0,0.03,30,41,298.2,298.3,298.2
393.0,6888.0,-44.5,-60.5,15.0,0.03,31,41,298.6,298.7,298.6
344.0,7782.0,-44.4,-68.4,5.0,0.01,45,39,310.3,310.4,310.3
306.0,8567.0,-44.3,-75.3,2.0,0.0,32,32,321.0,321.0,321.0
300.0,8700.0,-43.7,-73.7,2.0,0.01,30,31,323.6,323.7,323.7
291.0,8906.0,-42.6,-75.1,2.0,0.0,25,35,328.1,328.1,328.1
281.0,9143.0,-41.3,-76.6,1.0,0.0,40,35,333.2,333.2,333.2
272.0,9364.0,-40.1,-78.1,1.0,0.0,25,34,338.1,338.1,338.1
269.0,9440.0,-40.1,-78.5,1.0,0.0,20,33,339.2,339.2,339.2
258.0,9725.0,-40.0,-79.8,1.0,0.0,40,31,343.4,343.4,343.4
250.0,9940.0,-39.9,-80.9,0.0,0.0,30,31,346.6,346.6,346.6
