# 10410 EDZE Essen Observations at 12Z 30 May 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1005.0,147.0,15.4,12.9,85.0,9.38,210,8,288.1,314.6,289.8
1000.0,192.0,14.8,12.2,84.0,9.0,220,6,287.9,313.3,289.5
956.0,571.0,11.2,10.7,97.0,8.52,230,17,288.0,312.1,289.5
947.0,650.0,10.4,10.4,100.0,8.43,228,17,288.0,311.8,289.5
932.0,783.0,9.7,9.7,100.0,8.18,225,17,288.6,311.8,290.0
925.0,846.0,9.4,9.4,100.0,8.06,230,17,288.9,311.8,290.3
874.0,1315.0,7.7,7.7,100.0,7.57,250,23,291.8,313.7,293.2
850.0,1545.0,6.8,6.8,100.0,7.34,260,23,293.3,314.6,294.6
811.0,1931.0,4.8,4.4,97.0,6.51,283,20,295.1,314.2,296.2
808.0,1961.0,4.6,4.2,97.0,6.45,285,19,295.2,314.2,296.4
777.0,2277.0,3.0,2.5,97.0,5.92,275,12,296.8,314.4,297.8
764.0,2413.0,2.2,1.7,96.0,5.71,285,10,297.4,314.5,298.4
749.0,2573.0,1.4,0.8,96.0,5.46,300,12,298.2,314.6,299.2
700.0,3120.0,-1.5,-2.2,95.0,4.67,295,14,300.8,315.1,301.6
661.0,3571.0,-3.8,-4.7,94.0,4.12,285,16,303.2,316.0,303.9
618.0,4101.0,-6.5,-7.5,92.0,3.53,300,16,305.9,317.1,306.6
600.0,4334.0,-7.7,-8.8,92.0,3.29,300,15,307.2,317.7,307.8
572.0,4701.0,-9.9,-11.6,87.0,2.76,300,14,308.8,317.8,309.3
515.0,5507.0,-14.7,-17.8,77.0,1.84,312,18,312.4,318.6,312.8
510.0,5580.0,-14.5,-23.5,46.0,1.13,313,19,313.5,317.5,313.7
506.0,5640.0,-15.1,-27.1,35.0,0.83,314,19,313.5,316.4,313.6
502.0,5700.0,-15.5,-22.5,55.0,1.26,315,19,313.7,318.1,314.0
