# 48698 WSSS Singapore Observations at 12Z 10 Jun 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1005.0,16,31.2,25.2,70,20.58,220.0,4.0,303.9,365.6,307.6
1000.0,67,30.4,24.4,70,19.69,130.0,4.0,303.6,362.4,307.1
962.0,411,27.0,23.1,79,18.91,150.0,10.0,303.5,360.0,306.9
936.0,654,24.6,22.2,86,18.37,135.0,14.0,303.5,358.3,306.8
925.0,759,23.6,21.8,90,18.14,155.0,12.0,303.4,357.6,306.7
924.0,768,23.5,21.7,90,18.07,155.0,12.0,303.5,357.4,306.7
911.0,893,22.6,20.7,89,17.19,150.0,15.0,303.7,355.1,306.9
893.0,1067,23.0,13.0,53,10.64,130.0,13.0,305.9,338.2,307.8
873.0,1264,22.4,7.4,38,7.45,141.0,11.0,307.2,330.2,308.6
865.0,1344,21.9,9.3,45,8.55,145.0,10.0,307.5,333.7,309.1
850.0,1496,20.8,12.8,60,11.04,145.0,8.0,307.9,341.6,310.0
817.0,1838,18.4,13.4,73,11.96,117.0,7.0,308.9,345.5,311.1
787.0,2159,17.0,10.0,63,9.89,91.0,6.0,310.7,341.3,312.6
765.0,2400,15.2,12.5,84,12.05,72.0,6.0,311.3,348.5,313.5
700.0,3151,12.2,6.2,67,8.57,10.0,4.0,316.0,343.2,317.6
689.0,3282,11.5,5.5,67,8.27,265.0,1.0,316.6,342.9,318.2
591.0,4549,4.4,-1.6,65,5.79,191.0,5.0,322.6,341.7,323.7
505.0,5810,-3.2,-9.2,63,3.79,115.0,10.0,328.1,341.2,328.9
500.0,5890,-3.7,-9.7,63,3.68,110.0,8.0,328.5,341.2,329.2
482.0,6180,-5.7,-12.7,58,3.0,105.0,7.0,329.5,340.0,330.1
475.0,6295,-6.5,-10.6,73,3.61,103.0,6.0,329.9,342.4,330.6
451.0,6701,-7.7,-19.7,38,1.79,96.0,4.0,333.3,339.8,333.6
448.0,6753,-8.0,-19.1,40,1.9,95.0,4.0,333.6,340.5,334.0
444.0,6823,-8.3,-18.3,44,2.05,94.0,5.0,334.0,341.4,334.4
441.0,6876,-8.7,-12.8,72,3.26,94.0,6.0,334.1,345.7,334.8
436.0,6964,-8.9,-16.9,52,2.35,93.0,7.0,335.0,343.5,335.5
426.0,7144,-10.3,-12.0,87,3.6,91.0,9.0,335.4,348.2,336.1
425.0,7163,-10.3,-13.3,79,3.25,90.0,10.0,335.6,347.2,336.3
422.0,7217,-9.9,-16.9,57,2.43,90.0,10.0,336.8,345.7,337.3
400.0,7630,-12.5,-20.5,51,1.88,85.0,16.0,338.6,345.6,339.0
388.0,7862,-14.3,-24.3,42,1.39,85.0,14.0,339.2,344.5,339.5
387.0,7881,-14.4,-24.3,43,1.39,85.0,14.0,339.3,344.6,339.6
365.0,8322,-17.9,-24.9,54,1.4,92.0,18.0,340.4,345.7,340.7
358.0,8467,-19.1,-21.8,79,1.88,94.0,19.0,340.7,347.7,341.1
354.0,8550,-19.6,-25.1,61,1.41,95.0,20.0,341.2,346.6,341.5
344.0,8763,-20.7,-33.7,30,0.65,92.0,21.0,342.4,345.0,342.6
341.0,8827,-21.1,-30.1,44,0.93,92.0,21.0,342.8,346.4,342.9
340.0,8849,-21.1,-35.1,27,0.57,91.0,21.0,343.0,345.4,343.2
311.0,9500,-26.1,-32.1,57,0.84,83.0,24.0,344.9,348.2,345.1
308.0,9571,-26.5,-37.5,35,0.5,82.0,24.0,345.3,347.3,345.4
300.0,9760,-28.1,-37.1,42,0.53,80.0,25.0,345.7,347.8,345.8
292.0,9953,-29.3,-41.3,30,0.35,76.0,25.0,346.6,348.1,346.7
290.0,10002,-29.5,-40.5,34,0.39,75.0,26.0,347.0,348.6,347.1
250.0,11040,-38.5,-58.5,10,0.06,55.0,28.0,348.7,348.9,348.7
246.0,11151,-39.3,-59.3,10,0.05,55.0,28.0,349.1,349.4,349.1
237.0,11402,-41.6,-58.2,15,0.06,55.0,27.0,349.3,349.6,349.3
223.0,11814,-45.5,-56.5,28,0.08,57.0,30.0,349.5,349.9,349.5
203.0,12433,-50.3,-68.3,10,0.02,60.0,35.0,351.5,351.6,351.5
200.0,12530,-51.3,-65.3,17,0.03,60.0,36.0,351.4,351.5,351.4
196.0,12661,-52.7,-59.7,42,0.06,60.0,37.0,351.2,351.5,351.2
175.0,13382,-58.7,-72.7,15,0.01,57.0,40.0,352.9,352.9,352.9
160.0,13934,-63.7,-73.8,24,0.01,55.0,42.0,353.6,353.7,353.6
