# 10410 EDZE Essen Observations at 12Z 11 Jun 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1000.0,100,,,,,,,,,
994.0,147,17.2,10.2,63.0,7.92,230.0,6.0,290.9,313.6,292.2
990.0,181,15.2,7.2,59.0,6.47,234.0,6.0,289.2,307.8,290.3
925.0,755,10.0,6.4,78.0,6.56,295.0,6.0,289.5,308.4,290.7
916.0,836,9.2,6.1,81.0,6.48,281.0,6.0,289.5,308.2,290.6
909.0,900,8.8,3.8,71.0,5.56,270.0,6.0,289.7,305.9,290.7
863.0,1331,9.2,-3.8,40.0,3.36,197.0,6.0,294.5,304.7,295.1
850.0,1457,8.4,-4.6,39.0,3.21,175.0,6.0,294.9,304.7,295.5
839.0,1564,7.4,-4.6,42.0,3.25,185.0,8.0,295.0,304.9,295.6
834.0,1613,7.2,-2.7,50.0,3.78,190.0,10.0,295.2,306.7,295.9
823.0,1722,6.6,1.6,70.0,5.25,190.0,10.0,295.8,311.4,296.7
776.0,2202,4.4,-3.6,56.0,3.79,193.0,13.0,298.4,310.0,299.1
727.0,2728,1.3,-4.7,64.0,3.72,195.0,16.0,300.6,312.1,301.3
700.0,3033,-0.5,-5.4,69.0,3.67,180.0,19.0,301.9,313.3,302.6
660.0,3501,-3.6,-7.8,73.0,3.23,170.0,14.0,303.5,313.7,304.1
654.0,3574,-4.1,-8.2,73.0,3.17,172.0,15.0,303.8,313.8,304.3
635.0,3807,-3.3,-25.3,16.0,0.77,177.0,19.0,307.2,309.9,307.4
604.0,4202,-6.3,-16.3,45.0,1.78,187.0,25.0,308.2,314.1,308.5
593.0,4343,-7.4,-17.1,46.0,1.7,190.0,27.0,308.5,314.2,308.8
574.0,4594,-9.4,-18.4,48.0,1.57,175.0,31.0,309.1,314.4,309.4
527.0,5252,-14.6,-21.8,54.0,1.27,185.0,33.0,310.5,314.8,310.7
521.0,5340,-15.3,-22.3,55.0,1.23,184.0,34.0,310.6,314.9,310.9
500.0,5650,-17.9,-26.9,45.0,0.85,180.0,39.0,311.1,314.1,311.3
478.0,5984,-20.5,-28.5,49.0,0.77,178.0,45.0,312.0,314.7,312.1
467.0,6156,-21.5,-27.5,58.0,0.86,177.0,47.0,312.8,315.8,313.0
446.0,6493,-23.9,-35.9,32.0,0.4,175.0,53.0,313.9,315.4,314.0
442.0,6559,-24.4,-32.9,45.0,0.55,175.0,54.0,314.1,316.1,314.2
437.0,6641,-25.1,-29.1,69.0,0.79,174.0,55.0,314.2,317.1,314.4
412.0,7067,-26.5,-35.5,42.0,0.45,171.0,56.0,317.8,319.5,317.9
403.0,7226,-27.7,-34.7,51.0,0.5,170.0,56.0,318.2,320.1,318.3
