# 78954 TBPB Grantley Adams Observations at 12Z 16 Jun 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1010.0,57,27.8,22.9,75,17.76,80.0,12.0,300.1,352.4,303.3
1000.0,137,26.8,23.1,80,18.17,75.0,15.0,299.9,353.4,303.2
982.0,297,25.3,22.4,84,17.69,75.0,19.0,300.0,352.0,303.1
949.0,598,22.4,21.0,92,16.8,80.0,22.0,300.0,349.4,303.0
925.0,821,21.2,18.7,86,14.9,80.0,27.0,301.0,345.0,303.7
917.0,896,20.7,18.1,85,14.43,80.0,28.0,301.2,343.9,303.8
915.0,915,20.6,17.9,85,14.31,80.0,28.0,301.3,343.6,303.9
875.0,1301,18.0,16.3,90,13.5,80.0,24.0,302.5,342.6,304.9
850.0,1550,16.6,14.7,89,12.52,80.0,22.0,303.5,341.0,305.8
836.0,1692,15.6,13.3,86,11.61,84.0,24.0,303.9,338.7,306.0
800.0,2067,17.4,2.4,37,5.72,94.0,30.0,309.7,327.7,310.8
797.0,2099,17.3,2.0,36,5.59,95.0,30.0,309.9,327.5,310.9
778.0,2305,16.6,-0.4,31,4.8,96.0,30.0,311.3,326.6,312.2
766.0,2437,15.8,0.8,36,5.32,97.0,29.0,311.8,328.8,312.8
734.0,2797,13.4,-4.6,28,3.72,98.0,29.0,313.0,325.1,313.7
701.0,3182,10.4,-3.6,37,4.2,100.0,28.0,313.8,327.5,314.6
700.0,3194,10.4,-4.6,35,3.9,100.0,28.0,314.0,326.7,314.7
668.0,3582,8.2,-13.8,19,1.98,100.0,25.0,315.7,322.5,316.1
656.0,3731,7.0,-11.0,26,2.53,100.0,23.0,316.0,324.5,316.5
634.0,4011,5.4,-19.6,15,1.28,100.0,21.0,317.3,321.8,317.5
619.0,4204,4.1,-17.9,18,1.52,100.0,19.0,318.0,323.3,318.3
550.0,5157,-2.1,-9.6,57,3.39,135.0,14.0,321.5,333.0,322.2
548.0,5186,-2.3,-9.3,59,3.47,134.0,14.0,321.6,333.3,322.3
517.0,5647,-4.8,-15.6,42,2.21,120.0,8.0,324.1,331.8,324.5
508.0,5785,-5.5,-17.5,38,1.92,106.0,11.0,324.8,331.6,325.2
504.0,5847,-5.9,-14.9,49,2.4,100.0,12.0,325.0,333.4,325.5
500.0,5910,-6.3,-12.3,62,2.99,115.0,11.0,325.3,335.6,325.9
495.0,5989,-6.5,-11.2,69,3.3,126.0,12.0,326.0,337.3,326.6
491.0,6052,-6.9,-12.0,67,3.12,135.0,12.0,326.2,337.0,326.9
464.0,6491,-9.7,-17.7,52,2.06,152.0,12.0,328.1,335.4,328.5
431.0,7052,-13.7,-19.3,62,1.93,175.0,11.0,330.0,336.9,330.4
413.0,7377,-16.0,-20.3,69,1.86,220.0,4.0,331.1,337.8,331.5
408.0,7469,-16.6,-20.6,72,1.84,205.0,5.0,331.4,338.1,331.8
400.0,7620,-17.7,-21.0,75,1.8,220.0,6.0,331.9,338.4,332.3
377.0,8050,-20.7,-23.7,76,1.5,260.0,17.0,333.6,339.2,333.9
344.0,8716,-25.2,-28.0,78,1.12,215.0,29.0,336.3,340.5,336.5
335.0,8908,-26.6,-29.2,78,1.03,210.0,33.0,337.0,340.9,337.2
300.0,9710,-32.1,-34.3,81,0.7,205.0,31.0,340.0,342.8,340.2
268.0,10490,-38.7,-42.2,69,0.35,225.0,34.0,341.6,343.0,341.7
250.0,10970,-42.7,-47.1,62,0.22,235.0,37.0,342.4,343.4,342.5
242.0,11184,-44.4,-48.8,62,0.19,240.0,41.0,343.1,343.9,343.1
229.0,11548,-47.3,-51.6,62,0.14,250.0,57.0,344.1,344.7,344.1
200.0,12440,-54.5,-58.5,61,0.07,240.0,59.0,346.3,346.6,346.3
176.0,13246,-61.9,-66.0,58,0.03,240.0,61.0,347.0,347.2,347.0
171.0,13422,-63.2,-67.1,59,0.03,240.0,62.0,347.8,347.9,347.8
151.0,14180,-68.7,-71.9,63,0.02,254.0,52.0,350.9,351.0,350.9
150.0,14220,-68.9,-72.2,62,0.01,255.0,51.0,351.2,351.3,351.2
146.0,14381,-69.7,-73.1,61,0.01,255.0,45.0,352.5,352.6,352.6
137.0,14759,-69.9,-73.6,58,0.01,269.0,43.0,358.7,358.7,358.7
133.0,14936,-69.3,-73.0,58,0.01,275.0,42.0,362.8,362.9,362.9
128.0,15165,-68.4,-72.3,57,0.02,270.0,32.0,368.3,368.4,368.3
126.0,15259,-68.1,-72.0,57,0.02,266.0,33.0,370.6,370.7,370.6
120.0,15551,-69.3,-73.5,54,0.02,254.0,35.0,373.6,373.7,373.6
111.0,16012,-70.5,-74.5,55,0.01,235.0,39.0,379.8,379.8,379.8
107.0,16229,-71.1,-75.0,56,0.01,220.0,39.0,382.7,382.8,382.7
100.0,16630,-72.1,-75.9,57,0.01,225.0,34.0,388.2,388.2,388.2
91.5,17152,-73.9,-77.4,59,0.01,225.0,36.0,394.6,394.6,394.6
90.4,17223,-74.1,-77.5,59,0.01,227.0,33.0,395.6,395.6,395.6
80.0,17943,-72.6,-76.4,56,0.01,250.0,8.0,412.8,412.8,412.8
70.0,18730,-70.9,-75.2,53,0.02,335.0,18.0,432.4,432.5,432.4
69.0,18817,-70.5,-74.9,52,0.02,345.0,19.0,435.0,435.1,435.0
67.0,18994,-69.8,-74.3,52,0.02,15.0,16.0,440.3,440.4,440.3
64.0,19271,-68.6,-73.3,50,0.03,60.0,12.0,448.7,448.9,448.7
59.0,19761,-66.4,-71.6,48,0.04,30.0,11.0,464.1,464.3,464.1
55.0,20185,-64.6,-70.1,47,0.05,70.0,18.0,477.7,478.0,477.7
50.0,20760,-62.1,-68.1,44,0.08,85.0,22.0,496.7,497.3,496.7
41.6,21900,-60.1,-68.1,34,0.1,141.0,16.0,528.5,529.2,528.5
39.0,22302,-60.5,-68.5,34,0.1,160.0,14.0,537.4,538.1,537.4
38.7,22350,-60.5,-68.5,34,0.1,156.0,14.0,538.5,539.2,538.5
32.1,23517,-58.9,-69.9,23,0.1,52.0,2.0,572.3,573.1,572.4
32.0,23536,-58.9,-70.0,23,0.1,50.0,2.0,572.7,573.5,572.8
30.0,23940,-59.7,-71.7,19,0.08,75.0,13.0,581.3,582.0,581.3
29.7,24003,-59.7,-71.7,19,0.08,82.0,15.0,583.0,583.6,583.0
29.0,24155,-59.2,-71.9,18,0.08,100.0,19.0,588.4,589.1,588.5
28.0,24380,-58.4,-72.2,15,0.08,100.0,22.0,596.5,597.2,596.5
27.0,24612,-57.6,-72.5,13,0.08,90.0,15.0,605.0,605.7,605.0
20.0,26530,-50.9,-74.9,4,0.07,90.0,35.0,679.6,680.3,679.6
16.5,27792,-46.5,-73.5,3,0.11,83.0,43.0,732.2,733.4,732.3
16.3,27873,-46.5,-73.5,3,0.11,83.0,44.0,734.8,736.0,734.8
15.3,28291,-47.1,-74.1,3,0.11,81.0,46.0,746.2,747.4,746.3
13.0,29377,-45.2,-72.2,3,0.17,75.0,53.0,788.4,790.3,788.5
12.2,29800,-44.4,-71.4,3,0.2,75.0,60.0,805.5,807.8,805.6
12.0,29910,-44.2,-71.2,3,0.21,75.0,60.0,810.0,812.4,810.1
10.9,30551,-43.1,-70.1,4,0.28,78.0,53.0,836.7,839.9,836.8
10.5,30802,-43.7,-69.7,4,0.3,79.0,50.0,843.5,847.0,843.6
10.0,31130,-42.9,-69.9,4,0.31,80.0,47.0,858.3,862.0,858.4
9.8,31266,-42.3,-69.3,4,0.34,,,865.5,869.6,865.7
