# 01004 ENAS Ny-Alesund Ii Observations at 12Z 29 Jun 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1003.0,8,6.2,-1.8,57,3.36,115.0,16.0,279.1,288.6,279.7
1002.0,20,5.7,-1.9,58,3.33,105.0,10.0,278.7,288.2,279.3
1000.0,44,4.8,-2.2,60,3.27,105.0,12.0,277.9,287.2,278.5
990.0,126,3.8,-3.2,60,3.06,103.0,12.0,277.8,286.4,278.3
934.0,595,0.7,-5.5,64,2.74,90.0,16.0,279.2,287.1,279.7
926.0,664,0.2,-5.8,64,2.69,90.0,17.0,279.4,287.2,279.9
925.0,673,0.2,-5.8,64,2.69,90.0,17.0,279.5,287.3,280.0
850.0,1344,-5.1,-7.6,83,2.55,120.0,21.0,280.8,288.2,281.2
846.0,1381,-5.4,-7.7,84,2.55,120.0,23.0,280.8,288.2,281.3
816.0,1663,-7.9,-8.3,97,2.52,118.0,20.0,281.1,288.4,281.6
785.0,1963,-9.9,-10.4,96,2.22,115.0,16.0,282.1,288.6,282.5
779.0,2022,-10.3,-10.8,96,2.16,108.0,17.0,282.3,288.7,282.7
767.0,2142,-10.3,-12.6,83,1.9,95.0,20.0,283.6,289.2,283.9
754.0,2273,-10.1,-15.8,63,1.48,80.0,23.0,285.1,289.7,285.4
753.0,2284,-10.1,-16.1,61,1.45,79.0,23.0,285.3,289.7,285.5
751.0,2304,-9.9,-15.9,62,1.48,78.0,23.0,285.7,290.2,285.9
700.0,2842,-14.1,-16.2,84,1.55,50.0,17.0,286.8,291.6,287.1
695.0,2896,-14.6,-16.4,86,1.53,55.0,17.0,286.9,291.6,287.2
672.0,3150,-16.7,-17.4,94,1.46,55.0,20.0,287.3,291.8,287.6
632.0,3609,-17.7,-23.7,59,0.9,55.0,24.0,291.2,294.1,291.4
597.0,4032,-20.9,-25.7,65,0.79,55.0,28.0,292.3,294.9,292.4
512.0,5150,-27.1,-39.1,31,0.25,55.0,39.0,297.9,298.8,298.0
503.0,5277,-28.1,-36.1,46,0.35,55.0,40.0,298.2,299.4,298.3
500.0,5320,-28.5,-32.2,70,0.52,55.0,41.0,298.2,300.0,298.3
497.0,5363,-28.7,-29.2,95,0.69,55.0,41.0,298.5,300.8,298.6
482.0,5583,-30.5,-30.5,100,0.63,55.0,42.0,298.9,301.1,299.0
479.0,5627,-30.9,-31.6,94,0.57,55.0,42.0,298.9,300.9,299.1
476.0,5672,-31.3,-44.3,27,0.16,55.0,43.0,299.0,299.6,299.0
459.0,5930,-31.9,-45.9,24,0.14,55.0,44.0,301.4,301.9,301.4
449.0,6086,-33.3,-44.3,32,0.17,55.0,45.0,301.5,302.1,301.5
444.0,6165,-33.9,-38.0,66,0.33,55.0,45.0,301.7,302.9,301.8
435.0,6308,-34.9,-44.9,35,0.16,55.0,46.0,302.2,302.8,302.2
409.0,6737,-38.3,-43.3,59,0.2,55.0,48.0,303.2,303.9,303.2
400.0,6890,-39.3,-46.3,47,0.15,55.0,49.0,303.8,304.4,303.9
392.0,7028,-39.7,-48.7,38,0.12,55.0,50.0,305.1,305.5,305.1
389.0,7080,-39.7,-44.2,62,0.19,55.0,51.0,305.7,306.5,305.8
378.0,7275,-41.3,-44.6,70,0.19,55.0,53.0,306.1,306.9,306.2
373.0,7365,-42.0,-45.6,68,0.17,55.0,54.0,306.4,307.1,306.5
369.0,7438,-42.5,-46.4,65,0.16,55.0,53.0,306.7,307.3,306.7
364.0,7530,-42.9,-50.9,41,0.1,55.0,51.0,307.3,307.7,307.3
358.0,7642,-42.3,-56.3,20,0.05,60.0,48.0,309.6,309.8,309.6
353.0,7737,-42.1,-57.5,17,0.05,65.0,47.0,311.1,311.3,311.1
323.0,8339,-40.8,-64.7,6,0.02,50.0,33.0,320.9,321.0,320.9
312.0,8574,-40.3,-67.5,4,0.01,65.0,29.0,324.8,324.9,324.8
300.0,8840,-39.7,-70.7,2,0.01,60.0,29.0,329.3,329.3,329.3
291.0,9051,-39.2,-72.1,2,0.01,50.0,33.0,332.8,332.9,332.8
264.0,9723,-37.7,-76.5,1,0.0,60.0,33.0,344.4,344.4,344.4
250.0,10100,-36.9,-78.9,0,0.0,45.0,25.0,351.1,351.1,351.1
249.0,10128,-36.5,-78.8,0,0.0,45.0,25.0,352.1,352.1,352.1
247.0,10184,-35.7,-78.7,0,0.0,50.0,27.0,354.1,354.1,354.1
241.0,10354,-35.7,-78.7,0,0.0,65.0,31.0,356.6,356.6,356.6
225.0,10832,-35.6,-78.6,0,0.0,45.0,23.0,363.8,363.8,363.8
210.0,11311,-35.5,-78.5,0,0.0,40.0,21.0,371.1,371.1,371.1
200.0,11650,-35.5,-78.5,0,0.0,65.0,23.0,376.4,376.4,376.4
195.0,11826,-34.9,-77.9,0,0.0,65.0,25.0,380.1,380.1,380.1
192.0,11933,-34.5,-77.5,0,0.01,78.0,20.0,382.4,382.4,382.4
187.0,12115,-35.3,-78.0,0,0.0,100.0,12.0,384.0,384.0,384.0
181.0,12339,-36.3,-78.6,0,0.0,65.0,2.0,386.0,386.0,386.0
164.0,13018,-39.3,-80.4,1,0.0,35.0,10.0,392.0,392.0,392.0
163.0,13060,-39.5,-80.5,1,0.0,45.0,12.0,392.3,392.4,392.3
158.0,13274,-38.3,-79.8,0,0.0,50.0,23.0,397.8,397.8,397.8
152.0,13539,-36.9,-78.9,0,0.01,71.0,18.0,404.7,404.7,404.7
151.0,13584,-37.0,-79.0,0,0.01,75.0,17.0,405.3,405.3,405.3
150.0,13630,-37.1,-79.1,0,0.01,75.0,16.0,405.9,405.9,405.9
139.0,14152,-39.6,-80.8,0,0.0,35.0,10.0,410.5,410.5,410.5
135.0,14352,-40.5,-81.5,0,0.0,58.0,12.0,412.3,412.3,412.3
133.0,14454,-39.2,-80.8,0,0.0,70.0,14.0,416.4,416.4,416.4
132.0,14506,-38.5,-80.5,0,0.0,71.0,14.0,418.5,418.5,418.5
125.0,14878,-40.4,-81.6,0,0.0,75.0,14.0,421.7,421.7,421.7
123.0,14988,-40.9,-81.9,0,0.0,66.0,13.0,422.6,422.7,422.6
121.0,15100,-38.3,-80.3,0,0.01,58.0,13.0,429.4,429.4,429.4
117.0,15329,-38.9,-80.7,0,0.01,40.0,12.0,432.4,432.5,432.4
112.0,15627,-39.7,-81.3,0,0.0,95.0,14.0,436.4,436.4,436.4
108.0,15875,-40.3,-81.7,0,0.0,65.0,4.0,439.7,439.8,439.7
103.0,16198,-41.2,-82.3,0,0.0,45.0,10.0,444.1,444.1,444.1
100.0,16400,-41.7,-82.7,0,0.0,55.0,17.0,446.9,446.9,446.9
95.0,16748,-41.5,-82.5,0,0.0,100.0,14.0,453.8,453.8,453.8
94.0,16820,-41.5,-82.5,0,0.0,100.0,10.0,455.2,455.2,455.2
89.0,17191,-41.4,-82.3,0,0.01,40.0,10.0,462.7,462.7,462.7
85.0,17503,-41.2,-82.2,0,0.01,105.0,10.0,469.1,469.1,469.1
81.0,17830,-41.1,-82.1,0,0.01,110.0,2.0,475.9,475.9,475.9
