# 10410 EDZE Essen Observations at 12Z 10 Jul 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1003.0,147,20.0,4.0,35,5.11,225.0,2.0,292.9,308.0,293.8
1000.0,169,18.6,3.6,37,4.98,125.0,2.0,291.8,306.4,292.6
998.0,186,17.6,2.6,37,4.65,128.0,2.0,290.9,304.6,291.7
925.0,827,11.0,1.0,50,4.47,260.0,2.0,290.6,303.7,291.3
872.0,1315,6.6,0.6,66,4.6,274.0,5.0,290.9,304.4,291.7
867.0,1362,6.2,0.2,65,4.5,275.0,5.0,291.0,304.2,291.8
864.0,1391,6.4,-2.6,53,3.67,276.0,5.0,291.5,302.4,292.1
862.0,1410,7.6,-18.4,14,1.05,277.0,5.0,292.9,296.3,293.1
858.0,1448,7.8,-19.2,13,0.98,278.0,5.0,293.5,296.7,293.7
857.0,1458,7.8,-18.2,14,1.07,278.0,5.0,293.6,297.1,293.8
850.0,1525,7.4,-14.6,19,1.46,280.0,6.0,293.9,298.5,294.1
836.0,1661,7.2,-21.8,11,0.8,290.0,7.0,295.1,297.7,295.2
826.0,1760,7.0,-16.0,18,1.34,298.0,8.0,295.9,300.2,296.1
819.0,1830,6.6,-0.4,61,4.56,303.0,9.0,296.2,309.9,297.0
795.0,2074,4.6,2.6,87,5.84,321.0,11.0,296.6,313.9,297.6
784.0,2187,4.0,2.4,89,5.82,330.0,12.0,297.1,314.4,298.1
740.0,2655,1.4,1.4,100,5.76,342.0,18.0,299.2,316.5,300.3
730.0,2765,1.1,0.4,95,5.41,345.0,19.0,300.0,316.4,301.0
700.0,3102,0.0,-2.8,81,4.47,340.0,17.0,302.4,316.2,303.3
670.0,3452,-1.7,-4.4,82,4.14,336.0,19.0,304.4,317.3,305.1
665.0,3512,-1.5,-5.0,77,3.98,336.0,20.0,305.2,317.8,306.0
620.0,4066,-5.3,-7.5,85,3.53,330.0,23.0,307.1,318.3,307.7
595.0,4388,-7.5,-10.2,81,2.97,327.0,24.0,308.1,317.7,308.7
590.0,4453,-7.5,-13.5,62,2.3,326.0,25.0,308.9,316.4,309.3
584.0,4533,-8.2,-13.0,69,2.43,325.0,25.0,308.9,316.9,309.4
564.0,4802,-10.7,-11.1,97,2.92,327.0,28.0,309.1,318.6,309.6
500.0,5720,-15.5,-17.8,83,1.9,335.0,39.0,314.1,320.5,314.4
447.0,6558,-20.9,-25.8,65,1.05,335.0,39.0,317.5,321.2,317.7
445.0,6591,-21.1,-26.1,64,1.03,335.0,39.0,317.6,321.2,317.8
402.0,7334,-26.9,-32.9,57,0.6,325.0,43.0,319.5,321.7,319.6
400.0,7370,-27.1,-33.1,57,0.59,325.0,43.0,319.7,321.9,319.8
387.0,7604,-29.0,-34.5,59,0.53,320.0,45.0,320.2,322.2,320.3
342.0,8479,-36.1,-40.0,68,0.35,325.0,56.0,322.1,323.4,322.1
341.0,8500,-36.3,-40.1,68,0.34,325.0,56.0,322.1,323.4,322.1
313.0,9090,-40.1,-44.2,65,0.24,322.0,52.0,324.8,325.7,324.8
310.0,9156,-40.5,-48.5,42,0.15,321.0,52.0,325.1,325.7,325.1
308.0,9200,-40.3,-58.3,13,0.05,321.0,52.0,326.0,326.2,326.0
305.0,9267,-40.1,-52.1,27,0.1,321.0,51.0,327.2,327.6,327.2
300.0,9380,-40.7,-50.7,33,0.12,320.0,51.0,327.9,328.4,327.9
298.0,9425,-41.1,-49.1,42,0.15,320.0,51.0,327.9,328.6,328.0
269.0,10110,-47.1,-52.1,56,0.12,320.0,52.0,328.9,329.4,329.0
250.0,10590,-50.9,-55.7,57,0.08,320.0,52.0,330.3,330.6,330.3
237.0,10935,-53.9,-58.0,61,0.06,325.0,51.0,330.8,331.1,330.8
