# 01004 ENAS Ny-Alesund Ii Observations at 12Z 11 Jul 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1012.0,8,7.8,5.1,83,5.47,240.0,10.0,280.0,295.2,280.9
1008.0,44,6.0,4.9,93,5.41,235.0,10.0,278.5,293.5,279.4
1000.0,115,5.8,4.4,91,5.27,225.0,10.0,278.9,293.5,279.8
925.0,750,1.4,1.4,100,4.6,145.0,6.0,280.7,293.7,281.5
918.0,811,1.2,1.2,100,4.57,154.0,6.0,281.1,294.0,281.9
915.0,837,1.6,-3.4,69,3.27,159.0,6.0,281.8,291.2,282.4
896.0,1007,5.6,-7.4,39,2.46,185.0,7.0,287.6,295.0,288.1
890.0,1062,6.0,-9.0,33,2.18,193.0,7.0,288.6,295.2,289.0
855.0,1391,7.8,-14.2,19,1.5,243.0,8.0,293.8,298.6,294.1
850.0,1439,7.8,-13.2,21,1.63,250.0,8.0,294.3,299.5,294.6
837.0,1566,7.8,-11.2,25,1.95,247.0,8.0,295.6,301.7,295.9
815.0,1785,7.0,-6.0,39,3.01,242.0,9.0,297.0,306.3,297.6
811.0,1825,6.8,-12.2,24,1.86,242.0,9.0,297.2,303.1,297.6
808.0,1856,6.4,0.4,65,4.9,241.0,9.0,297.1,311.8,298.0
763.0,2324,4.4,-6.6,45,3.07,230.0,10.0,299.9,309.4,300.4
761.0,2345,4.3,-12.3,29,1.96,230.0,10.0,300.0,306.3,300.4
756.0,2398,4.2,-26.8,8,0.57,223.0,10.0,300.4,302.4,300.5
749.0,2474,4.4,-28.6,7,0.49,213.0,11.0,301.4,303.1,301.5
743.0,2539,4.1,-20.8,14,0.99,205.0,12.0,301.8,305.1,302.0
738.0,2594,3.8,-14.2,26,1.74,210.0,12.0,302.1,307.7,302.4
732.0,2660,3.6,-23.4,12,0.8,216.0,12.0,302.6,305.3,302.7
728.0,2705,3.0,-10.0,38,2.47,220.0,12.0,302.4,310.2,302.8
723.0,2760,2.8,-16.9,22,1.42,225.0,12.0,302.7,307.4,303.0
719.0,2805,2.6,-22.4,14,0.89,224.0,12.0,303.0,306.0,303.2
700.0,3021,1.8,-18.2,21,1.31,220.0,12.0,304.4,308.8,304.7
684.0,3207,0.2,-11.8,40,2.28,221.0,11.0,304.7,312.0,305.1
678.0,3277,-0.1,-28.1,10,0.56,222.0,11.0,305.1,307.1,305.2
661.0,3480,-1.1,-20.1,22,1.18,223.0,10.0,306.2,310.2,306.4
659.0,3504,-1.1,-25.1,14,0.76,223.0,10.0,306.5,309.1,306.6
653.0,3576,-1.5,-36.5,5,0.26,224.0,10.0,306.8,307.8,306.9
645.0,3674,-2.3,-17.3,31,1.53,225.0,10.0,307.0,312.1,307.3
641.0,3723,-2.7,-17.3,31,1.54,225.0,10.0,307.1,312.3,307.4
630.0,3860,-3.6,-17.4,34,1.56,245.0,10.0,307.5,312.7,307.8
610.0,4114,-5.5,-17.5,38,1.6,246.0,10.0,308.2,313.6,308.6
596.0,4296,-6.7,-30.7,13,0.5,247.0,10.0,308.9,310.7,309.0
593.0,4335,-7.3,-16.3,49,1.81,247.0,11.0,308.7,314.7,309.0
587.0,4414,-7.9,-15.9,53,1.9,248.0,11.0,308.9,315.1,309.2
577.0,4547,-9.1,-18.1,48,1.6,248.0,11.0,309.0,314.4,309.3
574.0,4587,-9.1,-33.1,12,0.41,248.0,11.0,309.4,310.9,309.5
569.0,4655,-9.7,-42.7,5,0.16,249.0,11.0,309.5,310.1,309.5
559.0,4791,-10.5,-24.5,31,0.95,249.0,11.0,310.1,313.4,310.3
551.0,4902,-10.9,-39.9,7,0.22,250.0,12.0,310.9,311.8,311.0
547.0,4958,-11.3,-37.1,10,0.29,250.0,12.0,311.1,312.2,311.2
538.0,5085,-12.2,-30.7,20,0.56,240.0,10.0,311.5,313.5,311.6
535.0,5127,-12.5,-28.5,25,0.69,242.0,11.0,311.6,314.1,311.8
525.0,5271,-13.3,-38.5,10,0.26,250.0,14.0,312.3,313.3,312.4
523.0,5300,-13.5,-40.5,8,0.21,249.0,14.0,312.5,313.3,312.5
514.0,5432,-14.5,-23.5,46,1.13,246.0,14.0,312.8,316.7,313.0
501.0,5625,-16.1,-23.1,55,1.2,240.0,15.0,313.2,317.3,313.4
500.0,5640,-16.1,-23.1,55,1.2,240.0,16.0,313.4,317.5,313.6
