# 48698 WSSS Singapore Observations at 12Z 17 Jul 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1005.0,16.0,30.6,21.6,59.0,16.46,205,7,303.3,352.4,306.3
1001.0,54.0,29.5,21.3,61.0,16.19,175,10,302.5,350.7,305.5
1000.0,64.0,29.2,21.2,62.0,16.13,175,10,302.4,350.3,305.3
925.0,753.0,22.4,19.1,82.0,15.29,165,16,302.2,347.6,305.0
919.0,810.0,22.0,18.9,83.0,15.19,165,16,302.4,347.5,305.1
894.0,1049.0,20.8,15.7,73.0,12.73,165,17,303.5,341.6,305.8
870.0,1285.0,19.6,12.6,64.0,10.64,175,14,304.6,336.7,306.6
869.0,1295.0,19.6,12.1,62.0,10.32,175,14,304.7,335.9,306.6
858.0,1404.0,19.7,6.8,43.0,7.25,200,14,306.0,328.2,307.3
850.0,1485.0,19.8,2.8,32.0,5.54,200,13,306.9,324.1,307.9
846.0,1526.0,19.6,-1.4,24.0,4.1,203,12,307.1,320.1,307.8
844.0,1546.0,19.5,-2.3,23.0,3.84,205,12,307.1,319.3,307.9
832.0,1669.0,18.7,-7.9,16.0,2.54,190,12,307.6,315.8,308.0
831.0,1679.0,18.6,-8.4,15.0,2.45,192,12,307.6,315.6,308.1
819.0,1803.0,17.5,-3.1,24.0,3.72,215,13,307.7,319.6,308.4
816.0,1835.0,17.2,-1.8,27.0,4.13,215,13,307.7,320.8,308.5
808.0,1918.0,16.1,5.0,48.0,6.83,215,14,307.5,328.6,308.7
798.0,2024.0,14.8,13.7,93.0,12.5,242,13,307.1,345.1,309.4
797.0,2035.0,14.8,13.6,93.0,12.45,245,13,307.2,345.0,309.5
786.0,2152.0,14.2,12.7,91.0,11.9,235,12,307.9,344.1,310.1
728.0,2799.0,11.4,7.8,79.0,9.2,262,18,311.6,340.2,313.3
722.0,2868.0,12.1,6.4,68.0,8.44,265,19,313.1,339.6,314.6
721.0,2880.0,12.2,6.2,67.0,8.31,266,19,313.3,339.4,314.9
710.0,3009.0,11.9,5.4,64.0,7.96,275,16,314.3,339.5,315.9
700.0,3128.0,11.6,4.6,62.0,7.65,260,18,315.3,339.6,316.8
692.0,3224.0,11.3,3.6,59.0,7.21,245,13,316.0,339.1,317.4
678.0,3395.0,10.8,1.8,54.0,6.47,247,13,317.3,338.2,318.5
629.0,4015.0,7.2,-1.8,53.0,5.37,255,12,320.1,337.7,321.1
621.0,4121.0,6.6,-2.4,53.0,5.19,252,11,320.5,337.7,321.6
604.0,4346.0,4.8,-3.3,56.0,4.99,245,10,321.0,337.5,322.0
582.0,4647.0,2.4,-4.5,60.0,4.73,210,10,321.6,337.4,322.6
566.0,4873.0,0.6,-5.4,64.0,4.54,225,10,322.1,337.2,323.0
556.0,5016.0,0.2,-7.2,58.0,4.04,235,10,323.3,336.9,324.1
549.0,5117.0,-0.0,-8.4,53.0,3.71,230,12,324.2,336.8,324.9
531.0,5384.0,-0.7,-11.7,43.0,2.96,252,11,326.5,336.7,327.1
525.0,5474.0,-1.5,-12.3,44.0,2.86,260,10,326.6,336.5,327.1
506.0,5766.0,-4.1,-14.1,46.0,2.55,230,6,326.9,335.8,327.4
503.0,5813.0,-3.5,-24.5,18.0,1.05,225,6,328.1,332.0,328.4
500.0,5860.0,-3.7,-31.7,9.0,0.54,220,5,328.5,330.6,328.6
487.0,6068.0,-5.3,-37.3,6.0,0.32,222,4,329.0,330.2,329.0
468.0,6380.0,-7.7,-21.7,32.0,1.45,225,3,329.8,335.1,330.1
453.0,6634.0,-9.3,-30.3,16.0,0.68,227,2,330.8,333.4,331.0
449.0,6702.0,-9.9,-18.9,48.0,1.92,228,2,330.9,337.9,331.3
446.0,6754.0,-10.1,-23.1,34.0,1.34,228,2,331.3,336.2,331.6
443.0,6807.0,-10.7,-16.7,61.0,2.35,229,1,331.2,339.6,331.7
437.0,6912.0,-10.9,-28.8,21.0,0.82,230,1,332.2,335.4,332.4
430.0,7036.0,-11.1,-43.1,5.0,0.2,210,2,333.5,334.3,333.6
400.0,7590.0,-14.3,-56.3,1.0,0.05,120,5,336.3,336.5,336.3
384.0,7895.0,-16.0,-56.5,2.0,0.05,140,10,338.0,338.2,338.0
361.0,8357.0,-18.7,-56.9,2.0,0.05,150,18,340.5,340.7,340.5
359.0,8399.0,-18.9,-56.9,2.0,0.05,151,17,340.7,340.9,340.7
342.0,8751.0,-22.0,-52.2,5.0,0.09,160,13,341.2,341.6,341.2
300.0,9700.0,-30.5,-39.5,41.0,0.41,170,16,342.3,344.0,342.4
293.0,9867.0,-32.1,-39.0,51.0,0.45,170,13,342.3,344.1,342.4
286.0,10038.0,-33.8,-38.4,63.0,0.49,190,10,342.3,344.3,342.4
283.0,10113.0,-34.5,-38.2,69.0,0.5,210,8,342.3,344.3,342.4
276.0,10286.0,-35.9,-39.0,73.0,0.48,270,11,342.8,344.7,342.9
258.0,10754.0,-39.5,-41.1,85.0,0.41,317,19,344.1,345.8,344.2
257.0,10781.0,-39.7,-41.3,84.0,0.4,320,19,344.2,345.9,344.3
250.0,10970.0,-40.9,-42.8,82.0,0.35,330,15,345.1,346.6,345.2
235.0,11388.0,-43.9,-48.2,62.0,0.21,345,14,346.7,347.6,346.8
225.0,11677.0,-46.4,-49.3,72.0,0.19,355,13,347.3,348.1,347.3
223.0,11737.0,-46.9,-49.5,75.0,0.19,12,12,347.4,348.2,347.4
222.0,11767.0,-47.0,-51.3,61.0,0.15,20,11,347.7,348.3,347.7
221.0,11797.0,-47.1,-53.1,50.0,0.12,22,12,347.9,348.5,348.0
220.0,11827.0,-47.4,-52.9,53.0,0.13,25,12,348.0,348.6,348.1
217.0,11917.0,-48.1,-52.4,61.0,0.14,31,14,348.2,348.8,348.3
215.0,11978.0,-48.3,-56.3,39.0,0.09,35,15,348.8,349.2,348.9
214.0,12009.0,-48.3,-59.3,27.0,0.06,37,15,349.3,349.6,349.3
208.0,12194.0,-49.9,-59.6,31.0,0.06,50,19,349.6,349.9,349.7
202.0,12385.0,-51.5,-60.0,36.0,0.06,45,26,350.0,350.3,350.0
200.0,12450.0,-52.1,-60.1,38.0,0.06,50,27,350.1,350.4,350.1
183.0,13019.0,-57.1,-62.1,53.0,0.05,70,38,351.0,351.2,351.0
181.0,13089.0,-57.7,-62.3,56.0,0.05,70,39,351.1,351.3,351.1
164.0,13699.0,-62.9,-68.2,48.0,0.02,65,43,352.5,352.6,352.5
150.0,14250.0,-67.5,-73.5,42.0,0.01,70,57,353.6,353.7,353.6
146.0,14412.0,-68.5,-74.5,42.0,0.01,70,64,354.6,354.7,354.6
137.0,14790.0,-71.1,-81.1,22.0,0.0,70,82,356.5,356.6,356.5
134.0,14921.0,-70.2,-86.2,8.0,0.0,70,88,360.4,360.4,360.4
133.0,14965.0,-69.9,-87.9,6.0,0.0,71,86,361.7,361.7,361.7
132.0,15010.0,-69.7,-86.7,7.0,0.0,72,84,362.9,362.9,362.9
113.0,15913.0,-75.2,-86.2,17.0,0.0,95,42,369.0,369.0,369.0
102.0,16507.0,-78.9,-85.9,31.0,0.0,85,16,372.9,372.9,372.9
101.0,16563.0,-78.6,-86.1,29.0,0.0,80,15,374.6,374.6,374.6
100.0,16620.0,-78.3,-86.3,27.0,0.0,80,16,376.2,376.2,376.2
97.0,16793.0,-78.8,-86.8,26.0,0.0,100,19,378.4,378.4,378.4
93.5,17002.0,-79.5,-87.5,26.0,0.0,93,25,381.1,381.1,381.1
92.0,17095.0,-76.5,-87.5,16.0,0.0,90,27,388.8,388.8,388.8
91.0,17158.0,-74.5,-87.5,12.0,0.0,85,22,394.0,394.0,394.0
89.0,17288.0,-73.5,-88.0,10.0,0.0,75,13,398.4,398.4,398.4
87.0,17420.0,-72.5,-88.5,8.0,0.0,90,11,403.0,403.0,403.0
86.9,17427.0,-72.5,-88.5,7.0,0.0,93,11,403.2,403.3,403.2
85.0,17557.0,-72.8,-89.1,7.0,0.0,145,11,405.3,405.3,405.3
84.0,17626.0,-72.9,-89.4,7.0,0.0,145,11,406.4,406.4,406.4
83.0,17696.0,-73.0,-89.7,7.0,0.0,130,10,407.5,407.5,407.5
81.0,17839.0,-73.3,-90.3,6.0,0.0,54,6,409.8,409.8,409.8
