# 78954 TBPB Grantley Adams Observations at 12Z 17 Jul 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1010.0,57.0,27.6,20.6,66.0,15.37,70,12,299.9,345.1,302.7
1000.0,138.0,26.4,21.4,74.0,16.33,75,15,299.6,347.5,302.5
998.0,156.0,26.4,21.4,74.0,16.37,75,15,299.7,347.8,302.6
982.0,297.0,25.0,20.7,77.0,15.91,75,17,299.7,346.5,302.6
949.0,597.0,22.2,19.2,83.0,14.97,80,17,299.8,343.7,302.4
945.0,634.0,21.8,19.0,84.0,14.86,83,17,299.8,343.4,302.4
925.0,820.0,21.0,16.0,73.0,12.51,100,19,300.8,337.8,303.0
917.0,895.0,20.6,15.1,71.0,11.93,90,19,301.1,336.4,303.2
850.0,1547.0,16.6,7.6,55.0,7.76,95,24,303.5,327.0,304.9
849.0,1557.0,16.6,7.6,55.0,7.77,95,24,303.6,327.2,305.1
826.0,1791.0,17.6,0.6,32.0,4.86,102,24,307.1,322.3,308.0
815.0,1906.0,17.4,-5.6,20.0,3.1,105,24,308.0,318.1,308.6
797.0,2094.0,16.2,-4.0,25.0,3.59,110,24,308.8,320.3,309.4
706.0,3115.0,9.8,4.8,71.0,7.7,119,23,312.5,336.7,314.0
700.0,3186.0,9.6,3.6,66.0,7.13,120,23,313.1,335.6,314.4
693.0,3269.0,9.2,2.2,62.0,6.51,120,23,313.5,334.2,314.8
619.0,4194.0,2.5,-0.0,84.0,6.22,115,18,316.1,336.1,317.3
616.0,4233.0,2.2,-0.1,85.0,6.21,115,18,316.2,336.2,317.4
585.0,4648.0,-0.5,-4.0,77.0,4.89,121,14,317.8,333.8,318.7
532.0,5396.0,-6.4,-8.3,86.0,3.86,130,8,319.5,332.3,320.2
514.0,5667.0,-8.5,-9.9,90.0,3.53,172,6,320.1,331.9,320.8
500.0,5880.0,-11.5,-19.5,52.0,1.64,205,4,318.9,324.7,319.3
496.0,5942.0,-11.7,-20.7,47.0,1.49,210,3,319.4,324.7,319.7
472.0,6324.0,-8.3,-30.3,15.0,0.66,163,5,328.2,330.7,328.4
465.0,6439.0,-8.5,-32.5,12.0,0.54,149,6,329.4,331.4,329.5
463.0,6472.0,-8.7,-33.0,12.0,0.51,145,6,329.5,331.5,329.6
439.0,6880.0,-11.2,-39.9,7.0,0.27,175,8,331.4,332.5,331.5
411.0,7385.0,-14.3,-48.3,4.0,0.12,168,8,333.7,334.2,333.7
400.0,7590.0,-15.7,-49.7,4.0,0.1,165,8,334.5,334.9,334.5
371.0,8153.0,-19.9,-39.1,16.0,0.35,145,7,336.2,337.6,336.3
363.0,8317.0,-21.1,-36.1,25.0,0.48,152,7,336.7,338.6,336.8
357.0,8440.0,-21.7,-39.7,18.0,0.34,157,6,337.5,338.9,337.6
337.0,8858.0,-25.0,-40.4,23.0,0.34,175,5,338.6,339.9,338.6
300.0,9700.0,-31.7,-41.7,37.0,0.33,190,9,340.6,341.9,340.6
277.0,10258.0,-36.9,-46.9,35.0,0.2,171,10,340.9,341.8,341.0
253.0,10878.0,-41.9,-51.9,33.0,0.13,150,11,342.5,343.1,342.6
250.0,10960.0,-42.5,-52.5,33.0,0.12,155,11,342.7,343.3,342.8
234.0,11401.0,-45.9,-55.9,31.0,0.08,186,9,344.1,344.5,344.1
215.0,11951.0,-50.9,-59.8,34.0,0.06,225,6,344.9,345.1,344.9
200.0,12420.0,-55.1,-63.1,36.0,0.04,230,7,345.4,345.5,345.4
