# 78954 TBPB Grantley Adams Observations at 12Z 31 Jul 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1010.0,57,28.0,20.0,62,14.8,90.0,12.0,300.3,343.9,303.0
1006.0,88,27.4,19.4,62,14.3,90.0,14.0,300.0,342.1,302.6
1000.0,135,27.0,19.0,62,14.03,90.0,16.0,300.1,341.5,302.7
998.0,153,26.6,18.6,61,13.7,89.0,16.0,299.9,340.2,302.4
982.0,295,25.4,18.1,64,13.52,85.0,19.0,300.1,339.9,302.5
949.0,595,22.8,17.2,71,13.15,80.0,19.0,300.4,339.2,302.8
937.0,707,21.8,16.8,73,13.01,78.0,20.0,300.5,338.9,302.8
925.0,819,21.4,14.4,64,11.27,75.0,21.0,301.2,334.6,303.2
916.0,903,20.8,13.6,63,10.77,80.0,21.0,301.4,333.5,303.4
856.0,1486,16.8,7.8,55,7.81,75.0,17.0,303.1,326.8,304.6
850.0,1546,16.2,8.2,59,8.09,75.0,17.0,303.1,327.5,304.6
838.0,1667,15.0,10.0,72,9.28,75.0,18.0,303.1,331.0,304.8
827.0,1779,14.8,8.8,67,8.66,75.0,20.0,304.0,330.2,305.6
797.0,2093,16.8,-4.2,23,3.53,75.0,23.0,309.4,320.7,310.0
796.0,2103,16.8,-4.3,23,3.51,75.0,23.0,309.4,320.7,310.1
750.0,2608,14.8,-9.2,18,2.55,87.0,25.0,312.6,321.1,313.1
722.0,2927,12.3,-6.8,26,3.2,95.0,27.0,313.2,323.8,313.9
700.0,3186,10.2,-4.8,34,3.84,95.0,24.0,313.8,326.3,314.5
697.0,3222,10.0,-4.0,37,4.1,95.0,24.0,313.9,327.2,314.7
682.0,3402,9.0,-9.0,27,2.85,97.0,22.0,314.8,324.2,315.3
624.0,4130,2.8,-6.2,52,3.87,104.0,17.0,315.8,328.5,316.5
619.0,4195,2.6,-7.5,47,3.54,105.0,16.0,316.3,328.0,317.0
606.0,4367,2.2,-10.8,38,2.78,99.0,15.0,317.7,327.1,318.2
539.0,5298,-6.0,-15.3,48,2.16,65.0,10.0,318.7,326.1,319.1
534.0,5372,-6.7,-15.7,49,2.12,69.0,10.0,318.8,326.0,319.2
515.0,5657,-3.1,-34.1,7,0.42,86.0,8.0,326.4,328.0,326.5
508.0,5765,-3.3,-35.3,6,0.38,93.0,8.0,327.5,328.9,327.5
500.0,5890,-4.1,-34.1,8,0.43,100.0,7.0,328.0,329.6,328.1
489.0,6061,-5.3,-33.9,9,0.45,95.0,9.0,328.6,330.3,328.7
400.0,7610,-16.3,-32.3,24,0.64,110.0,16.0,333.7,336.2,333.9
