# 01004 ENAS Ny-Alesund Ii Observations at 12Z 04 Aug 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1018.0,8,8.0,3.0,71,4.69,110.0,4.0,279.7,292.8,280.5
1000.0,161,5.8,2.5,79,4.6,70.0,2.0,278.9,291.8,279.7
962.0,476,2.8,1.8,93,4.55,102.0,6.0,279.0,291.7,279.8
925.0,792,1.4,0.7,95,4.37,135.0,10.0,280.7,293.1,281.5
923.0,809,1.3,0.6,95,4.36,140.0,10.0,280.8,293.1,281.6
909.0,933,0.8,0.2,96,4.29,159.0,13.0,281.5,293.7,282.2
906.0,959,1.4,-2.9,73,3.42,164.0,13.0,282.4,292.2,283.0
905.0,968,1.4,-3.0,73,3.4,165.0,14.0,282.5,292.3,283.1
850.0,1472,-0.1,-8.1,55,2.45,175.0,17.0,286.0,293.3,286.4
823.0,1730,-1.3,-9.3,55,2.31,183.0,19.0,287.4,294.4,287.8
815.0,1808,-1.2,-12.0,44,1.88,185.0,19.0,288.3,294.0,288.6
800.0,1956,-1.1,-17.1,29,1.26,175.0,21.0,290.0,293.9,290.2
792.0,2036,-1.3,-16.5,31,1.34,170.0,21.0,290.6,294.8,290.8
772.0,2239,-1.9,-14.9,36,1.57,166.0,20.0,292.1,297.0,292.3
769.0,2270,-1.7,-21.7,20,0.88,165.0,19.0,292.6,295.5,292.8
751.0,2458,-2.1,-15.1,36,1.58,178.0,19.0,294.2,299.2,294.4
749.0,2479,-2.3,-15.1,37,1.59,180.0,19.0,294.2,299.2,294.5
701.0,3001,-6.5,-14.5,53,1.78,156.0,23.0,295.1,300.8,295.5
700.0,3012,-6.5,-14.5,53,1.78,155.0,23.0,295.3,300.9,295.6
685.0,3181,-5.9,-7.3,90,3.24,155.0,16.0,297.8,307.7,298.3
674.0,3308,-6.4,-7.1,95,3.34,155.0,10.0,298.6,308.9,299.2
665.0,3413,-6.8,-7.0,99,3.43,165.0,6.0,299.3,309.9,299.9
662.0,3448,-6.9,-6.9,100,3.46,168.0,7.0,299.6,310.2,300.2
650.0,3588,-7.8,-7.8,100,3.29,180.0,10.0,300.2,310.4,300.8
633.0,3790,-9.0,-9.1,99,3.05,175.0,12.0,301.0,310.6,301.6
618.0,3973,-10.1,-10.2,99,2.85,200.0,17.0,301.8,310.8,302.4
584.0,4406,-12.7,-13.0,98,2.42,180.0,21.0,303.7,311.4,304.1
529.0,5161,-17.3,-17.8,96,1.79,192.0,21.0,306.9,312.8,307.2
517.0,5332,-18.9,-20.9,84,1.41,195.0,21.0,307.1,311.8,307.3
509.0,5448,-19.9,-23.0,76,1.19,190.0,22.0,307.1,311.2,307.4
500.0,5580,-20.9,-22.9,84,1.22,185.0,23.0,307.5,311.6,307.7
476.0,5941,-23.9,-24.9,92,1.07,185.0,23.0,308.1,311.8,308.3
467.0,6081,-25.1,-25.7,95,1.02,188.0,20.0,308.3,311.8,308.5
461.0,6173,-25.7,-26.8,90,0.93,190.0,17.0,308.7,311.9,308.9
448.0,6378,-27.0,-29.4,81,0.76,175.0,17.0,309.6,312.2,309.7
416.0,6909,-30.5,-35.9,59,0.43,195.0,19.0,311.8,313.4,311.9
400.0,7190,-32.3,-39.3,50,0.32,185.0,17.0,312.9,314.1,313.0
387.0,7423,-33.9,-43.9,36,0.2,187.0,18.0,313.8,314.6,313.8
304.0,9072,-46.3,-50.5,62,0.12,199.0,19.0,318.8,319.3,318.8
300.0,9160,-46.7,-51.7,57,0.11,200.0,19.0,319.4,319.9,319.4
262.0,10047,-52.1,-58.1,48,0.06,200.0,19.0,324.1,324.4,324.1
254.0,10247,-52.4,-59.7,41,0.05,215.0,16.0,326.6,326.8,326.6
250.0,10350,-52.5,-60.5,37,0.04,215.0,17.0,327.9,328.1,327.9
243.0,10534,-52.0,-62.8,26,0.03,195.0,19.0,331.3,331.5,331.3
233.0,10807,-51.2,-66.1,15,0.02,210.0,16.0,336.5,336.6,336.5
224.0,11063,-50.5,-69.3,9,0.02,170.0,10.0,341.4,341.5,341.4
219.0,11210,-50.1,-71.1,7,0.01,202.0,10.0,344.2,344.3,344.2
217.0,11270,-49.5,-72.0,5,0.01,215.0,10.0,346.1,346.2,346.1
208.0,11550,-46.5,-76.2,2,0.01,220.0,10.0,355.0,355.1,355.0
204.0,11678,-45.1,-78.1,1,0.0,237.0,10.0,359.1,359.2,359.1
202.0,11744,-45.2,-78.2,1,0.0,245.0,10.0,360.0,360.0,360.0
200.0,11810,-45.3,-78.3,1,0.0,240.0,12.0,360.9,360.9,360.9
198.0,11877,-45.2,-78.4,1,0.0,230.0,12.0,362.0,362.0,362.0
154.0,13563,-43.9,-80.9,1,0.0,198.0,3.0,391.2,391.3,391.2
150.0,13740,-43.9,-80.9,1,0.0,195.0,2.0,394.2,394.2,394.2
104.0,16188,-44.6,-82.5,1,0.0,335.0,10.0,436.3,436.3,436.3
100.0,16450,-44.7,-82.7,1,0.0,325.0,4.0,441.1,441.1,441.1
93.0,16936,-44.4,-82.6,1,0.0,355.0,12.0,450.9,451.0,450.9
80.0,17945,-43.7,-82.4,1,0.01,340.0,10.0,472.1,472.2,472.1
74.0,18468,-43.4,-82.3,1,0.01,60.0,10.0,483.5,483.5,483.5
73.0,18559,-43.3,-82.3,1,0.01,80.0,10.0,485.5,485.5,485.5
72.7,18587,-43.3,-82.3,1,0.01,89.0,10.0,486.1,486.1,486.1
70.0,18840,-45.1,-83.1,1,0.01,175.0,10.0,487.5,487.6,487.5
68.0,19033,-45.9,-83.2,1,0.01,235.0,10.0,489.9,490.0,489.9
66.9,19141,-46.3,-83.3,1,0.01,284.0,10.0,491.3,491.3,491.3
65.0,19333,-46.1,-83.3,1,0.01,10.0,10.0,495.8,495.9,495.8
63.0,19541,-45.9,-83.3,1,0.01,100.0,12.0,500.8,500.8,500.8
62.0,19648,-45.7,-83.2,1,0.01,125.0,10.0,503.4,503.4,503.4
60.0,19866,-45.5,-83.2,1,0.01,115.0,0.0,508.6,508.7,508.6
51.0,20948,-44.2,-83.1,1,0.01,15.0,10.0,535.7,535.8,535.7
50.0,21080,-44.1,-83.1,1,0.01,40.0,8.0,539.1,539.1,539.1
49.0,21215,-44.0,-83.1,1,0.01,35.0,12.0,542.3,542.4,542.3
47.0,21494,-43.9,-83.2,1,0.01,90.0,12.0,549.1,549.1,549.1
44.0,21936,-43.8,-83.3,0,0.01,30.0,10.0,559.9,560.0,559.9
42.0,22248,-43.6,-83.4,0,0.01,95.0,12.0,567.7,567.8,567.7
40.0,22575,-43.5,-83.5,0,0.01,75.0,10.0,576.0,576.1,576.0
39.6,22642,-43.5,-83.5,0,0.01,85.0,10.0,577.7,577.8,577.7
39.0,22744,-43.5,-83.5,0,0.01,100.0,12.0,580.1,580.2,580.1
38.0,22918,-43.6,-83.7,0,0.01,80.0,10.0,584.2,584.3,584.2
37.0,23096,-43.7,-83.7,0,0.01,65.0,12.0,588.4,588.5,588.4
35.0,23468,-43.9,-83.9,0,0.01,90.0,23.0,597.3,597.4,597.3
33.0,23862,-44.2,-84.2,0,0.01,115.0,14.0,606.9,607.0,606.9
32.0,24068,-44.3,-84.3,0,0.01,80.0,12.0,612.0,612.0,612.0
30.0,24500,-44.5,-84.5,0,0.01,95.0,19.0,622.7,622.8,622.7
29.0,24727,-44.7,-84.4,0,0.01,105.0,16.0,628.1,628.2,628.1
27.0,25206,-45.2,-84.3,0,0.01,110.0,14.0,639.7,639.8,639.7
26.7,25281,-45.3,-84.3,0,0.01,104.0,12.0,641.5,641.6,641.5
26.0,25460,-45.0,-84.2,0,0.01,90.0,10.0,647.4,647.5,647.4
25.0,25725,-44.5,-83.9,0,0.01,105.0,12.0,656.0,656.2,656.1
24.0,26000,-44.0,-83.7,0,0.02,45.0,4.0,665.2,665.4,665.2
22.0,26587,-42.9,-83.2,0,0.02,90.0,10.0,685.2,685.4,685.2
20.0,27230,-41.7,-82.7,0,0.02,110.0,14.0,707.8,708.0,707.8
19.0,27578,-41.6,-82.6,0,0.02,110.0,10.0,718.5,718.8,718.5
18.0,27944,-41.5,-82.5,0,0.02,45.0,10.0,730.1,730.4,730.1
17.0,28332,-41.3,-82.3,0,0.03,50.0,10.0,742.5,742.8,742.5
16.0,28743,-41.2,-82.2,0,0.03,95.0,10.0,755.9,756.3,756.0
14.0,29649,-40.9,-81.9,0,0.03,55.0,14.0,786.3,786.8,786.4
13.9,29697,-40.9,-81.9,0,0.04,58.0,13.0,788.0,788.4,788.0
13.0,30159,-39.4,-81.0,0,0.04,85.0,12.0,808.4,809.0,808.4
12.0,30712,-37.6,-79.9,0,0.06,100.0,10.0,833.5,834.2,833.5
11.0,31312,-35.6,-78.8,0,0.07,85.0,21.0,861.5,862.5,861.6
10.0,31970,-33.5,-77.5,0,0.1,130.0,4.0,893.3,894.6,893.4
9.0,32714,-32.0,-76.5,0,0.13,155.0,2.0,926.4,928.2,926.5
8.0,33546,-30.3,-75.3,0,0.17,325.0,2.0,964.8,967.3,964.9
