# 10410 EDZE Essen Observations at 12Z 21 Aug 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1011.0,147,19.4,9.4,52,7.37,210.0,6.0,291.6,312.9,292.9
1001.0,234,17.2,6.2,48,5.97,215.0,8.0,290.3,307.6,291.3
1000.0,243,17.2,6.2,48,5.98,215.0,8.0,290.4,307.7,291.4
925.0,901,10.8,5.9,72,6.33,245.0,8.0,290.4,308.6,291.5
883.0,1286,7.0,5.4,90,6.4,265.0,10.0,290.2,308.7,291.4
877.0,1342,6.4,5.3,93,6.41,256.0,12.0,290.2,308.7,291.4
870.0,1408,5.9,5.0,94,6.35,245.0,14.0,290.4,308.7,291.5
863.0,1474,5.4,4.8,96,6.29,247.0,12.0,290.5,308.7,291.6
850.0,1598,4.6,2.2,84,5.3,250.0,10.0,290.9,306.4,291.9
816.0,1930,2.2,-2.8,70,3.83,258.0,4.0,291.8,303.2,292.5
805.0,2040,3.0,-14.6,26,1.54,260.0,2.0,293.9,298.7,294.1
803.0,2060,3.2,-16.8,21,1.29,261.0,2.0,294.2,298.4,294.5
787.0,2224,4.0,-21.0,14,0.92,266.0,4.0,296.8,299.8,296.9
736.0,2763,0.8,-16.1,27,1.48,285.0,10.0,299.1,303.9,299.4
705.0,3110,-1.2,-13.0,40,2.0,260.0,10.0,300.6,307.0,300.9
700.0,3167,-1.5,-12.5,43,2.1,260.0,12.0,300.8,307.5,301.2
693.0,3247,-1.7,-12.0,45,2.21,260.0,12.0,301.4,308.5,301.8
682.0,3374,-2.1,-11.2,50,2.4,280.0,10.0,302.4,310.1,302.9
681.0,3386,-2.1,-11.1,50,2.42,280.0,10.0,302.5,310.2,302.9
667.0,3545,-3.2,-12.6,48,2.18,280.0,10.0,303.0,310.1,303.4
639.0,3875,-5.6,-15.8,44,1.76,245.0,12.0,304.1,309.9,304.4
625.0,4045,-6.8,-17.4,42,1.57,245.0,17.0,304.7,309.8,305.0
607.0,4270,-8.4,-19.6,40,1.34,265.0,14.0,305.4,309.9,305.6
594.0,4436,-9.5,-21.2,38,1.19,250.0,16.0,305.9,309.9,306.1
542.0,5140,-14.5,-27.9,31,0.71,265.0,14.0,308.1,310.6,308.2
525.0,5385,-16.2,-30.3,29,0.59,245.0,10.0,308.8,310.9,308.9
517.0,5503,-17.1,-31.4,28,0.54,255.0,12.0,309.2,311.1,309.3
509.0,5623,-17.9,-32.6,27,0.49,235.0,14.0,309.5,311.3,309.6
501.0,5745,-18.8,-33.8,26,0.44,255.0,12.0,309.9,311.5,310.0
500.0,5760,-18.9,-33.9,25,0.44,250.0,12.0,309.9,311.5,310.0
494.0,5849,-19.6,-35.0,24,0.4,245.0,12.0,310.2,311.6,310.2
468.0,6249,-22.6,-39.8,19,0.26,240.0,17.0,311.2,312.2,311.3
456.0,6442,-24.1,-42.1,17,0.21,253.0,20.0,311.7,312.5,311.7
429.0,6886,-26.6,-51.4,8,0.08,285.0,27.0,314.0,314.3,314.0
428.0,6903,-26.7,-51.7,8,0.08,285.0,27.0,314.1,314.4,314.1
400.0,7390,-30.1,-50.1,12,0.1,290.0,33.0,315.8,316.2,315.8
