# 48698 WSSS Singapore Observations at 12Z 08 Sep 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1008.0,16.0,30.2,24.2,70.0,19.29,205,7,302.7,360.1,306.1
1000.0,91.0,28.8,23.8,74.0,18.98,140,7,301.9,358.3,305.4
994.0,144.0,28.3,23.6,76.0,18.87,140,10,301.9,357.9,305.3
950.0,545.0,24.2,22.2,89.0,18.1,161,13,301.7,355.4,305.0
943.0,610.0,23.7,21.8,89.0,17.74,165,13,301.9,354.4,305.1
925.0,779.0,22.4,20.6,90.0,16.82,150,11,302.2,352.1,305.2
923.0,798.0,22.2,20.5,90.0,16.75,150,11,302.2,351.9,305.2
893.0,1085.0,20.6,16.1,76.0,13.09,150,13,303.4,342.4,305.7
876.0,1252.0,19.6,13.6,68.0,11.3,172,16,304.0,338.0,306.1
874.0,1271.0,20.8,7.8,43.0,7.65,175,17,305.5,328.9,306.9
864.0,1371.0,21.4,-1.6,21.0,3.95,188,19,307.1,319.7,307.9
863.0,1381.0,21.4,-1.6,21.0,3.96,190,19,307.2,319.8,307.9
859.0,1421.0,20.9,2.2,29.0,5.25,195,20,307.1,323.5,308.1
850.0,1512.0,19.8,10.8,56.0,9.66,195,17,306.9,336.3,308.7
849.0,1522.0,19.6,10.6,56.0,9.54,197,17,306.8,335.9,308.5
821.0,1810.0,17.0,11.0,68.0,10.14,254,11,307.0,337.9,308.8
771.0,2344.0,12.8,11.2,90.0,10.95,0,0,308.0,341.4,310.0
769.0,2366.0,12.6,11.2,91.0,10.98,359,0,308.0,341.5,310.1
731.0,2792.0,11.6,7.1,74.0,8.73,338,2,311.4,338.6,313.1
709.0,3048.0,12.2,0.2,44.0,5.51,325,3,314.8,332.5,315.9
700.0,3155.0,11.2,5.2,67.0,7.98,320,3,314.9,340.2,316.4
698.0,3179.0,11.0,5.0,66.0,7.9,316,3,314.9,339.9,316.4
637.0,3938.0,7.4,-10.6,27.0,2.69,201,9,319.1,328.2,319.6
630.0,4029.0,6.4,-3.6,49.0,4.68,187,10,319.0,334.4,319.9
629.0,4042.0,6.3,-4.4,46.0,4.4,185,10,319.1,333.6,319.9
621.0,4147.0,5.8,-11.2,28.0,2.63,193,10,319.6,328.6,320.1
619.0,4173.0,5.6,-10.6,30.0,2.78,195,10,319.7,329.1,320.2
603.0,4387.0,4.1,-5.3,50.0,4.29,180,12,320.4,334.6,321.2
602.0,4400.0,4.0,-5.0,52.0,4.4,181,12,320.4,335.0,321.2
596.0,4481.0,3.4,-5.9,51.0,4.17,190,10,320.6,334.5,321.4
558.0,5013.0,-0.5,-11.5,43.0,2.86,78,3,322.1,331.9,322.7
552.0,5099.0,-1.2,-11.5,46.0,2.89,60,2,322.3,332.2,322.8
510.0,5725.0,-6.3,-11.3,68.0,3.18,65,9,323.5,334.3,324.1
506.0,5787.0,-6.6,-11.6,68.0,3.14,65,10,323.9,334.6,324.5
501.0,5864.0,-6.9,-11.9,68.0,3.08,69,16,324.4,334.9,325.0
500.0,5880.0,-6.7,-11.7,68.0,3.14,70,17,324.8,335.6,325.4
495.0,5959.0,-5.3,-23.3,23.0,1.19,56,15,327.4,331.8,327.7
493.0,5991.0,-5.1,-21.1,27.0,1.45,50,15,328.1,333.3,328.4
481.0,6183.0,-5.8,-24.1,22.0,1.14,15,11,329.5,333.7,329.7
461.0,6514.0,-7.1,-29.3,15.0,0.74,25,12,332.0,334.8,332.1
454.0,6633.0,-7.5,-31.1,13.0,0.63,50,13,332.9,335.3,333.0
448.0,6737.0,-7.9,-32.8,12.0,0.55,45,12,333.6,335.8,333.8
441.0,6860.0,-8.4,-34.7,10.0,0.46,60,11,334.6,336.4,334.7
433.0,7002.0,-8.9,-36.9,8.0,0.38,55,10,335.6,337.1,335.7
426.0,7127.0,-10.0,-36.7,9.0,0.39,50,10,335.8,337.4,335.9
400.0,7610.0,-14.1,-36.1,14.0,0.44,60,12,336.6,338.3,336.7
357.0,8459.0,-21.0,-43.8,11.0,0.22,150,1,338.4,339.4,338.5
347.0,8671.0,-22.7,-45.7,10.0,0.19,115,6,338.9,339.7,338.9
340.0,8818.0,-23.9,-44.6,13.0,0.21,90,10,339.2,340.1,339.2
332.0,8991.0,-25.4,-43.3,17.0,0.25,60,15,339.5,340.6,339.6
326.0,9123.0,-26.5,-42.3,21.0,0.29,75,17,339.8,341.0,339.9
310.0,9487.0,-29.5,-39.5,37.0,0.4,55,29,340.5,342.1,340.6
308.0,9533.0,-29.9,-39.9,37.0,0.39,53,30,340.6,342.1,340.6
306.0,9579.0,-30.1,-40.9,34.0,0.35,50,32,340.8,342.3,340.9
300.0,9720.0,-30.9,-43.9,27.0,0.26,50,33,341.7,342.8,341.8
281.0,10174.0,-34.6,-48.0,24.0,0.18,50,25,342.8,343.6,342.9
263.0,10633.0,-38.4,-52.2,22.0,0.12,40,29,343.8,344.4,343.9
257.0,10793.0,-39.7,-53.7,21.0,0.1,45,30,344.2,344.6,344.2
250.0,10980.0,-41.3,-53.3,26.0,0.11,50,32,344.5,345.0,344.6
235.0,11397.0,-45.1,-52.1,45.0,0.13,61,40,344.9,345.5,344.9
222.0,11776.0,-46.9,-63.9,13.0,0.03,70,48,347.8,348.0,347.8
216.0,11956.0,-48.4,-64.1,15.0,0.03,75,52,348.2,348.3,348.2
202.0,12395.0,-52.1,-64.6,21.0,0.03,70,46,349.0,349.2,349.0
200.0,12460.0,-52.7,-64.7,22.0,0.03,75,47,349.1,349.3,349.2
196.0,12590.0,-53.5,-70.5,11.0,0.01,81,43,349.9,350.0,349.9
195.0,12623.0,-53.5,-73.5,7.0,0.01,82,42,350.4,350.5,350.4
180.0,13123.0,-57.7,-74.3,10.0,0.01,105,28,351.6,351.7,351.6
150.0,14260.0,-67.3,-76.3,27.0,0.01,90,16,354.0,354.0,354.0
148.0,14341.0,-67.9,-76.9,27.0,0.01,90,15,354.3,354.3,354.3
142.0,14590.0,-68.2,-81.0,15.0,0.0,90,13,357.9,358.0,357.9
139.0,14718.0,-68.4,-83.1,11.0,0.0,100,11,359.8,359.9,359.8
137.0,14805.0,-68.5,-84.5,8.0,0.0,115,11,361.1,361.1,361.1
130.0,15114.0,-71.2,-84.8,12.0,0.0,110,13,361.8,361.8,361.8
117.0,15732.0,-76.6,-85.4,24.0,0.0,55,16,362.8,362.8,362.8
115.0,15834.0,-77.5,-85.5,27.0,0.0,54,16,362.9,363.0,362.9
100.0,16630.0,-80.5,-86.5,36.0,0.0,45,17,371.9,372.0,371.9
95.0,16918.0,-82.1,-88.1,36.0,0.0,30,17,374.2,374.2,374.2
94.5,16948.0,-82.3,-88.3,36.0,0.0,35,17,374.5,374.5,374.5
91.6,17125.0,-76.7,-86.7,19.0,0.0,42,21,388.9,388.9,388.9
88.0,17355.0,-77.1,-87.1,19.0,0.0,50,25,392.6,392.6,392.6
84.4,17595.0,-77.5,-87.5,19.0,0.0,68,19,396.5,396.5,396.5
84.0,17622.0,-77.4,-87.6,18.0,0.0,70,18,397.3,397.3,397.3
80.0,17905.0,-76.1,-88.2,14.0,0.0,55,10,405.5,405.5,405.5
76.0,18202.0,-74.8,-88.9,10.0,0.0,340,2,414.3,414.3,414.3
72.4,18483.0,-73.5,-89.5,7.0,0.0,69,8,422.7,422.7,422.7
71.0,18597.0,-73.7,-90.3,6.0,0.0,105,10,424.6,424.6,424.6
70.0,18680.0,-73.9,-90.9,6.0,0.0,125,12,426.0,426.0,426.0
69.0,18765.0,-72.9,-91.4,5.0,0.0,135,18,429.8,429.8,429.8
68.0,18850.0,-71.9,-91.8,4.0,0.0,150,13,433.8,433.8,433.8
66.6,18972.0,-70.5,-92.5,3.0,0.0,147,12,439.4,439.4,439.4
66.0,19027.0,-67.5,-93.1,2.0,0.0,145,11,447.1,447.1,447.1
65.6,19063.0,-65.5,-93.5,1.0,0.0,173,8,452.2,452.2,452.2
65.0,19119.0,-64.8,-93.8,1.0,0.0,215,4,454.9,454.9,454.9
63.7,19242.0,-63.3,-94.3,1.0,0.0,256,7,460.9,460.9,460.9
62.0,19406.0,-64.3,-94.0,1.0,0.0,310,10,462.3,462.3,462.3
60.0,19604.0,-65.5,-93.8,1.0,0.0,305,12,464.0,464.0,464.0
58.0,19809.0,-66.7,-93.5,1.0,0.0,290,12,465.7,465.7,465.7
54.0,20240.0,-69.3,-92.8,2.0,0.0,260,29,469.4,469.4,469.4
53.4,20308.0,-69.7,-92.7,2.0,0.0,260,28,469.9,469.9,469.9
51.0,20582.0,-69.0,-93.4,2.0,0.0,250,10,477.8,477.8,477.8
50.0,20700.0,-68.7,-93.7,2.0,0.0,250,3,481.2,481.2,481.2
43.0,21618.0,-65.8,-93.5,1.0,0.0,250,17,509.4,509.4,509.4
42.0,21761.0,-65.4,-93.5,1.0,0.0,265,13,513.9,513.9,513.9
40.0,22058.0,-64.5,-93.5,1.0,0.0,225,12,523.4,523.5,523.4
39.0,22212.0,-64.0,-93.5,1.0,0.0,245,19,528.5,528.5,528.5
37.0,22532.0,-63.0,-93.4,1.0,0.0,215,22,539.0,539.0,539.0
36.0,22699.0,-62.5,-93.4,1.0,0.0,215,27,544.6,544.6,544.6
33.8,23082.0,-61.3,-93.3,1.0,0.0,239,27,557.6,557.6,557.6
30.0,23820.0,-61.7,-92.7,1.0,0.0,285,26,575.9,575.9,575.9
28.0,24245.0,-62.9,-93.0,1.0,0.0,305,33,583.9,584.0,583.9
25.6,24797.0,-64.5,-93.5,1.0,0.0,297,24,594.6,594.6,594.6
25.0,24943.0,-64.2,-93.6,1.0,0.0,295,22,599.3,599.4,599.3
22.0,25728.0,-62.9,-93.9,1.0,0.0,310,23,625.6,625.7,625.6
21.0,26021.0,-57.1,-91.9,1.0,0.0,350,4,651.5,651.6,651.5
20.7,26111.0,-55.3,-91.3,0.0,0.0,329,7,659.6,659.7,659.6
20.0,26330.0,-56.7,-90.7,1.0,0.01,280,15,661.9,661.9,661.9
18.0,26995.0,-57.6,-91.2,1.0,0.01,280,17,679.3,679.3,679.3
17.0,27356.0,-58.1,-91.5,1.0,0.01,330,25,688.9,689.0,688.9
16.0,27739.0,-58.6,-91.8,1.0,0.01,340,19,699.2,699.3,699.2
15.1,28105.0,-59.1,-92.1,1.0,0.01,74,20,709.3,709.3,709.3
15.0,28147.0,-59.0,-92.1,1.0,0.01,85,20,711.1,711.2,711.1
14.0,28583.0,-57.4,-91.6,1.0,0.01,105,20,730.4,730.5,730.4
13.3,28907.0,-56.3,-91.3,1.0,0.01,102,29,745.1,745.2,745.1
13.0,29053.0,-54.3,-90.3,0.0,0.01,100,33,756.8,756.9,756.8
12.7,29203.0,-52.3,-89.3,0.0,0.01,93,35,768.9,769.0,768.9
12.0,29569.0,-53.4,-89.7,0.0,0.01,75,39,777.5,777.7,777.5
11.7,29733.0,-53.9,-89.9,0.0,0.01,84,42,781.4,781.5,781.4
11.0,30132.0,-50.9,-88.9,0.0,0.01,105,51,806.2,806.4,806.2
10.0,30750.0,-53.5,-90.5,0.0,0.01,100,45,818.8,818.9,818.8
9.7,30946.0,-53.7,-90.7,0.0,0.01,94,53,825.2,825.3,825.2
9.3,31219.0,-49.9,-87.9,0.0,0.02,86,63,849.6,849.9,849.6
9.0,31434.0,-49.2,-87.2,0.0,0.02,80,71,860.2,860.5,860.2
8.6,31732.0,-48.3,-86.3,0.0,0.03,84,74,875.1,875.4,875.1
