# 10410 EDZE Essen Observations at 12Z 09 Sep 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1000.0,129.0,,,,,,,,,
998.0,147.0,14.6,8.6,67.0,7.07,220.0,6.0,287.9,308.0,289.1
925.0,781.0,7.6,5.7,88.0,6.24,275.0,6.0,287.1,304.9,288.2
902.0,987.0,5.8,5.4,97.0,6.27,275.0,9.0,287.3,305.2,288.4
892.0,1078.0,5.3,4.6,95.0,6.0,275.0,10.0,287.7,304.8,288.7
882.0,1170.0,4.7,3.8,94.0,5.73,275.0,10.0,288.0,304.5,289.0
857.0,1403.0,3.4,1.8,89.0,5.1,240.0,10.0,289.0,303.8,289.9
850.0,1470.0,3.0,1.2,88.0,4.93,235.0,12.0,289.3,303.6,290.1
808.0,1879.0,-0.1,-0.1,100.0,4.72,218.0,11.0,290.2,304.0,291.0
805.0,1909.0,-0.3,-0.4,99.0,4.64,216.0,11.0,290.3,303.9,291.1
799.0,1969.0,0.8,-3.2,75.0,3.8,214.0,10.0,292.1,303.4,292.8
767.0,2295.0,-1.6,-3.8,85.0,3.79,200.0,10.0,292.9,304.2,293.6
733.0,2656.0,-4.3,-4.4,99.0,3.78,190.0,10.0,293.8,305.2,294.5
721.0,2786.0,-4.9,-5.5,95.0,3.53,210.0,14.0,294.6,305.2,295.2
707.0,2941.0,-5.5,-6.8,91.0,3.26,185.0,12.0,295.5,305.4,296.1
700.0,3019.0,-5.9,-7.5,88.0,3.12,190.0,14.0,295.9,305.5,296.5
687.0,3166.0,-6.7,-8.6,86.0,2.92,199.0,10.0,296.6,305.6,297.1
685.0,3188.0,-6.4,-9.6,78.0,2.7,200.0,10.0,297.2,305.6,297.7
681.0,3234.0,-5.7,-11.7,63.0,2.3,197.0,10.0,298.5,305.7,298.9
674.0,3315.0,-6.1,-14.1,53.0,1.92,191.0,10.0,298.9,305.0,299.3
662.0,3455.0,-6.9,-12.9,62.0,2.15,181.0,10.0,299.6,306.4,299.9
661.0,3467.0,-6.8,-14.4,55.0,1.91,180.0,10.0,299.8,305.9,300.2
