# 01004 ENAS Ny-Alesund Ii Observations at 12Z 15 Sep 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1001.0,8.0,7.0,2.0,70.0,4.44,110,19,280.1,292.5,280.8
1000.0,22.0,6.8,0.8,66.0,4.07,110,16,279.9,291.4,280.6
988.0,121.0,6.2,0.4,67.0,4.01,105,31,280.3,291.6,281.0
930.0,615.0,3.1,-1.5,72.0,3.69,120,19,282.0,292.6,282.6
925.0,659.0,2.8,-1.7,72.0,3.67,120,19,282.2,292.7,282.8
850.0,1336.0,-1.7,-4.3,82.0,3.28,145,37,284.4,293.9,284.9
845.0,1382.0,-2.0,-4.5,83.0,3.25,150,39,284.5,293.9,285.0
765.0,2166.0,-7.9,-7.9,100.0,2.77,150,32,286.4,294.5,286.8
735.0,2476.0,-9.1,-12.1,79.0,2.06,150,29,288.3,294.6,288.7
731.0,2518.0,-9.3,-12.7,76.0,1.98,151,29,288.6,294.6,288.9
729.0,2539.0,-9.1,-13.5,70.0,1.86,151,29,289.0,294.7,289.3
700.0,2852.0,-11.9,-15.1,77.0,1.7,155,31,289.3,294.5,289.6
680.0,3072.0,-13.9,-16.1,83.0,1.61,160,29,289.5,294.5,289.8
660.0,3298.0,-15.9,-17.1,90.0,1.52,148,36,289.7,294.4,289.9
641.0,3519.0,-12.9,-37.9,10.0,0.23,136,42,295.5,296.3,295.6
639.0,3543.0,-13.1,-38.0,10.0,0.23,135,43,295.6,296.4,295.6
545.0,4733.0,-21.5,-42.5,13.0,0.17,122,41,299.3,299.9,299.3
525.0,5007.0,-23.7,-37.7,26.0,0.29,119,41,299.9,300.9,299.9
500.0,5360.0,-27.1,-34.1,51.0,0.43,115,41,299.9,301.4,300.0
499.0,5374.0,-27.3,-34.3,51.0,0.42,115,41,299.9,301.3,299.9
433.0,6376.0,-36.3,-40.8,63.0,0.25,119,36,300.8,301.7,300.9
416.0,6652.0,-38.8,-43.7,60.0,0.19,120,35,301.1,301.8,301.1
409.0,6768.0,-39.9,-44.9,59.0,0.17,118,38,301.1,301.8,301.2
400.0,6920.0,-40.9,-46.9,52.0,0.14,115,43,301.8,302.3,301.8
373.0,7393.0,-42.9,-55.8,23.0,0.05,115,60,305.2,305.4,305.2
365.0,7540.0,-43.5,-58.5,17.0,0.04,114,61,306.3,306.4,306.3
335.0,8113.0,-47.3,-61.3,19.0,0.03,110,65,308.7,308.8,308.7
303.0,8774.0,-49.7,-65.5,14.0,0.02,105,70,314.4,314.4,314.4
300.0,8840.0,-49.9,-65.9,14.0,0.02,105,70,314.9,315.0,314.9
284.0,9197.0,-51.5,-67.5,13.0,0.02,115,60,317.6,317.6,317.6
250.0,10030.0,-48.1,-76.1,3.0,0.0,110,47,334.4,334.4,334.4
234.0,10471.0,-46.3,-77.7,2.0,0.0,115,33,343.6,343.6,343.6
210.0,11192.0,-43.3,-80.3,1.0,0.0,111,23,359.0,359.0,359.0
206.0,11321.0,-43.6,-81.8,1.0,0.0,110,21,360.5,360.5,360.5
201.0,11486.0,-44.0,-83.7,0.0,0.0,95,17,362.4,362.4,362.4
200.0,11520.0,-44.1,-84.1,0.0,0.0,95,17,362.8,362.8,362.8
192.0,11791.0,-46.1,-83.8,1.0,0.0,70,23,363.8,363.8,363.8
183.0,12110.0,-48.5,-83.5,1.0,0.0,95,29,364.9,365.0,364.9
178.0,12294.0,-47.9,-83.7,1.0,0.0,110,33,368.8,368.8,368.8
167.0,12717.0,-46.6,-84.2,1.0,0.0,95,27,377.8,377.8,377.8
156.0,13169.0,-45.2,-84.8,0.0,0.0,115,17,387.6,387.7,387.6
154.0,13254.0,-44.9,-84.9,0.0,0.0,101,14,389.5,389.6,389.5
151.0,13386.0,-45.6,-84.9,0.0,0.0,80,10,390.4,390.5,390.4
150.0,13430.0,-45.9,-84.9,0.0,0.0,90,10,390.8,390.8,390.8
140.0,13885.0,-49.5,-87.6,0.0,0.0,110,12,392.2,392.2,392.2
139.0,13932.0,-49.9,-87.9,0.0,0.0,115,12,392.3,392.3,392.3
138.0,13979.0,-49.9,-87.9,0.0,0.0,140,14,393.2,393.2,393.2
132.0,14271.0,-49.7,-87.7,0.0,0.0,110,12,398.6,398.6,398.6
127.0,14524.0,-49.5,-87.5,0.0,0.0,135,14,403.3,403.3,403.3
124.0,14680.0,-49.4,-87.4,0.0,0.0,135,10,406.2,406.2,406.2
120.0,14895.0,-49.3,-87.3,0.0,0.0,80,10,410.3,410.3,410.3
117.0,15061.0,-49.2,-87.2,0.0,0.0,90,12,413.5,413.5,413.5
115.0,15174.0,-49.1,-87.1,0.0,0.0,125,10,415.6,415.7,415.6
106.0,15708.0,-48.8,-86.8,0.0,0.0,130,10,426.1,426.1,426.1
100.0,16090.0,-48.5,-86.5,0.0,0.0,190,2,433.7,433.8,433.7
93.0,16564.0,-49.0,-87.0,0.0,0.0,120,12,441.9,441.9,441.9
90.0,16778.0,-49.1,-87.2,0.0,0.0,140,14,445.7,445.7,445.7
88.0,16925.0,-49.3,-87.3,0.0,0.0,150,10,448.3,448.3,448.3
86.0,17075.0,-49.4,-87.4,0.0,0.0,105,4,451.0,451.0,451.0
82.0,17386.0,-49.7,-87.7,0.0,0.0,90,10,456.5,456.6,456.5
77.0,17797.0,-50.1,-88.1,0.0,0.0,155,12,464.0,464.0,464.0
74.0,18057.0,-50.4,-88.4,0.0,0.0,165,10,468.8,468.8,468.8
70.0,18420.0,-50.7,-88.7,0.0,0.0,220,6,475.6,475.6,475.6
58.0,19644.0,-51.5,-88.9,0.0,0.0,25,10,500.0,500.1,500.0
56.0,19872.0,-51.6,-89.0,0.0,0.0,60,10,504.8,504.8,504.8
54.0,20109.0,-51.8,-89.0,0.0,0.0,65,10,509.7,509.7,509.7
50.0,20610.0,-52.1,-89.1,0.0,0.0,20,4,520.2,520.3,520.2
44.0,21431.0,-52.9,-89.7,0.0,0.0,220,10,537.6,537.7,537.6
43.0,21578.0,-53.0,-89.8,0.0,0.0,255,10,540.8,540.9,540.8
30.0,23890.0,-55.3,-91.3,0.0,0.0,35,4,593.3,593.3,593.3
21.0,26177.0,-55.6,-91.7,0.0,0.0,10,0,655.9,655.9,655.9
20.0,26490.0,-55.7,-91.7,0.0,0.0,125,14,664.9,665.0,664.9
19.0,26816.0,-56.0,-92.0,0.0,0.0,180,0,673.9,674.0,673.9
18.5,26985.0,-56.1,-92.1,0.0,0.0,208,2,678.7,678.7,678.7
17.0,27526.0,-55.6,-91.8,0.0,0.01,295,10,696.8,696.8,696.8
16.0,27914.0,-55.3,-91.5,0.0,0.01,295,12,710.0,710.1,710.0
14.0,28768.0,-54.6,-91.0,0.0,0.01,330,12,740.1,740.2,740.1
13.0,29242.0,-54.1,-90.7,0.0,0.01,40,10,757.4,757.5,757.4
12.0,29754.0,-53.7,-90.4,0.0,0.01,355,10,776.5,776.6,776.5
11.0,30310.0,-53.2,-90.1,0.0,0.01,15,12,797.8,797.9,797.8
10.0,30920.0,-52.7,-89.7,0.0,0.01,5,10,821.8,821.9,821.8
9.0,31600.0,-52.8,-89.8,0.0,0.01,85,10,846.3,846.5,846.3
8.6,31893.0,-52.9,-89.9,0.0,0.01,79,10,857.1,857.4,857.2
8.0,32364.0,-50.3,-87.9,0.0,0.02,70,12,885.3,885.6,885.3
7.6,32698.0,-48.5,-86.5,0.0,0.03,97,11,905.7,906.1,905.7
7.0,33240.0,-48.2,-86.4,0.0,0.03,140,10,928.6,929.0,928.6
6.0,34257.0,-47.6,-86.2,0.0,0.04,35,12,973.0,973.5,973.0
5.3,35075.0,-47.1,-86.1,0.0,0.05,117,10,1010.2,1010.9,1010.2
5.0,35460.0,-47.9,-86.9,0.0,0.04,155,10,1023.5,1024.2,1023.6
4.5,36162.0,-43.1,-83.1,0.0,0.09,205,13,1077.3,1078.8,1077.3
4.2,36626.0,-43.7,-83.7,0.0,0.09,237,16,1095.9,1097.3,1095.9
4.0,,,,,,260,17,,,
