# 01004 ENAS Ny-Alesund Ii Observations at 12Z 14 Oct 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1017.0,8,-3.7,-8.4,70,2.0,160.0,4.0,268.2,273.7,268.5
1005.0,108,-4.0,-8.3,72,2.05,105.0,10.0,268.8,274.5,269.1
1000.0,150,-4.1,-8.2,73,2.07,100.0,12.0,269.1,274.8,269.4
991.0,221,-4.2,-8.3,73,2.07,90.0,10.0,269.6,275.4,270.0
969.0,398,-4.5,-8.5,74,2.09,144.0,10.0,271.1,276.9,271.4
933.0,694,-6.8,-9.4,82,2.02,235.0,10.0,271.7,277.4,272.0
925.0,761,-7.3,-9.6,84,2.0,230.0,10.0,271.8,277.5,272.2
890.0,1059,-9.8,-11.1,91,1.85,240.0,10.0,272.2,277.5,272.5
876.0,1181,-10.9,-11.7,94,1.79,260.0,14.0,272.4,277.5,272.6
857.0,1351,-12.4,-12.6,98,1.71,245.0,14.0,272.6,277.4,272.8
850.0,1414,-12.9,-12.9,100,1.68,230.0,14.0,272.6,277.4,272.9
847.0,1441,-13.1,-13.3,98,1.63,224.0,14.0,272.7,277.4,272.9
843.0,1477,-12.0,-16.0,72,1.3,215.0,16.0,274.2,278.1,274.5
840.0,1505,-11.1,-18.1,56,1.1,215.0,16.0,275.4,278.7,275.6
824.0,1653,-10.1,-23.1,34,0.73,217.0,18.0,278.0,280.3,278.1
814.0,1747,-10.3,-23.3,34,0.72,218.0,20.0,278.8,281.0,278.9
809.0,1794,-9.9,-16.9,57,1.27,218.0,21.0,279.7,283.5,279.9
797.0,1910,-8.9,-27.9,20,0.49,220.0,23.0,281.9,283.5,282.0
793.0,1949,-9.0,-29.9,17,0.41,220.0,23.0,282.2,283.5,282.3
786.0,2017,-9.3,-33.3,12,0.3,212.0,22.0,282.6,283.6,282.7
772.0,2156,-10.0,-28.6,20,0.47,195.0,19.0,283.4,284.9,283.5
745.0,2430,-11.3,-19.3,52,1.12,201.0,16.0,284.8,288.3,285.0
730.0,2586,-12.2,-22.3,43,0.88,205.0,14.0,285.6,288.3,285.7
724.0,2649,-12.5,-23.5,39,0.8,200.0,14.0,285.9,288.4,286.0
712.0,2777,-12.2,-26.3,30,0.63,190.0,16.0,287.6,289.6,287.7
701.0,2896,-11.9,-28.9,23,0.5,195.0,16.0,289.2,290.8,289.2
700.0,2907,-11.9,-28.9,23,0.5,195.0,16.0,289.3,290.9,289.4
652.0,3443,-15.1,-35.4,16,0.29,235.0,16.0,291.6,292.6,291.7
630.0,3702,-16.6,-38.5,13,0.22,205.0,14.0,292.7,293.5,292.8
629.0,3714,-16.7,-38.7,13,0.22,205.0,14.0,292.8,293.5,292.8
592.0,4164,-20.5,-33.5,30,0.38,213.0,14.0,293.5,294.8,293.5
583.0,4276,-21.1,-35.2,27,0.33,215.0,14.0,294.0,295.2,294.1
570.0,4441,-22.1,-37.8,23,0.26,200.0,12.0,294.8,295.8,294.9
