# 10410 EDZE Essen Observations at 12Z 18 Oct 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1000.0,46.0,,,,,,,,,
988.0,147.0,10.2,9.3,94.0,7.49,210.0,10.0,284.3,305.2,285.6
928.0,665.0,7.7,2.9,72.0,5.12,235.0,52.0,286.9,301.6,287.8
925.0,692.0,7.6,2.6,71.0,5.01,235.0,52.0,287.1,301.5,287.9
923.0,710.0,7.8,2.8,71.0,5.1,235.0,53.0,287.5,302.1,288.3
891.0,1000.0,6.4,3.3,81.0,5.47,235.0,54.0,288.9,304.7,289.9
882.0,1084.0,6.8,2.5,74.0,5.22,235.0,55.0,290.2,305.4,291.1
850.0,1386.0,4.0,1.5,84.0,5.04,235.0,56.0,290.3,305.0,291.2
831.0,1569.0,2.0,0.2,88.0,4.69,233.0,53.0,290.1,303.8,290.9
766.0,2220.0,-0.8,-1.9,93.0,4.37,225.0,41.0,293.9,306.9,294.6
709.0,2838.0,-3.5,-3.9,98.0,4.08,200.0,45.0,297.4,309.8,298.2
702.0,2917.0,-3.9,-4.1,99.0,4.04,200.0,45.0,297.9,310.2,298.6
700.0,2940.0,-4.1,-4.2,99.0,4.02,200.0,45.0,297.9,310.2,298.6
616.0,3927.0,-10.9,-13.1,84.0,2.27,205.0,47.0,301.1,308.4,301.6
555.0,4732.0,-16.5,-20.4,72.0,1.37,214.0,62.0,303.7,308.2,303.9
530.0,5078.0,-18.7,-31.7,31.0,0.51,217.0,69.0,305.1,306.9,305.1
513.0,5320.0,-20.4,-34.0,28.0,0.42,220.0,74.0,305.9,307.4,305.9
504.0,5451.0,-21.3,-35.3,27.0,0.38,217.0,74.0,306.3,307.7,306.4
500.0,5510.0,-21.5,-32.5,36.0,0.5,215.0,74.0,306.8,308.6,306.9
480.0,5808.0,-23.8,-33.2,42.0,0.49,210.0,62.0,307.5,309.2,307.6
476.0,5869.0,-24.3,-33.3,43.0,0.49,210.0,63.0,307.6,309.4,307.7
429.0,6616.0,-30.1,-36.1,56.0,0.41,210.0,72.0,309.5,311.0,309.6
402.0,7075.0,-32.7,-52.7,12.0,0.07,210.0,77.0,312.0,312.2,312.0
400.0,7110.0,-33.1,-53.1,12.0,0.07,210.0,78.0,311.9,312.2,311.9
353.0,7962.0,-39.9,-56.8,15.0,0.05,210.0,82.0,314.1,314.3,314.1
308.0,8892.0,-47.2,-60.7,20.0,0.03,200.0,78.0,316.3,316.4,316.3
302.0,9026.0,-48.3,-61.3,21.0,0.03,204.0,79.0,316.6,316.7,316.6
300.0,9070.0,-48.5,-61.5,21.0,0.03,205.0,80.0,316.9,317.0,316.9
274.0,9660.0,-51.5,-65.5,17.0,0.02,208.0,80.0,320.9,320.9,320.9
252.0,10199.0,-53.1,-67.1,17.0,0.02,210.0,80.0,326.2,326.3,326.2
