# 48698 WSSS Singapore Observations at 12Z 28 Oct 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1008.0,16,24.6,24.2,98,19.29,345.0,2.0,297.1,353.1,300.5
1003.0,63,25.8,23.8,89,18.92,4.0,3.0,298.7,354.0,302.1
1000.0,92,25.6,23.6,89,18.74,15.0,3.0,298.8,353.6,302.1
978.0,287,24.5,22.7,90,18.18,0.0,0.0,299.6,352.9,302.8
937.0,664,22.4,21.1,92,17.13,210.0,10.0,301.1,351.7,304.2
925.0,777,21.8,20.6,93,16.82,205.0,8.0,301.6,351.4,304.6
850.0,1509,18.0,15.4,85,13.11,210.0,4.0,305.0,344.4,307.4
775.0,2296,13.2,11.9,92,11.42,224.0,3.0,308.0,342.8,310.1
738.0,2707,12.0,7.0,71,8.59,232.0,3.0,311.0,337.7,312.6
700.0,3149,9.2,6.8,85,8.93,240.0,2.0,312.6,340.6,314.3
608.0,4308,3.4,0.5,81,6.57,144.0,10.0,318.8,340.1,320.1
607.0,4322,3.4,0.3,80,6.49,143.0,10.0,318.9,340.0,320.2
604.0,4362,3.1,0.2,81,6.48,140.0,10.0,319.0,340.0,320.3
601.0,4402,2.8,0.1,83,6.47,150.0,10.0,319.1,340.1,320.4
572.0,4801,-0.5,-0.7,99,6.4,158.0,9.0,319.8,340.7,321.1
500.0,5870,-5.5,-6.8,91,4.62,180.0,5.0,326.3,341.9,327.2
401.0,7571,-15.3,-17.4,84,2.45,116.0,6.0,334.8,343.6,335.3
400.0,7590,-15.3,-17.5,83,2.43,115.0,6.0,335.0,343.8,335.5
337.0,8855,-23.6,-27.4,71,1.2,120.0,4.0,340.5,345.1,340.8
320.0,9237,-26.1,-30.4,67,0.96,95.0,7.0,342.1,345.9,342.3
311.0,9443,-27.9,-30.7,77,0.96,81.0,8.0,342.4,346.1,342.6
301.0,9676,-29.4,-33.7,66,0.74,65.0,10.0,343.6,346.5,343.7
300.0,9700,-29.5,-34.0,65,0.72,70.0,11.0,343.7,346.6,343.8
296.0,9795,-30.3,-35.9,58,0.61,85.0,12.0,343.9,346.4,344.0
280.0,10187,-33.5,-43.5,36,0.29,82.0,19.0,344.8,346.0,344.8
251.0,10943,-40.1,-44.7,61,0.29,75.0,33.0,345.9,347.1,346.0
250.0,10970,-40.3,-45.1,60,0.27,75.0,33.0,346.0,347.2,346.1
248.0,11025,-40.8,-46.9,51,0.23,75.0,34.0,346.1,347.1,346.1
241.0,11219,-42.5,-53.5,29,0.11,74.0,33.0,346.4,346.8,346.4
222.0,11769,-47.5,-55.5,39,0.09,72.0,31.0,346.9,347.3,346.9
219.0,11858,-48.3,-49.6,86,0.19,72.0,31.0,347.0,347.8,347.1
210.0,12134,-50.7,-55.3,58,0.1,71.0,30.0,347.4,347.9,347.5
206.0,12259,-51.7,-54.2,74,0.12,71.0,30.0,347.8,348.3,347.8
203.0,12354,-52.7,-58.7,48,0.07,70.0,29.0,347.7,348.0,347.7
200.0,12450,-53.5,-58.1,57,0.07,70.0,29.0,347.9,348.2,347.9
192.0,12710,-55.9,-60.1,59,0.06,60.0,27.0,348.1,348.4,348.1
176.0,13256,-60.1,-71.1,22,0.01,62.0,32.0,350.0,350.1,350.0
170.0,13471,-62.1,-66.1,59,0.03,62.0,33.0,350.1,350.3,350.2
164.0,13691,-63.9,-72.9,28,0.01,63.0,35.0,350.8,350.8,350.8
159.0,13880,-65.5,-70.4,50,0.02,64.0,37.0,351.2,351.2,351.2
150.0,14230,-68.5,-74.5,42,0.01,65.0,40.0,351.9,351.9,351.9
132.0,14979,-73.4,-79.4,40,0.01,70.0,47.0,356.3,356.3,356.3
118.0,15635,-77.7,-83.7,38,0.0,105.0,31.0,360.0,360.0,360.0
116.0,15736,-78.3,-84.3,37,0.0,95.0,24.0,360.6,360.6,360.6
113.0,15886,-77.8,-84.8,32,0.0,80.0,15.0,364.3,364.3,364.3
112.0,15938,-77.6,-85.0,30,0.0,75.0,11.0,365.5,365.6,365.5
111.0,15989,-77.4,-85.2,28,0.0,15.0,5.0,366.8,366.8,366.8
109.0,16094,-77.0,-85.6,25,0.0,320.0,10.0,369.4,369.4,369.4
100.0,16590,-75.3,-87.3,14,0.0,260.0,36.0,382.0,382.0,382.0
95.0,16885,-76.5,-87.2,17,0.0,255.0,29.0,385.3,385.3,385.3
89.0,17259,-78.0,-87.0,22,0.0,280.0,24.0,389.5,389.6,389.5
85.6,17483,-78.9,-86.9,26,0.0,276.0,20.0,392.1,392.1,392.1
85.0,17523,-78.9,-86.9,26,0.0,275.0,19.0,392.8,392.8,392.8
80.0,17867,-79.3,-87.3,26,0.0,235.0,15.0,399.0,399.0,399.0
79.6,17896,-79.3,-87.3,26,0.0,234.0,14.0,399.5,399.5,399.5
77.0,18086,-78.7,-87.7,22,0.0,230.0,10.0,404.6,404.6,404.6
73.0,18390,-77.7,-88.4,17,0.0,305.0,10.0,412.9,412.9,412.9
70.0,18630,-76.9,-88.9,13,0.0,335.0,16.0,419.6,419.6,419.6
68.0,18798,-75.9,-89.4,10,0.0,330.0,10.0,425.3,425.3,425.3
66.0,18971,-74.8,-90.0,8,0.0,325.0,2.0,431.2,431.2,431.2
63.0,19241,-73.1,-90.8,5,0.0,205.0,4.0,440.7,440.7,440.7
62.6,19278,-72.9,-90.9,5,0.0,,,442.0,442.0,442.0
