# 78954 TBPB Grantley Adams Observations at 12Z 17 Nov 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1004.0,57,26.0,23.0,84.0,17.98,330.0,3.0,298.8,351.4,302.0
1000.0,79,25.8,21.0,75.0,15.93,330.0,3.0,298.9,345.6,301.8
975.0,301,24.0,20.2,79.0,15.59,30.0,3.0,299.4,345.1,302.1
944.0,585,21.8,19.3,86.0,15.16,16.0,4.0,299.9,344.4,302.6
942.0,603,21.7,19.1,85.0,14.99,15.0,4.0,300.0,344.0,302.7
935.0,668,21.5,18.3,82.0,14.37,0.0,4.0,300.4,342.7,303.0
925.0,762,21.2,17.2,78.0,13.53,40.0,5.0,301.0,341.0,303.4
910.0,903,20.3,15.7,75.0,12.44,45.0,4.0,301.5,338.4,303.8
881.0,1182,18.6,12.6,68.0,10.51,319.0,3.0,302.5,333.9,304.4
874.0,1251,18.6,9.6,56.0,8.65,298.0,3.0,303.2,329.3,304.8
852.0,1469,17.5,7.6,52.0,7.73,230.0,2.0,304.3,327.8,305.7
850.0,1489,17.4,7.4,52.0,7.65,230.0,2.0,304.4,327.6,305.8
841.0,1579,17.0,6.3,49.0,7.16,40.0,1.0,304.9,326.8,306.2
821.0,1783,16.2,3.8,44.0,6.15,205.0,3.0,306.1,325.1,307.2
791.0,2099,14.8,-0.1,36.0,4.83,320.0,3.0,307.9,323.1,308.8
769.0,2338,13.8,-3.0,31.0,4.0,250.0,5.0,309.3,322.1,310.1
756.0,2482,13.2,-4.8,28.0,3.56,258.0,4.0,310.2,321.7,310.8
739.0,2673,11.6,-5.4,30.0,3.48,268.0,3.0,310.4,321.7,311.1
736.0,2707,11.5,-6.7,27.0,3.17,270.0,3.0,310.7,321.0,311.3
716.0,2936,10.8,-15.2,15.0,1.65,275.0,5.0,312.4,318.0,312.7
704.0,3077,10.0,-11.0,22.0,2.36,279.0,7.0,313.0,320.9,313.5
700.0,3124,9.6,-12.4,20.0,2.12,280.0,7.0,313.1,320.2,313.5
681.0,3352,8.2,-18.8,13.0,1.28,326.0,5.0,314.0,318.4,314.2
667.0,3522,6.8,-15.2,19.0,1.77,0.0,3.0,314.3,320.3,314.6
651.0,3721,5.1,-11.0,30.0,2.55,10.0,2.0,314.6,323.1,315.1
648.0,3759,4.8,-10.2,33.0,2.73,10.0,2.0,314.6,323.7,315.1
614.0,4195,1.8,-23.6,13.0,0.93,15.0,5.0,316.1,319.4,316.2
612.0,4222,1.6,-24.4,12.0,0.87,13.0,5.0,316.1,319.2,316.3
587.0,4556,-0.7,-19.7,22.0,1.37,349.0,11.0,317.2,322.0,317.5
568.0,4818,-1.3,-25.6,14.0,0.84,330.0,16.0,319.5,322.6,319.7
545.0,5147,-2.1,-33.1,7.0,0.43,330.0,19.0,322.4,324.0,322.5
533.0,5324,-1.7,-33.7,7.0,0.42,330.0,20.0,324.9,326.5,325.0
500.0,5830,-4.1,-39.1,5.0,0.26,330.0,24.0,328.0,329.0,328.0
480.0,6150,-6.1,-41.1,4.0,0.22,345.0,23.0,329.4,330.3,329.4
476.0,6216,-6.5,-41.5,4.0,0.21,347.0,25.0,329.6,330.5,329.7
468.0,6347,-7.4,-40.5,5.0,0.24,350.0,29.0,330.1,331.1,330.2
429.0,7018,-12.1,-35.1,13.0,0.45,344.0,27.0,332.5,334.2,332.6
400.0,7550,-15.3,-48.3,4.0,0.12,340.0,26.0,335.0,335.5,335.0
394.0,7664,-15.9,-47.9,5.0,0.13,342.0,26.0,335.7,336.2,335.7
362.0,8287,-20.8,-49.0,6.0,0.12,350.0,26.0,337.4,337.9,337.4
309.0,9450,-29.9,-50.9,11.0,0.12,342.0,34.0,340.2,340.7,340.3
300.0,9660,-31.3,-52.3,11.0,0.1,340.0,35.0,341.1,341.6,341.2
260.0,10661,-38.1,-61.1,7.0,0.04,324.0,31.0,345.4,345.6,345.4
252.0,10875,-39.9,-61.3,8.0,0.04,320.0,30.0,345.9,346.1,345.9
250.0,10930,-40.3,-61.3,9.0,0.04,320.0,30.0,346.0,346.2,346.0
200.0,12410,-53.3,-70.3,11.0,0.01,310.0,26.0,348.2,348.3,348.2
155.0,13996,-66.2,-78.8,16.0,0.01,285.0,29.0,352.5,352.5,352.5
150.0,14200,-67.9,-79.9,17.0,0.0,280.0,32.0,352.9,352.9,352.9
134.0,14857,-72.6,-83.8,17.0,0.0,290.0,44.0,356.2,356.2,356.2
114.0,15799,-79.3,-89.3,18.0,0.0,280.0,38.0,360.5,360.5,360.5
112.0,15899,-79.5,-88.5,22.0,0.0,282.0,34.0,362.0,362.0,362.0
109.0,16053,-79.7,-89.7,18.0,0.0,285.0,28.0,364.4,364.4,364.4
105.0,16264,-79.2,-89.2,18.0,0.0,285.0,23.0,369.2,369.2,369.2
104.0,16318,-79.1,-89.1,18.0,0.0,279.0,22.0,370.5,370.5,370.5
100.0,16540,-79.7,-89.7,18.0,0.0,255.0,17.0,373.5,373.5,373.5
94.0,16891,-79.0,-89.0,18.0,0.0,305.0,16.0,381.6,381.6,381.6
91.0,17075,-78.5,-88.5,19.0,0.0,355.0,16.0,386.0,386.0,386.0
90.6,17100,-78.5,-88.5,19.0,0.0,356.0,15.0,386.6,386.6,386.6
88.0,17265,-79.5,-88.9,20.0,0.0,5.0,12.0,387.8,387.8,387.8
86.4,17369,-80.1,-89.1,22.0,0.0,352.0,13.0,388.6,388.6,388.6
83.2,17582,-80.5,-89.5,21.0,0.0,327.0,14.0,392.0,392.0,392.0
83.0,17596,-80.4,-89.4,21.0,0.0,325.0,14.0,392.5,392.5,392.5
74.6,18204,-76.1,-86.1,20.0,0.0,306.0,10.0,413.7,413.7,413.7
70.0,18570,-77.1,-87.1,19.0,0.0,295.0,8.0,419.1,419.1,419.1
67.9,18745,-77.3,-87.3,19.0,0.0,308.0,9.0,422.4,422.4,422.4
60.0,19472,-72.5,-83.0,19.0,0.01,0.0,14.0,448.2,448.3,448.2
59.0,19570,-71.9,-82.4,19.0,0.01,15.0,11.0,451.9,451.9,451.9
52.7,20234,-67.5,-78.5,20.0,0.02,348.0,16.0,476.8,476.9,476.8
50.7,20467,-68.3,-79.3,19.0,0.01,338.0,17.0,480.2,480.3,480.2
50.0,20550,-68.1,-79.1,19.0,0.02,335.0,18.0,482.6,482.7,482.6
46.0,21062,-65.0,-77.0,18.0,0.02,40.0,17.0,501.7,501.9,501.7
43.0,21476,-62.5,-75.2,17.0,0.03,95.0,5.0,517.6,517.8,517.6
42.0,21620,-61.6,-74.7,16.0,0.04,60.0,8.0,523.2,523.5,523.3
39.0,22075,-58.9,-72.8,15.0,0.05,115.0,10.0,541.4,541.8,541.4
38.6,22139,-58.5,-72.5,15.0,0.05,103.0,11.0,544.0,544.4,544.0
38.0,22236,-58.8,-72.7,15.0,0.05,85.0,12.0,545.6,546.0,545.6
33.4,23041,-61.3,-74.3,16.0,0.05,110.0,13.0,559.5,559.9,559.5
30.0,23710,-59.1,-74.1,13.0,0.06,130.0,14.0,582.9,583.4,583.0
24.0,25135,-55.0,-72.8,9.0,0.08,80.0,14.0,633.1,633.9,633.2
