# 48698 WSSS Singapore Observations at 12Z 23 Nov 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1008.0,16.0,26.8,24.4,87.0,19.53,0,6,299.3,356.6,302.8
1000.0,96.0,26.0,22.7,82.0,17.72,340,7,299.1,351.1,302.3
988.0,202.0,25.4,22.1,82.0,17.22,340,10,299.6,350.1,302.7
975.0,318.0,24.8,21.3,81.0,16.69,0,11,300.1,349.2,303.1
934.0,696.0,22.7,19.0,80.0,15.06,0,12,301.6,346.2,304.4
925.0,781.0,22.2,18.5,80.0,14.71,335,10,302.0,345.6,304.7
924.0,790.0,22.1,18.5,80.0,14.69,335,10,302.0,345.6,304.7
850.0,1513.0,18.0,15.4,85.0,13.11,85,1,305.0,344.4,307.4
842.0,1594.0,17.7,13.6,77.0,11.78,0,0,305.5,341.1,307.7
832.0,1697.0,17.4,11.4,68.0,10.28,358,0,306.2,337.4,308.1
814.0,1884.0,15.6,14.5,93.0,12.92,355,1,306.2,345.3,308.6
700.0,3155.0,9.6,7.6,87.0,9.44,335,3,313.1,342.6,314.9
670.0,3519.0,8.2,4.6,78.0,8.0,32,6,315.5,340.9,317.0
630.0,4026.0,4.2,2.3,87.0,7.22,113,9,316.5,339.6,317.9
624.0,4103.0,3.8,2.0,88.0,7.15,125,10,316.9,339.8,318.3
594.0,4500.0,1.8,0.6,91.0,6.75,90,10,319.1,340.9,320.4
529.0,5434.0,-2.9,-2.9,100.0,5.88,85,5,324.2,343.7,325.3
526.0,5479.0,-3.1,-3.3,99.0,5.74,86,6,324.5,343.6,325.6
508.0,5754.0,-4.6,-6.2,89.0,4.77,95,10,325.9,342.0,326.8
500.0,5880.0,-5.3,-7.5,85.0,4.38,110,12,326.5,341.4,327.4
496.0,5943.0,-5.6,-8.2,82.0,4.19,120,11,326.9,341.2,327.7
488.0,6069.0,-6.2,-9.5,78.0,3.84,105,12,327.6,340.8,328.4
461.0,6512.0,-8.4,-14.2,63.0,2.79,125,15,330.3,340.1,330.9
448.0,6734.0,-9.5,-16.5,57.0,2.36,101,18,331.6,340.1,332.1
441.0,6856.0,-10.5,-12.1,88.0,3.45,88,19,331.9,343.9,332.6
437.0,6926.0,-10.9,-12.4,89.0,3.39,80,20,332.2,344.1,332.8
427.0,7103.0,-12.1,-13.3,91.0,3.23,92,24,332.9,344.3,333.6
424.0,7157.0,-12.3,-15.1,80.0,2.81,95,25,333.3,343.3,333.9
418.0,7266.0,-12.7,-18.7,61.0,2.1,102,24,334.2,341.8,334.6
415.0,7320.0,-13.0,-18.6,63.0,2.13,105,23,334.5,342.2,334.9
405.0,7506.0,-13.9,-18.4,69.0,2.23,102,18,335.6,343.7,336.1
400.0,7600.0,-14.7,-17.7,78.0,2.39,100,15,335.8,344.5,336.3
392.0,7752.0,-16.0,-18.4,81.0,2.29,75,13,336.1,344.4,336.5
386.0,7867.0,-17.0,-19.0,84.0,2.22,90,12,336.2,344.3,336.7
379.0,8005.0,-18.2,-19.7,88.0,2.13,75,16,336.4,344.2,336.9
373.0,8124.0,-19.2,-20.3,91.0,2.06,95,13,336.6,344.2,337.1
367.0,8246.0,-20.2,-20.9,94.0,1.98,70,11,336.8,344.1,337.2
362.0,8349.0,-21.1,-21.4,97.0,1.92,81,15,336.9,344.0,337.4
360.0,8390.0,-20.9,-22.4,87.0,1.77,85,16,337.8,344.4,338.2
357.0,8452.0,-20.5,-24.0,74.0,1.55,75,14,339.1,344.9,339.4
351.0,8577.0,-21.4,-24.5,76.0,1.51,55,11,339.5,345.2,339.8
338.0,8856.0,-23.5,-25.5,84.0,1.43,55,9,340.4,345.8,340.6
335.0,8921.0,-23.7,-33.7,39.0,0.67,55,9,340.9,343.6,341.1
333.0,8965.0,-23.9,-34.9,36.0,0.6,55,8,341.3,343.6,341.4
325.0,9142.0,-25.5,-30.0,66.0,0.98,55,7,341.4,345.2,341.6
324.0,9165.0,-25.7,-29.4,71.0,1.04,55,7,341.4,345.5,341.7
316.0,9346.0,-26.7,-38.7,31.0,0.43,53,9,342.5,344.3,342.6
306.0,9578.0,-28.5,-39.5,34.0,0.41,51,12,343.1,344.8,343.2
300.0,9720.0,-29.7,-42.7,27.0,0.3,50,13,343.4,344.6,343.5
297.0,9792.0,-30.3,-43.3,27.0,0.28,52,14,343.5,344.7,343.6
293.0,9887.0,-31.1,-43.8,28.0,0.27,55,15,343.7,344.9,343.8
286.0,10057.0,-32.5,-44.7,29.0,0.25,35,14,344.1,345.1,344.1
275.0,10333.0,-34.9,-46.1,31.0,0.22,45,15,344.6,345.6,344.6
272.0,10410.0,-35.5,-46.5,32.0,0.22,60,12,344.7,345.7,344.8
271.0,10435.0,-35.7,-46.1,34.0,0.23,65,11,344.8,345.7,344.8
264.0,10616.0,-37.4,-43.5,53.0,0.31,50,10,344.9,346.2,345.0
257.0,10801.0,-39.1,-40.9,83.0,0.42,66,10,345.1,346.8,345.1
251.0,10963.0,-40.3,-43.3,73.0,0.33,80,10,345.6,347.0,345.7
250.0,10990.0,-40.5,-43.7,71.0,0.32,85,11,345.7,347.1,345.8
243.0,11183.0,-42.3,-44.7,77.0,0.29,85,18,345.8,347.1,345.9
241.0,11239.0,-42.5,-46.6,64.0,0.24,85,20,346.4,347.4,346.4
240.0,11267.0,-42.7,-57.7,18.0,0.07,86,20,346.5,346.8,346.5
234.0,11437.0,-44.2,-54.7,30.0,0.1,95,18,346.7,347.1,346.7
232.0,11495.0,-44.7,-53.7,36.0,0.11,94,18,346.8,347.3,346.8
227.0,11640.0,-45.9,-48.1,78.0,0.22,92,17,347.1,348.1,347.2
221.0,11818.0,-47.3,-52.3,56.0,0.14,89,15,347.6,348.2,347.7
217.0,11938.0,-48.5,-51.3,73.0,0.16,88,14,347.6,348.3,347.6
211.0,12121.0,-49.9,-54.3,60.0,0.11,85,13,348.2,348.8,348.3
205.0,12310.0,-51.3,-57.3,49.0,0.08,91,12,348.9,349.3,348.9
201.0,12438.0,-52.5,-55.6,69.0,0.1,95,11,349.0,349.4,349.0
200.0,12470.0,-52.7,-56.2,66.0,0.09,95,11,349.1,349.6,349.2
191.0,12763.0,-55.4,-59.6,59.0,0.07,70,12,349.5,349.8,349.5
184.0,13001.0,-57.5,-62.3,54.0,0.05,82,12,349.8,350.0,349.8
174.0,13348.0,-60.2,-66.5,44.0,0.03,100,13,351.0,351.1,351.0
157.0,13984.0,-65.1,-74.1,28.0,0.01,96,12,353.1,353.2,353.1
152.0,14180.0,-66.8,-74.4,34.0,0.01,95,12,353.5,353.5,353.5
150.0,14260.0,-67.5,-74.5,36.0,0.01,95,12,353.6,353.7,353.6
149.0,14300.0,-67.8,-75.3,34.0,0.01,95,10,353.8,353.8,353.8
148.0,14341.0,-68.1,-76.1,31.0,0.01,105,9,353.9,354.0,353.9
135.0,14870.0,-71.8,-79.2,33.0,0.01,240,1,356.7,356.7,356.7
127.0,15223.0,-74.3,-81.2,34.0,0.0,215,10,358.5,358.5,358.5
120.0,15549.0,-76.7,-83.0,36.0,0.0,235,14,360.1,360.1,360.1
116.0,15745.0,-78.0,-84.2,37.0,0.0,230,10,361.1,361.1,361.1
