# 01004 ENAS Ny-Alesund Ii Observations at 12Z 24 Nov 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1010.0,8.0,-12.1,-16.6,69.0,1.04,150,6,260.3,263.2,260.5
1007.0,35.0,-10.9,-15.6,68.0,1.13,140,6,261.7,264.9,261.9
1000.0,97.0,-11.3,-15.7,70.0,1.13,115,8,261.9,265.0,262.0
997.0,120.0,-11.3,-15.5,71.0,1.15,112,8,262.1,265.3,262.3
946.0,520.0,-13.1,-19.1,61.0,0.9,51,5,264.2,266.8,264.4
925.0,691.0,-11.9,-23.9,36.0,0.6,25,4,267.1,268.9,267.2
894.0,952.0,-11.9,-38.9,9.0,0.15,353,5,269.8,270.2,269.8
850.0,1338.0,-13.5,-40.5,8.0,0.13,305,6,272.0,272.4,272.0
847.0,1365.0,-13.1,-41.1,8.0,0.12,303,6,272.7,273.1,272.7
824.0,1573.0,-14.0,-39.7,9.0,0.15,290,10,273.9,274.4,273.9
800.0,1796.0,-14.9,-38.2,12.0,0.18,275,12,275.3,275.9,275.3
741.0,2374.0,-17.3,-34.3,21.0,0.28,278,19,278.7,279.7,278.8
729.0,2496.0,-17.7,-28.7,38.0,0.49,278,21,279.6,281.2,279.7
700.0,2798.0,-19.9,-27.9,49.0,0.55,280,25,280.4,282.2,280.5
669.0,3132.0,-21.9,-26.9,64.0,0.64,279,27,281.8,283.8,281.9
550.0,4544.0,-32.1,-36.1,68.0,0.32,276,35,285.9,287.0,286.0
537.0,4712.0,-33.1,-36.2,74.0,0.32,276,36,286.7,287.8,286.8
500.0,5210.0,-36.5,-39.4,74.0,0.25,275,39,288.5,289.3,288.5
483.0,5447.0,-38.0,-41.2,72.0,0.22,280,43,289.4,290.2,289.5
443.0,6038.0,-41.9,-45.8,66.0,0.14,275,44,291.8,292.3,291.8
400.0,6720.0,-47.3,-50.7,68.0,0.09,270,45,293.4,293.8,293.4
333.0,7904.0,-55.8,-60.8,54.0,0.03,265,47,297.6,297.7,297.6
331.0,7943.0,-56.1,-61.1,53.0,0.03,266,46,297.7,297.8,297.7
317.0,8215.0,-58.5,-62.4,61.0,0.03,270,45,298.1,298.2,298.1
308.0,8395.0,-58.1,-68.1,27.0,0.01,275,45,301.1,301.1,301.1
300.0,8560.0,-58.1,-66.1,35.0,0.02,280,45,303.3,303.4,303.4
294.0,8687.0,-58.1,-67.1,31.0,0.02,279,46,305.1,305.2,305.1
288.0,8817.0,-58.5,-62.8,58.0,0.03,278,47,306.3,306.4,306.3
281.0,8972.0,-57.9,-71.9,15.0,0.01,276,48,309.4,309.4,309.4
276.0,9085.0,-57.8,-72.7,13.0,0.01,275,49,311.1,311.1,311.1
250.0,9710.0,-57.3,-77.3,6.0,0.0,280,47,320.8,320.8,320.8
242.0,9916.0,-57.3,-78.2,5.0,0.0,285,47,323.8,323.8,323.8
211.0,10782.0,-57.3,-81.9,3.0,0.0,275,45,336.7,336.7,336.7
200.0,11120.0,-57.3,-83.3,2.0,0.0,275,45,341.9,341.9,341.9
186.0,11579.0,-56.7,-83.7,2.0,0.0,282,40,350.0,350.0,350.0
181.0,11750.0,-57.2,-84.0,2.0,0.0,285,39,352.0,352.0,352.0
170.0,12144.0,-58.2,-84.8,2.0,0.0,275,41,356.6,356.6,356.6
150.0,12930.0,-60.3,-86.3,2.0,0.0,285,41,366.0,366.0,366.0
137.0,13489.0,-61.3,-87.1,2.0,0.0,300,31,373.8,373.8,373.8
122.0,14204.0,-62.6,-88.1,2.0,0.0,300,33,384.0,384.0,384.0
116.0,14515.0,-63.2,-88.6,2.0,0.0,285,31,388.5,388.5,388.5
