# 10410 EDZE Essen Observations at 12Z 25 Nov 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1000.0,82,,,,,,,,,
992.0,147,7.8,6.6,92.0,6.2,150.0,2.0,281.6,298.8,282.6
968.0,350,8.0,6.5,90.0,6.31,161.0,3.0,283.8,301.5,284.9
925.0,724,5.0,4.9,99.0,5.9,180.0,4.0,284.4,301.1,285.4
887.0,1066,3.0,3.0,100.0,5.38,176.0,9.0,285.8,301.1,286.7
882.0,1112,4.0,2.6,91.0,5.26,175.0,10.0,287.3,302.4,288.2
878.0,1149,4.8,2.3,84.0,5.17,169.0,10.0,288.5,303.4,289.4
861.0,1309,5.4,0.2,69.0,4.53,145.0,10.0,290.7,304.0,291.5
850.0,1414,5.8,-1.2,61.0,4.14,155.0,12.0,292.2,304.5,292.9
845.0,1462,6.2,-1.8,57.0,3.98,163.0,12.0,293.1,305.0,293.8
831.0,1599,5.7,-1.7,59.0,4.09,185.0,12.0,294.0,306.3,294.8
821.0,1698,5.4,-1.6,61.0,4.16,191.0,14.0,294.7,307.2,295.4
804.0,1868,4.3,-1.9,64.0,4.15,200.0,17.0,295.3,307.8,296.1
771.0,2207,2.2,-2.6,71.0,4.11,185.0,21.0,296.6,309.0,297.3
754.0,2388,1.0,-3.0,75.0,4.09,200.0,19.0,297.2,309.6,297.9
735.0,2594,-0.3,-3.4,80.0,4.07,195.0,22.0,297.9,310.3,298.7
700.0,2984,-1.7,-7.7,64.0,3.07,185.0,27.0,300.6,310.2,301.1
666.0,3379,-4.1,-10.1,63.0,2.68,201.0,25.0,302.2,310.7,302.7
629.0,3824,-7.9,-11.8,74.0,2.49,220.0,23.0,302.8,310.7,303.2
598.0,4218,-11.3,-13.2,86.0,2.32,203.0,25.0,303.3,310.7,303.7
584.0,4399,-12.5,-13.9,89.0,2.24,195.0,25.0,304.0,311.2,304.4
572.0,4558,-13.5,-14.6,91.0,2.17,196.0,26.0,304.6,311.6,305.0
508.0,5451,-19.1,-20.9,86.0,1.44,200.0,31.0,308.2,313.1,308.5
500.0,5570,-19.9,-21.7,86.0,1.36,200.0,31.0,308.7,313.3,309.0
484.0,5810,-21.7,-23.4,86.0,1.21,195.0,33.0,309.4,313.5,309.6
466.0,6083,-23.9,-25.4,87.0,1.05,190.0,35.0,310.1,313.7,310.2
415.0,6920,-30.5,-31.4,92.0,0.67,195.0,31.0,312.0,314.4,312.1
411.0,6988,-31.0,-31.9,92.0,0.64,195.0,31.0,312.1,314.4,312.3
400.0,7180,-32.5,-33.5,91.0,0.57,195.0,33.0,312.7,314.7,312.8
353.0,8049,-39.7,-40.4,93.0,0.32,202.0,44.0,314.3,315.5,314.4
319.0,8733,-45.7,-47.9,78.0,0.16,208.0,52.0,315.2,315.9,315.3
310.0,8923,-47.1,-50.1,71.0,0.13,210.0,54.0,315.9,316.4,315.9
305.0,9031,-47.9,-51.4,67.0,0.11,212.0,52.0,316.2,316.7,316.2
300.0,9140,-48.7,-51.0,77.0,0.12,215.0,49.0,316.6,317.1,316.6
297.0,9206,-49.1,-50.9,81.0,0.12,216.0,48.0,316.9,317.4,317.0
289.0,9383,-50.3,-54.5,61.0,0.08,220.0,45.0,317.7,318.1,317.8
261.0,10045,-54.7,-67.7,19.0,0.02,220.0,27.0,320.6,320.7,320.6
260.0,10069,-54.7,-68.7,16.0,0.01,220.0,26.0,321.0,321.1,321.0
250.0,10320,-56.1,-69.1,18.0,0.01,220.0,19.0,322.5,322.6,322.5
249.0,10345,-56.2,-69.2,18.0,0.01,220.0,17.0,322.7,322.8,322.7
235.0,10709,-57.9,-70.9,17.0,0.01,210.0,23.0,325.5,325.6,325.5
230.0,10844,-58.6,-71.6,17.0,0.01,220.0,23.0,326.6,326.6,326.6
229.0,10872,-58.7,-71.7,17.0,0.01,222.0,22.0,326.8,326.8,326.8
222.0,11065,-59.7,-66.7,40.0,0.02,234.0,16.0,328.1,328.2,328.1
219.0,11149,-60.1,-67.2,39.0,0.02,240.0,14.0,328.8,328.9,328.8
201.0,11679,-62.6,-70.5,34.0,0.01,250.0,6.0,333.1,333.1,333.1
200.0,11710,-62.7,-70.7,33.0,0.01,245.0,6.0,333.3,333.4,333.3
191.0,11993,-63.9,-72.9,28.0,0.01,245.0,17.0,335.8,335.9,335.8
183.0,12257,-62.3,-78.3,10.0,0.0,242.0,23.0,342.5,342.6,342.5
176.0,12497,-62.8,-79.2,9.0,0.0,240.0,27.0,345.6,345.6,345.6
157.0,13200,-64.2,-81.7,7.0,0.0,240.0,23.0,354.7,354.7,354.7
150.0,13480,-64.7,-82.7,7.0,0.0,270.0,25.0,358.4,358.4,358.4
142.0,13816,-64.4,-83.3,6.0,0.0,310.0,16.0,364.6,364.7,364.6
140.0,13903,-64.3,-83.5,6.0,0.0,300.0,12.0,366.3,366.3,366.3
137.0,14035,-64.2,-83.7,5.0,0.0,275.0,19.0,368.8,368.8,368.8
134.0,14171,-64.0,-83.9,5.0,0.0,270.0,21.0,371.3,371.4,371.3
128.0,14452,-63.8,-84.4,4.0,0.0,295.0,21.0,376.7,376.7,376.7
118.0,14950,-63.3,-85.3,4.0,0.0,284.0,20.0,386.4,386.5,386.4
115.0,15107,-63.8,-85.5,4.0,0.0,280.0,19.0,388.4,388.4,388.4
104.0,15721,-65.6,-86.1,4.0,0.0,305.0,27.0,396.3,396.3,396.3
100.0,15960,-66.3,-86.3,5.0,0.0,285.0,21.0,399.4,399.4,399.4
98.0,16082,-66.5,-86.5,5.0,0.0,265.0,23.0,401.3,401.3,401.3
91.0,16528,-67.2,-87.0,5.0,0.0,290.0,21.0,408.4,408.4,408.4
83.0,17083,-68.2,-87.7,5.0,0.0,270.0,25.0,417.4,417.4,417.4
70.0,18110,-69.9,-88.9,5.0,0.0,290.0,39.0,434.5,434.5,434.5
65.0,18551,-70.2,-89.2,5.0,0.0,300.0,37.0,443.1,443.1,443.1
60.0,19026,-70.5,-89.5,5.0,0.0,300.0,35.0,452.6,452.7,452.6
57.0,19331,-70.8,-89.8,5.0,0.0,280.0,43.0,458.8,458.9,458.8
54.0,19653,-71.0,-90.0,5.0,0.0,295.0,35.0,465.5,465.5,465.5
50.0,20110,-71.3,-90.3,5.0,0.0,280.0,51.0,475.1,475.1,475.1
43.4,20943,-73.1,-91.1,5.0,0.0,296.0,49.0,490.3,490.3,490.3
42.0,21136,-72.5,-91.2,5.0,0.0,300.0,49.0,496.3,496.3,496.3
38.0,21727,-70.7,-91.5,3.0,0.0,295.0,39.0,515.2,515.3,515.2
37.5,21805,-70.5,-91.5,3.0,0.0,294.0,40.0,517.8,517.8,517.8
34.0,22382,-71.7,-91.8,4.0,0.0,285.0,51.0,529.3,529.3,529.3
31.0,22927,-72.9,-92.2,4.0,0.0,275.0,43.0,540.3,540.3,540.3
30.0,23120,-73.3,-92.3,4.0,0.0,285.0,45.0,544.3,544.3,544.3
28.9,23338,-73.9,-91.9,5.0,0.0,286.0,46.0,548.5,548.5,548.5
26.0,23956,-73.6,-92.2,4.0,0.0,290.0,51.0,566.1,566.1,566.1
22.0,24933,-73.2,-92.6,4.0,0.0,280.0,64.0,595.1,595.1,595.1
20.0,25490,-72.9,-92.9,4.0,0.0,285.0,62.0,612.3,612.4,612.3
18.6,25913,-74.3,-94.3,3.0,0.0,285.0,55.0,620.8,620.8,620.8
18.0,26105,-73.8,-94.2,3.0,0.0,285.0,52.0,628.3,628.3,628.3
16.0,26795,-71.9,-93.8,3.0,0.0,270.0,56.0,655.9,656.0,655.9
15.8,26868,-71.7,-93.7,3.0,0.0,272.0,57.0,658.9,659.0,658.9
15.0,27172,-72.1,-93.8,3.0,0.0,280.0,60.0,667.5,667.5,667.5
11.0,28984,-74.5,-94.7,3.0,0.0,260.0,85.0,720.7,720.8,720.7
10.4,29312,-74.9,-94.9,3.0,0.0,266.0,82.0,730.8,730.8,730.8
10.0,29540,-74.1,-95.1,3.0,0.0,270.0,80.0,742.0,742.0,742.0
9.0,30161,-72.9,-94.7,2.0,0.01,275.0,103.0,769.1,769.2,769.1
7.3,31394,-70.6,-94.0,2.0,0.01,265.0,107.0,825.9,826.0,825.9
7.0,31641,-70.2,-93.8,2.0,0.01,265.0,107.0,837.8,837.9,837.8
6.7,31899,-69.7,-93.7,2.0,0.01,,,850.3,850.4,850.3
