# 78954 TBPB Grantley Adams Observations at 12Z 13 Dec 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1006.0,57,26.2,22.6,81,17.5,90.0,5.0,298.8,350.0,302.0
1003.0,79,26.4,21.9,76,16.8,90.0,7.0,299.3,348.5,302.3
1000.0,101,26.2,21.6,76,16.54,90.0,10.0,299.4,347.8,302.3
996.0,136,25.8,21.1,75,16.09,91.0,11.0,299.3,346.5,302.2
978.0,296,24.5,20.3,77,15.6,95.0,17.0,299.6,345.3,302.4
945.0,596,22.1,18.8,82,14.7,95.0,16.0,300.1,343.3,302.7
925.0,783,20.6,17.9,85,14.15,105.0,17.0,300.4,342.1,302.9
913.0,895,19.9,17.3,85,13.78,110.0,17.0,300.8,341.4,303.2
850.0,1509,16.0,13.9,87,11.88,110.0,19.0,302.9,338.3,305.1
803.0,1992,13.0,11.8,92,10.94,102.0,20.0,304.7,337.6,306.7
793.0,2097,12.3,10.4,88,10.07,100.0,20.0,305.0,335.4,306.8
789.0,2140,12.0,9.8,86,9.73,101.0,20.0,305.1,334.6,306.9
763.0,2421,12.4,8.9,79,9.46,110.0,19.0,308.5,337.6,310.2
750.0,2565,11.5,7.9,79,9.02,115.0,18.0,309.0,336.8,310.7
700.0,3140,7.8,4.1,77,7.39,115.0,19.0,311.1,334.2,312.5
679.0,3390,6.5,0.1,64,5.72,110.0,7.0,312.4,330.6,313.5
667.0,3537,5.8,-2.2,56,4.9,89.0,7.0,313.2,328.9,314.1
662.0,3598,5.5,-2.2,58,4.95,80.0,7.0,313.5,329.5,314.5
646.0,3798,4.7,-2.1,62,5.11,115.0,5.0,314.8,331.2,315.7
634.0,3951,4.0,-2.0,65,5.24,93.0,5.0,315.7,332.6,316.7
630.0,4002,3.7,-3.1,61,4.85,85.0,5.0,315.9,331.6,316.8
629.0,4015,3.6,-3.4,60,4.76,80.0,5.0,315.9,331.4,316.9
615.0,4197,2.3,-2.9,69,5.06,15.0,5.0,316.5,333.0,317.5
603.0,4357,1.2,-2.4,77,5.35,323.0,4.0,317.0,334.4,318.0
591.0,4517,0.3,-4.6,70,4.64,270.0,3.0,317.9,333.1,318.7
582.0,4640,-0.3,-6.2,64,4.15,245.0,8.0,318.5,332.2,319.3
555.0,5020,-2.3,-11.3,50,2.92,254.0,18.0,320.5,330.4,321.0
552.0,5063,-2.6,-10.9,53,3.03,255.0,19.0,320.6,330.9,321.2
537.0,5280,-4.2,-8.8,70,3.67,240.0,11.0,321.2,333.5,321.9
531.0,5369,-4.9,-8.0,79,3.96,242.0,12.0,321.4,334.7,322.2
500.0,5840,-7.3,-16.3,49,2.15,250.0,17.0,324.1,331.6,324.5
482.0,6125,-9.3,-19.3,44,1.73,252.0,19.0,325.0,331.2,325.4
442.0,6792,-12.7,-16.8,71,2.34,258.0,24.0,328.9,337.1,329.3
431.0,6984,-13.8,-25.6,36,1.11,260.0,26.0,329.9,334.0,330.1
428.0,7037,-14.1,-28.1,30,0.89,260.0,26.0,330.1,333.5,330.3
421.0,7163,-14.1,-21.1,55,1.7,260.0,27.0,331.7,337.9,332.0
400.0,7550,-16.3,-35.3,18,0.48,260.0,28.0,333.7,335.6,333.8
380.0,7933,-18.9,-49.9,5,0.11,271.0,29.0,335.2,335.7,335.2
374.0,8049,-19.7,-49.2,5,0.12,275.0,29.0,335.7,336.2,335.7
300.0,9650,-30.9,-38.9,45,0.44,265.0,55.0,341.7,343.5,341.8
283.0,10062,-34.1,-38.3,66,0.5,256.0,59.0,342.9,344.9,343.0
281.0,10111,-34.4,-39.3,61,0.45,255.0,60.0,343.1,344.9,343.2
274.0,10285,-35.6,-42.9,47,0.32,255.0,58.0,343.9,345.2,343.9
268.0,10439,-36.6,-46.0,37,0.23,255.0,53.0,344.5,345.5,344.6
250.0,10920,-39.9,-55.9,16,0.08,265.0,50.0,346.6,347.0,346.6
230.0,11483,-44.7,-62.7,12,0.04,274.0,54.0,347.7,347.8,347.7
219.0,11805,-47.7,-64.0,14,0.03,280.0,57.0,347.9,348.1,347.9
200.0,12400,-53.3,-66.3,19,0.03,275.0,55.0,348.2,348.3,348.2
150.0,14190,-68.3,-75.3,36,0.01,275.0,54.0,352.2,352.3,352.2
117.0,15646,-78.5,-83.5,44,0.0,283.0,38.0,359.3,359.3,359.3
113.0,15845,-77.9,-83.9,38,0.0,284.0,36.0,364.0,364.1,364.0
110.0,15998,-78.7,-84.2,41,0.0,285.0,34.0,365.3,365.3,365.3
106.0,16209,-79.9,-84.7,45,0.0,277.0,32.0,366.9,367.0,366.9
105.0,16263,-80.1,-84.9,45,0.0,275.0,32.0,367.6,367.6,367.6
104.0,16317,-80.1,-85.1,44,0.0,275.0,33.0,368.6,368.6,368.6
100.0,16540,-79.1,-84.1,44,0.0,275.0,37.0,374.6,374.7,374.6
96.7,16731,-78.5,-84.5,37,0.0,274.0,34.0,379.4,379.4,379.4
88.5,17233,-81.3,-85.9,46,0.0,272.0,24.0,383.6,383.6,383.6
87.6,17290,-81.5,-86.3,44,0.0,271.0,23.0,384.3,384.3,384.3
84.0,17531,-78.2,-83.8,40,0.0,270.0,19.0,395.6,395.6,395.6
79.0,17884,-73.4,-80.2,35,0.01,300.0,23.0,412.5,412.6,412.5
78.3,17935,-72.7,-79.7,34,0.01,297.0,23.0,415.0,415.1,415.0
70.0,18590,-74.5,-80.5,39,0.01,265.0,19.0,424.7,424.7,424.7
66.2,18913,-75.3,-81.3,39,0.01,263.0,24.0,429.8,429.8,429.8
61.0,19396,-72.8,-79.4,36,0.01,260.0,32.0,445.4,445.4,445.4
52.0,20338,-68.1,-75.8,32,0.02,260.0,5.0,477.3,477.4,477.3
51.0,20453,-67.5,-75.3,32,0.03,195.0,4.0,481.3,481.5,481.3
50.0,20570,-66.9,-74.9,31,0.03,195.0,3.0,485.4,485.6,485.4
48.9,20705,-66.7,-74.7,32,0.03,188.0,5.0,489.0,489.2,489.0
46.0,21074,-68.1,-76.1,31,0.03,170.0,9.0,494.2,494.4,494.2
43.0,21492,-66.3,-75.2,28,0.03,255.0,8.0,508.3,508.6,508.4
41.0,21786,-65.0,-74.6,25,0.04,50.0,2.0,518.5,518.8,518.5
34.0,22945,-59.9,-72.1,19,0.07,345.0,6.0,560.4,560.9,560.4
30.0,23720,-56.5,-70.5,16,0.09,70.0,8.0,590.0,590.8,590.0
29.0,23938,-55.4,-70.2,14,0.1,130.0,10.0,598.8,599.7,598.9
28.0,24163,-54.2,-69.8,13,0.11,140.0,6.0,608.1,609.0,608.1
26.4,24541,-52.3,-69.3,11,0.13,131.0,10.0,623.8,624.9,623.9
23.0,25431,-54.0,-72.8,8,0.09,110.0,19.0,643.8,644.6,643.9
22.5,25572,-54.3,-73.3,8,0.08,107.0,20.0,647.1,647.8,647.1
20.0,26330,-53.7,-74.7,6,0.08,90.0,24.0,671.0,671.8,671.1
15.5,27991,-47.3,-73.3,4,0.12,79.0,32.0,742.8,744.1,742.9
