# 10410 EDZE Essen Observations at 12Z 14 Dec 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1000.0,-71,,,,,,,,,
974.0,147,3.8,3.4,97.0,5.04,235.0,10.0,279.0,293.0,279.9
971.0,172,3.6,3.2,97.0,4.99,255.0,14.0,279.1,293.0,279.9
925.0,562,0.8,0.2,96.0,4.22,260.0,39.0,280.1,292.0,280.8
918.0,623,0.2,0.1,99.0,4.22,264.0,41.0,280.1,292.0,280.8
899.0,790,-0.6,-1.1,97.0,3.94,275.0,49.0,281.0,292.1,281.6
865.0,1097,-2.1,-3.3,91.0,3.48,275.0,43.0,282.5,292.5,283.1
850.0,1236,-2.7,-7.7,68.0,2.53,275.0,41.0,283.3,290.7,283.7
816.0,1558,-4.5,-8.2,75.0,2.54,273.0,45.0,284.7,292.2,285.2
766.0,2049,-7.9,-10.3,82.0,2.28,270.0,52.0,286.3,293.1,286.7
704.0,2703,-12.4,-13.2,94.0,1.97,265.0,37.0,288.3,294.3,288.6
700.0,2747,-12.7,-13.4,94.0,1.95,265.0,37.0,288.4,294.3,288.7
661.0,3182,-16.1,-16.5,97.0,1.6,271.0,49.0,289.3,294.3,289.6
641.0,3414,-17.7,-18.4,94.0,1.41,274.0,56.0,290.1,294.5,290.3
635.0,3484,-18.7,-26.7,49.0,0.68,275.0,58.0,289.7,291.9,289.8
629.0,3555,-19.1,-22.7,73.0,0.99,276.0,60.0,290.0,293.2,290.2
628.0,3567,-19.1,-26.1,54.0,0.73,276.0,60.0,290.2,292.5,290.3
614.0,3734,-19.9,-32.9,30.0,0.39,278.0,65.0,291.1,292.4,291.2
575.0,4218,-23.5,-36.5,29.0,0.29,285.0,79.0,292.4,293.4,292.5
574.0,4231,-23.4,-37.9,25.0,0.26,285.0,80.0,292.7,293.6,292.7
569.0,4295,-22.9,-44.9,12.0,0.12,285.0,78.0,294.0,294.4,294.0
556.0,4464,-23.6,-49.6,7.0,0.07,285.0,72.0,295.1,295.4,295.1
537.0,4718,-24.7,-56.7,3.0,0.03,283.0,77.0,296.8,296.9,296.8
521.0,4940,-23.1,-55.1,4.0,0.04,282.0,81.0,301.2,301.4,301.3
500.0,5240,-25.1,-48.1,10.0,0.1,280.0,87.0,302.4,302.8,302.4
491.0,5372,-25.9,-48.9,10.0,0.09,281.0,90.0,303.0,303.3,303.0
455.0,5922,-27.1,-64.1,2.0,0.02,284.0,102.0,308.1,308.2,308.1
448.0,6034,-27.5,-63.5,2.0,0.02,284.0,104.0,309.0,309.1,309.0
440.0,6162,-28.4,-62.8,2.0,0.02,285.0,107.0,309.5,309.5,309.5
400.0,6840,-33.1,-59.1,6.0,0.03,285.0,111.0,311.9,312.0,311.9
