# 01004 ENAS Ny-Alesund Ii Observations at 12Z 16 Dec 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1017.0,8,-7.7,-14.7,57,1.21,170.0,4.0,264.2,267.6,264.4
1004.0,113,-8.0,-15.8,54,1.12,110.0,10.0,264.8,268.0,265.0
1000.0,146,-8.1,-16.1,53,1.09,110.0,12.0,265.1,268.2,265.2
962.0,445,-9.3,-17.3,52,1.03,125.0,14.0,266.8,269.8,267.0
934.0,673,-10.2,-18.2,52,0.98,105.0,10.0,268.1,271.0,268.3
925.0,748,-10.5,-18.5,52,0.97,90.0,6.0,268.6,271.4,268.7
855.0,1350,-12.9,-19.9,56,0.93,5.0,10.0,272.2,275.0,272.4
854.0,1359,-12.9,-19.9,56,0.93,5.0,10.0,272.2,275.0,272.4
850.0,1395,-13.1,-19.1,61,1.0,5.0,10.0,272.4,275.4,272.6
792.0,1930,-17.3,-21.3,71,0.89,354.0,15.0,273.5,276.1,273.6
769.0,2150,-18.1,-22.1,71,0.85,350.0,17.0,274.9,277.5,275.1
764.0,2199,-17.5,-26.5,45,0.58,349.0,17.0,276.1,277.9,276.2
744.0,2398,-18.4,-25.6,53,0.64,345.0,19.0,277.2,279.2,277.4
741.0,2428,-18.5,-25.5,54,0.65,345.0,19.0,277.4,279.4,277.5
700.0,2850,-21.7,-28.7,53,0.51,350.0,19.0,278.4,280.1,278.5
690.0,2956,-22.4,-29.4,53,0.49,350.0,23.0,278.8,280.3,278.9
678.0,3084,-23.3,-30.3,53,0.46,351.0,23.0,279.2,280.6,279.3
663.0,3248,-23.7,-41.7,17,0.15,352.0,22.0,280.5,281.0,280.6
661.0,3270,-23.7,-41.7,17,0.15,353.0,22.0,280.8,281.3,280.8
634.0,3572,-25.8,-40.7,23,0.17,355.0,21.0,281.8,282.4,281.8
617.0,3769,-27.1,-40.1,28,0.19,352.0,20.0,282.4,283.1,282.5
603.0,3934,-28.5,-33.3,63,0.38,349.0,19.0,282.7,283.9,282.8
582.0,4186,-30.9,-33.7,76,0.38,345.0,18.0,282.8,284.0,282.8
580.0,4210,-31.0,-34.2,73,0.36,345.0,17.0,282.9,284.1,283.0
556.0,4509,-32.2,-41.0,41,0.19,355.0,19.0,284.9,285.6,284.9
551.0,4573,-32.5,-42.5,36,0.16,351.0,19.0,285.3,285.9,285.4
535.0,4778,-33.9,-42.6,41,0.17,340.0,17.0,286.1,286.7,286.1
523.0,4937,-35.0,-42.7,45,0.17,350.0,19.0,286.6,287.2,286.7
502.0,5222,-36.9,-42.9,54,0.17,350.0,21.0,287.7,288.3,287.7
500.0,5250,-36.9,-42.9,54,0.17,350.0,21.0,288.0,288.6,288.0
452.0,5930,-42.2,-50.1,41,0.09,350.0,17.0,289.8,290.1,289.8
441.0,6096,-43.5,-51.9,39,0.07,330.0,16.0,290.2,290.5,290.2
426.0,6329,-45.2,-54.4,35,0.06,335.0,17.0,290.8,291.0,290.8
416.0,6489,-46.5,-56.1,33,0.05,320.0,16.0,291.2,291.4,291.2
408.0,6620,-47.5,-57.5,31,0.04,331.0,17.0,291.5,291.7,291.5
405.0,6668,-47.7,-57.0,34,0.04,335.0,17.0,291.9,292.0,291.9
400.0,6750,-48.1,-56.1,39,0.05,325.0,17.0,292.4,292.6,292.4
395.0,6833,-48.5,-54.5,50,0.06,319.0,17.0,292.9,293.1,292.9
381.0,7069,-50.2,-56.2,49,0.05,300.0,17.0,293.7,293.9,293.7
369.0,7279,-51.8,-57.8,48,0.04,315.0,16.0,294.3,294.5,294.3
365.0,7350,-52.3,-58.3,48,0.04,310.0,14.0,294.6,294.7,294.6
356.0,7510,-53.4,-60.3,42,0.03,300.0,12.0,295.2,295.3,295.2
344.0,7730,-54.9,-63.1,35,0.02,280.0,14.0,296.1,296.2,296.1
