# 48698 WSSS Singapore Observations at 12Z 29 Dec 2019
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1008.0,16,28.6,22.6,70,17.47,60.0,11.0,301.1,352.7,304.2
1002.0,74,27.9,21.9,70,16.77,25.0,10.0,300.8,350.3,303.8
1000.0,93,27.6,21.6,70,16.54,25.0,12.0,300.8,349.5,303.7
953.0,518,23.4,21.0,86,16.73,30.0,18.0,300.7,350.0,303.7
934.0,693,22.1,19.6,86,15.61,20.0,18.0,301.0,347.1,303.8
925.0,778,21.4,18.9,86,15.09,25.0,19.0,301.2,345.8,303.9
918.0,844,21.0,18.9,88,15.17,35.0,21.0,301.4,346.3,304.2
894.0,1074,19.6,18.7,95,15.43,20.0,13.0,302.3,348.1,305.1
886.0,1152,19.3,18.2,93,15.1,15.0,10.0,302.8,347.6,305.5
850.0,1510,18.0,16.0,88,13.64,55.0,4.0,305.0,346.0,307.5
821.0,1804,16.6,14.1,85,12.47,95.0,1.0,306.6,344.4,308.9
741.0,2671,12.6,8.5,76,9.49,110.0,12.0,311.3,340.8,313.1
700.0,3153,10.4,5.4,71,8.1,55.0,9.0,314.0,339.5,315.5
697.0,3188,10.2,5.1,71,7.97,50.0,10.0,314.2,339.4,315.7
606.0,4341,5.0,-4.0,52,4.72,23.0,5.0,320.9,336.6,321.9
572.0,4809,1.6,-3.2,70,5.31,12.0,2.0,322.3,339.9,323.3
562.0,4951,0.8,-8.2,51,3.69,9.0,2.0,323.0,335.4,323.7
537.0,5315,-1.7,-5.4,76,4.79,0.0,0.0,324.2,340.3,325.2
531.0,5404,-2.3,-4.7,84,5.11,10.0,1.0,324.5,341.6,325.6
525.0,5494,-2.7,-4.2,89,5.37,21.0,1.0,325.1,343.1,326.2
500.0,5880,-4.1,-17.1,36,2.01,65.0,4.0,328.0,335.1,328.4
491.0,6023,-4.5,-19.5,30,1.67,53.0,4.0,329.2,335.2,329.5
458.0,6567,-7.7,-12.4,69,3.24,6.0,5.0,331.8,343.2,332.4
423.0,7182,-10.5,-25.5,28,1.14,313.0,6.0,335.8,340.2,336.1
405.0,7515,-12.7,-19.7,56,1.99,283.0,7.0,337.2,344.5,337.6
402.0,7572,-12.9,-26.9,30,1.06,278.0,7.0,337.6,341.7,337.9
400.0,7610,-13.1,-22.1,47,1.64,275.0,7.0,337.9,344.0,338.2
399.0,7629,-13.3,-21.3,51,1.76,276.0,7.0,337.9,344.4,338.2
393.0,7744,-14.1,-21.4,54,1.77,285.0,10.0,338.2,344.8,338.6
383.0,7939,-15.5,-21.6,60,1.79,315.0,12.0,338.9,345.6,339.2
375.0,8099,-16.7,-21.7,65,1.81,306.0,12.0,339.4,346.1,339.8
373.0,8140,-16.3,-26.3,42,1.2,303.0,13.0,340.4,345.1,340.7
369.0,8221,-16.7,-28.7,35,0.98,298.0,13.0,341.0,344.8,341.2
350.0,8612,-19.9,-33.5,29,0.65,275.0,14.0,341.9,344.5,342.0
324.0,9184,-24.5,-40.5,21,0.35,271.0,19.0,343.1,344.5,343.2
317.0,9342,-25.9,-39.5,27,0.39,270.0,21.0,343.3,344.9,343.4
301.0,9716,-29.3,-37.3,46,0.52,265.0,16.0,343.6,345.7,343.8
300.0,9740,-29.5,-38.5,41,0.46,265.0,16.0,343.7,345.6,343.8
295.0,9858,-30.5,-40.0,39,0.4,260.0,17.0,343.9,345.6,344.0
285.0,10099,-32.5,-43.0,34,0.3,280.0,15.0,344.4,345.7,344.5
262.0,10689,-37.5,-50.5,24,0.14,288.0,18.0,345.5,346.1,345.6
255.0,10874,-39.1,-52.1,24,0.12,290.0,19.0,345.8,346.4,345.8
250.0,11010,-40.3,-53.3,24,0.11,275.0,20.0,346.0,346.5,346.0
244.0,11175,-41.3,-60.3,11,0.05,271.0,18.0,346.9,347.1,346.9
230.0,11569,-44.9,-60.0,17,0.05,260.0,12.0,347.4,347.6,347.4
223.0,11775,-46.7,-59.8,21,0.05,220.0,7.0,347.6,347.9,347.6
213.0,12081,-49.5,-59.5,30,0.06,190.0,10.0,347.9,348.2,347.9
209.0,12205,-50.3,-58.3,38,0.07,178.0,10.0,348.5,348.9,348.6
203.0,12393,-52.0,-63.3,24,0.04,160.0,10.0,348.7,348.9,348.8
200.0,12490,-52.9,-65.9,19,0.03,160.0,9.0,348.8,349.0,348.8
188.0,12886,-55.9,-67.9,21,0.02,148.0,13.0,350.2,350.3,350.2
179.0,13196,-58.7,-63.0,57,0.04,139.0,15.0,350.6,350.8,350.6
175.0,13338,-60.1,-70.1,26,0.02,134.0,17.0,350.6,350.6,350.6
171.0,13481,-61.4,-68.7,37,0.02,130.0,18.0,350.8,350.9,350.8
164.0,13739,-63.7,-66.1,72,0.03,134.0,17.0,351.1,351.2,351.1
152.0,14201,-67.9,-69.7,78,0.02,140.0,15.0,351.6,351.7,351.6
150.0,14280,-68.5,-72.7,55,0.01,135.0,16.0,351.9,352.0,351.9
147.0,14401,-68.7,-81.7,14,0.0,129.0,19.0,353.6,353.6,353.6
145.0,14483,-69.0,-81.6,15,0.0,125.0,21.0,354.6,354.6,354.6
142.0,14608,-69.3,-81.4,16,0.0,125.0,14.0,356.0,356.0,356.0
138.0,14779,-69.8,-81.2,18,0.0,180.0,7.0,358.0,358.1,358.0
136.0,14867,-70.1,-81.1,19,0.0,203.0,9.0,359.1,359.1,359.1
135.0,14910,-70.5,-81.2,19,0.0,215.0,10.0,359.2,359.2,359.2
117.0,15742,-77.2,-82.7,42,0.0,265.0,29.0,361.7,361.8,361.7
116.0,15792,-77.6,-82.8,44,0.0,260.0,29.0,361.9,361.9,361.9
110.0,16101,-80.1,-83.3,59,0.0,251.0,26.0,362.7,362.7,362.7
109.0,16152,-80.5,-84.2,55,0.0,250.0,26.0,362.9,362.9,362.9
108.0,16205,-80.9,-85.0,50,0.0,253.0,23.0,363.1,363.1,363.1
104.0,16418,-80.5,-86.0,40,0.0,265.0,13.0,367.8,367.8,367.8
100.0,16640,-80.1,-87.1,31,0.0,325.0,9.0,372.7,372.7,372.7
92.0,17106,-83.0,-89.0,35,0.0,345.0,10.0,375.9,375.9,375.9
91.8,17118,-83.1,-89.1,35,0.0,345.0,10.0,376.0,376.0,376.0
91.0,17168,-82.7,-89.0,34,0.0,0.0,11.0,377.7,377.7,377.7
85.0,17550,-79.9,-88.4,24,0.0,265.0,10.0,390.9,390.9,390.9
83.8,17629,-79.3,-88.3,22,0.0,267.0,10.0,393.6,393.7,393.6
80.0,17893,-79.1,-88.6,20,0.0,275.0,10.0,399.3,399.3,399.3
71.0,18570,-78.6,-89.4,16,0.0,45.0,3.0,414.3,414.3,414.3
70.0,18650,-78.5,-89.5,16,0.0,0.0,5.0,416.1,416.1,416.1
69.9,18658,-78.3,-89.3,16,0.0,360.0,5.0,416.7,416.7,416.7
69.3,18707,-78.5,-89.5,16,0.0,358.0,7.0,417.3,417.3,417.3
68.0,18817,-76.7,-88.9,13,0.0,355.0,10.0,423.5,423.5,423.5
66.2,18971,-74.1,-88.1,10,0.0,351.0,19.0,432.4,432.4,432.4
66.0,18989,-74.2,-88.2,10,0.0,350.0,20.0,432.6,432.6,432.6
62.0,19352,-75.6,-89.6,10,0.0,355.0,14.0,437.2,437.3,437.2
61.7,19380,-75.7,-89.7,10,0.0,349.0,13.0,437.6,437.6,437.6
61.0,19447,-75.3,-89.9,9,0.0,335.0,10.0,439.9,439.9,439.9
59.3,19611,-74.3,-90.3,7,0.0,56.0,2.0,445.7,445.8,445.7
59.0,19641,-73.6,-90.3,6,0.0,70.0,1.0,448.1,448.1,448.1
57.3,19813,-69.3,-90.3,3,0.0,94.0,2.0,461.4,461.5,461.4
50.0,20620,-73.1,-90.1,6,0.0,205.0,4.0,470.8,470.8,470.8
46.2,21081,-74.7,-90.7,7,0.0,190.0,4.0,477.7,477.8,477.7
45.0,21235,-74.1,-91.3,6,0.0,145.0,3.0,482.8,482.8,482.8
44.0,21367,-73.6,-91.8,5,0.0,130.0,10.0,487.1,487.1,487.1
41.0,21780,-72.0,-93.4,3,0.0,85.0,17.0,501.0,501.0,501.0
40.4,21867,-71.7,-93.7,3,0.0,52.0,18.0,503.9,503.9,503.9
40.0,21926,-69.8,-93.6,2,0.0,30.0,18.0,510.0,510.1,510.0
39.3,22032,-66.5,-93.5,1,0.0,32.0,20.0,521.0,521.0,521.0
38.0,22235,-67.1,-92.6,2,0.0,35.0,25.0,524.6,524.6,524.6
37.5,22315,-67.3,-92.3,2,0.0,44.0,21.0,526.0,526.0,526.0
36.0,22564,-63.4,-91.5,1,0.0,70.0,10.0,542.3,542.3,542.3
35.6,22632,-62.3,-91.3,1,0.0,106.0,7.0,546.8,546.8,546.8
35.0,22738,-61.8,-91.0,1,0.0,160.0,3.0,550.8,550.8,550.8
34.0,22918,-61.0,-90.3,1,0.0,250.0,10.0,557.5,557.5,557.5
32.0,23296,-59.2,-89.1,1,0.0,285.0,40.0,571.9,572.0,571.9
31.4,23414,-58.7,-88.7,1,0.0,261.0,23.0,576.5,576.5,576.5
31.0,23494,-58.7,-88.7,1,0.0,245.0,12.0,578.6,578.6,578.6
30.0,23700,-58.7,-88.7,1,0.01,195.0,11.0,584.0,584.1,584.0
25.4,24740,-60.5,-88.5,1,0.01,53.0,22.0,607.3,607.4,607.3
25.0,24841,-60.2,-88.4,1,0.01,40.0,23.0,611.1,611.1,611.1
19.0,26587,-54.3,-86.7,1,0.01,85.0,57.0,679.2,679.3,679.2
17.0,27295,-51.9,-86.0,1,0.01,90.0,48.0,708.8,709.0,708.8
16.1,27641,-50.7,-85.7,1,0.02,90.0,63.0,723.7,723.9,723.7
16.0,27681,-50.8,-85.7,1,0.02,90.0,65.0,724.6,724.8,724.6
15.0,28099,-52.1,-85.9,1,0.02,95.0,54.0,733.7,733.9,733.8
14.3,28408,-53.1,-86.1,1,0.02,95.0,75.0,740.6,740.8,740.6
14.0,28546,-51.9,-85.8,1,0.02,95.0,85.0,749.0,749.2,749.0
13.3,28879,-49.1,-85.1,1,0.02,81.0,68.0,769.8,770.1,769.8
13.0,29028,-49.2,-85.1,1,0.02,75.0,60.0,774.4,774.6,774.4
11.0,30120,-50.3,-85.3,1,0.03,100.0,80.0,808.4,808.7,808.4
10.6,30364,-46.3,-84.3,1,0.03,100.0,75.0,831.6,832.0,831.7
10.0,30750,-46.9,-83.9,1,0.04,100.0,68.0,843.4,843.8,843.4
9.6,31022,-44.9,-82.9,1,0.04,104.0,72.0,860.8,861.4,860.8
9.0,31449,-48.5,-84.5,1,0.04,110.0,78.0,863.0,863.5,863.0
8.5,31828,-45.3,-83.3,1,0.05,108.0,70.0,889.7,890.3,889.7
8.0,32232,-45.4,-83.4,1,0.05,105.0,62.0,904.7,905.3,904.7
7.8,32401,-45.5,-83.5,1,0.05,104.0,69.0,911.0,911.7,911.0
7.2,32947,-38.2,-79.5,1,0.1,100.0,90.0,962.0,963.5,962.1
7.0,33140,-35.6,-78.0,1,0.13,100.0,90.0,980.4,982.3,980.5
6.9,33238,-34.3,-77.3,0,0.15,,,989.9,992.1,990.0
6.5,33657,-33.1,-77.1,0,0.16,,,12.0,14.4,12.1
6.0,34223,-29.5,-74.5,0,0.26,,,51.0,55.0,51.1
