# 78954 TBPB Grantley Adams Observations at 12Z 19 Feb 2020
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1010.0,57,25.0,22.1,84,16.89,85.0,15.0,297.3,346.4,300.3
1005.0,94,25.4,21.8,80,16.66,85.0,16.0,298.1,346.7,301.1
1000.0,132,25.0,21.3,80,16.23,85.0,17.0,298.1,345.5,301.0
996.0,167,24.8,20.9,79,15.89,85.0,18.0,298.3,344.7,301.1
981.0,300,23.6,20.2,82,15.49,85.0,20.0,298.3,343.6,301.1
948.0,598,20.8,18.8,89,14.62,85.0,20.0,298.4,341.1,301.0
937.0,700,19.8,18.3,91,14.33,87.0,21.0,298.4,340.3,301.0
925.0,811,18.8,17.2,90,13.53,90.0,22.0,298.5,338.1,300.9
917.0,886,18.4,16.0,86,12.63,86.0,24.0,298.9,335.9,301.1
915.0,905,18.5,16.0,85,12.63,85.0,24.0,299.2,336.2,301.4
910.0,952,18.8,15.9,83,12.64,85.0,24.0,299.9,337.1,302.2
889.0,1152,17.6,13.7,78,11.2,83.0,23.0,300.7,333.9,302.7
850.0,1535,15.0,11.9,82,10.4,80.0,21.0,301.9,332.8,303.7
795.0,2095,11.9,9.5,85,9.44,75.0,16.0,304.4,332.9,306.1
752.0,2560,9.3,7.4,88,8.68,55.0,13.0,306.4,333.0,308.1
715.0,2982,7.0,5.6,91,8.04,30.0,9.0,308.3,333.1,309.8
702.0,3134,6.4,4.1,85,7.37,21.0,7.0,309.3,332.2,310.7
700.0,3157,6.4,3.8,83,7.23,20.0,7.0,309.5,332.0,310.9
696.0,3204,6.2,3.1,81,6.92,17.0,8.0,309.8,331.4,311.1
688.0,3299,6.7,1.3,68,6.14,10.0,10.0,311.4,330.7,312.5
679.0,3408,7.2,-0.8,57,5.34,20.0,9.0,313.1,330.2,314.1
672.0,3493,7.6,-5.4,39,3.82,27.0,8.0,314.5,327.0,315.2
650.0,3766,5.4,-10.6,31,2.64,51.0,6.0,315.0,323.8,315.5
639.0,3906,4.4,-9.6,35,2.9,63.0,5.0,315.4,325.1,316.0
634.0,3970,4.2,-9.8,35,2.88,69.0,4.0,315.9,325.5,316.5
625.0,4086,4.2,-9.8,35,2.92,80.0,3.0,317.2,327.0,317.8
616.0,4202,3.6,-12.1,31,2.46,90.0,2.0,317.8,326.1,318.3
601.0,4399,2.5,-16.1,24,1.83,290.0,3.0,318.8,325.1,319.2
587.0,4588,1.5,-19.8,19,1.36,145.0,1.0,319.8,324.6,320.0
581.0,4670,1.0,-21.5,17,1.19,115.0,2.0,320.2,324.4,320.4
543.0,5211,-1.9,-32.3,8,0.47,170.0,3.0,322.9,324.7,323.0
537.0,5299,-2.4,-34.1,7,0.4,155.0,3.0,323.4,324.9,323.5
500.0,5870,-5.5,-45.5,3,0.13,300.0,11.0,326.3,326.8,326.3
498.0,5901,-5.6,-46.0,2,0.12,295.0,11.0,326.5,327.0,326.5
490.0,6028,-6.1,-48.1,2,0.1,309.0,13.0,327.4,327.8,327.4
473.0,6298,-8.2,-46.5,3,0.12,340.0,18.0,328.2,328.7,328.2
427.0,7081,-14.1,-41.9,8,0.23,305.0,17.0,330.4,331.3,330.4
400.0,7580,-17.9,-38.9,14,0.33,315.0,26.0,331.6,333.0,331.7
393.0,7711,-19.1,-39.1,15,0.33,314.0,28.0,331.8,333.1,331.8
332.0,8936,-26.2,-56.0,4,0.06,305.0,42.0,338.4,338.6,338.4
303.0,9599,-30.1,-65.1,2,0.02,287.0,50.0,341.9,342.0,341.9
300.0,9670,-30.7,-64.7,2,0.02,285.0,51.0,342.0,342.1,342.0
291.0,9882,-32.5,-65.3,2,0.02,285.0,52.0,342.5,342.6,342.5
250.0,10940,-41.3,-68.3,4,0.02,285.0,64.0,344.5,344.6,344.5
207.0,12196,-49.5,-73.5,4,0.01,289.0,67.0,350.8,350.8,350.8
200.0,12420,-50.1,-74.1,4,0.01,290.0,67.0,353.3,353.3,353.3
187.0,12845,-52.8,-76.1,4,0.01,280.0,72.0,355.7,355.8,355.8
173.0,13338,-56.0,-78.4,4,0.0,270.0,84.0,358.6,358.6,358.6
150.0,14240,-61.7,-82.7,5,0.0,280.0,62.0,363.6,363.6,363.6
143.0,14523,-63.8,-84.3,5,0.0,285.0,53.0,364.9,364.9,364.9
125.0,15320,-69.8,-89.0,5,0.0,295.0,51.0,368.3,368.3,368.3
115.0,15814,-73.5,-91.8,5,0.0,300.0,47.0,370.3,370.3,370.3
101.0,16584,-79.3,-96.3,5,0.0,291.0,39.0,373.2,373.2,373.2
100.0,16640,-79.5,-96.5,5,0.0,290.0,38.0,373.9,373.9,373.9
97.4,16789,-80.1,-97.1,5,0.0,285.0,36.0,375.5,375.5,375.5
86.0,17498,-77.7,-93.8,6,0.0,300.0,23.0,393.9,393.9,393.9
85.0,17565,-77.5,-93.5,6,0.0,307.0,22.0,395.7,395.7,395.7
80.0,17912,-78.1,-95.1,5,0.0,344.0,19.0,401.4,401.4,401.4
78.0,18058,-77.6,-94.6,5,0.0,0.0,18.0,405.2,405.2,405.2
71.0,18598,-76.0,-93.0,6,0.0,310.0,7.0,419.9,419.9,419.9
70.0,18680,-75.7,-92.7,6,0.0,295.0,5.0,422.1,422.1,422.1
69.0,18764,-74.9,-91.9,6,0.0,200.0,2.0,425.5,425.5,425.5
62.2,19370,-69.3,-86.3,7,0.0,88.0,18.0,450.8,450.8,450.8
62.0,19390,-69.2,-86.3,7,0.0,85.0,19.0,451.3,451.3,451.3
59.0,19687,-68.3,-85.8,7,0.0,55.0,18.0,459.9,459.9,459.9
50.0,20680,-65.1,-84.1,6,0.01,250.0,2.0,489.7,489.7,489.7
47.0,21060,-63.1,-82.1,6,0.01,245.0,2.0,503.1,503.1,503.1
46.0,21191,-62.5,-81.5,6,0.01,90.0,2.0,507.8,507.9,507.8
44.9,21340,-61.7,-80.7,6,0.01,74.0,6.0,513.2,513.3,513.2
43.0,21607,-62.4,-82.2,5,0.01,45.0,14.0,517.9,518.0,517.9
42.7,21650,-62.5,-82.5,5,0.01,56.0,14.0,518.6,518.7,518.6
40.0,22053,-61.9,-81.9,5,0.01,160.0,11.0,529.9,530.0,529.9
37.1,22517,-63.1,-83.1,5,0.01,83.0,9.0,538.4,538.5,538.4
37.0,22534,-63.0,-83.0,5,0.01,80.0,9.0,539.1,539.2,539.1
30.0,23850,-53.9,-77.9,4,0.03,95.0,37.0,597.1,597.4,597.1
29.0,24068,-53.3,-78.0,3,0.03,70.0,35.0,604.5,604.8,604.5
28.6,24157,-53.1,-78.1,3,0.03,64.0,35.0,607.5,607.8,607.5
28.0,24293,-53.6,-78.8,3,0.03,55.0,34.0,609.9,610.1,609.9
25.5,24891,-55.7,-81.7,3,0.02,92.0,37.0,620.4,620.5,620.4
25.0,25018,-55.4,-81.4,3,0.02,100.0,38.0,624.7,624.9,624.8
20.2,26386,-52.1,-78.1,3,0.04,86.0,43.0,674.0,674.5,674.0
20.0,26450,-52.3,-78.3,3,0.04,85.0,43.0,675.3,675.8,675.4
19.2,26714,-52.5,-78.5,3,0.04,85.0,42.0,682.6,683.1,682.6
15.8,27987,-47.5,-75.5,3,0.09,82.0,40.0,738.1,739.0,738.1
13.9,28837,-45.7,-73.7,3,0.13,81.0,38.0,771.7,773.1,771.8
13.0,29282,-46.1,-73.1,3,0.15,80.0,37.0,785.2,786.9,785.3
12.7,29437,-45.7,-73.7,3,0.14,,,791.9,793.5,791.9
