# 78954 TBPB Grantley Adams Observations at 12Z 23 Feb 2020
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1009.0,57.0,26.0,22.6,82.0,17.45,90,10,298.4,349.3,301.5
1005.0,88.0,25.6,21.8,80.0,16.66,92,11,298.3,346.9,301.3
1000.0,127.0,25.2,21.5,80.0,16.44,95,12,298.4,346.3,301.3
981.0,295.0,23.6,20.8,84.0,16.05,100,15,298.4,345.3,301.3
954.0,539.0,21.4,19.8,91.0,15.49,104,15,298.5,343.8,301.3
947.0,603.0,21.0,19.4,90.0,15.18,105,15,298.8,343.2,301.5
925.0,807.0,19.8,18.0,89.0,14.24,95,13,299.6,341.4,302.1
915.0,901.0,18.6,16.8,89.0,13.35,95,11,299.3,338.4,301.7
908.0,967.0,17.8,16.0,89.0,12.75,100,10,299.1,336.5,301.4
887.0,1168.0,18.0,15.9,88.0,12.97,116,9,301.3,339.7,303.6
850.0,1533.0,16.4,13.2,81.0,11.34,145,6,303.3,337.2,305.4
795.0,2094.0,13.5,4.2,53.0,6.53,170,10,306.1,326.2,307.3
750.0,2583.0,11.0,-3.7,36.0,3.9,180,10,308.5,320.9,309.2
700.0,3162.0,8.0,-13.0,21.0,2.02,250,5,311.3,318.1,311.7
697.0,3197.0,7.6,-14.4,19.0,1.81,245,6,311.2,317.3,311.6
694.0,3233.0,7.3,-13.0,22.0,2.04,240,6,311.3,318.1,311.7
675.0,3461.0,5.2,-3.8,52.0,4.3,208,6,311.4,325.2,312.2
670.0,3522.0,5.0,-5.0,48.0,3.95,200,6,311.9,324.6,312.6
663.0,3608.0,5.3,-11.4,29.0,2.43,240,3,313.1,321.2,313.6
636.0,3948.0,6.4,-36.6,3.0,0.26,228,5,318.1,319.1,318.2
625.0,4091.0,5.8,-43.2,1.0,0.14,224,5,319.0,319.6,319.1
617.0,4194.0,5.2,-43.5,1.0,0.13,220,6,319.5,320.0,319.5
529.0,5428.0,-2.6,-46.4,2.0,0.11,270,13,324.5,324.9,324.5
518.0,5596.0,-3.7,-46.8,2.0,0.11,260,13,325.1,325.6,325.2
500.0,5880.0,-5.5,-47.5,2.0,0.11,255,8,326.3,326.7,326.3
482.0,6160.0,-7.4,-47.4,2.0,0.11,270,9,327.3,327.8,327.3
423.0,7157.0,-14.3,-47.2,4.0,0.13,285,21,330.9,331.5,331.0
409.0,7414.0,-16.1,-47.1,5.0,0.13,276,26,331.9,332.4,331.9
400.0,7580.0,-16.9,-51.9,3.0,0.08,270,29,332.9,333.3,332.9
392.0,7732.0,-17.7,-49.7,4.0,0.1,266,32,333.8,334.3,333.8
389.0,7790.0,-17.4,-53.4,3.0,0.07,265,33,334.9,335.2,335.0
386.0,7848.0,-17.1,-57.1,2.0,0.04,267,33,336.1,336.3,336.1
373.0,8105.0,-18.3,-58.3,2.0,0.04,278,34,337.8,338.0,337.8
365.0,8264.0,-19.4,-57.3,2.0,0.05,285,35,338.4,338.6,338.4
334.0,8918.0,-23.9,-53.0,5.0,0.08,285,52,341.0,341.4,341.0
317.0,9303.0,-26.5,-50.5,9.0,0.12,283,54,342.5,343.0,342.5
300.0,9700.0,-28.9,-55.9,6.0,0.07,280,57,344.5,344.8,344.5
