# 10410 EDZE Essen Observations at 12Z 27 Feb 2020
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1000.0,-8,,,,,,,,,
981.0,147,3.6,1.6,87.0,4.4,180.0,6.0,278.3,290.5,279.0
968.0,254,2.6,0.8,88.0,4.2,170.0,17.0,278.3,290.0,279.0
925.0,620,-0.9,-2.0,92.0,3.59,190.0,25.0,278.4,288.5,279.0
900.0,838,-2.7,-3.2,96.0,3.37,197.0,26.0,278.7,288.3,279.3
875.0,1061,-4.2,-5.8,88.0,2.84,205.0,27.0,279.4,287.6,279.9
850.0,1290,-5.7,-8.5,81.0,2.38,195.0,21.0,280.2,287.1,280.6
843.0,1355,-6.1,-9.7,76.0,2.18,192.0,21.0,280.4,286.8,280.8
809.0,1676,-9.0,-11.4,82.0,1.98,180.0,19.0,280.6,286.4,281.0
808.0,1686,-9.1,-11.5,83.0,1.97,181.0,19.0,280.6,286.4,281.0
749.0,2267,-12.3,-14.0,87.0,1.74,215.0,19.0,283.3,288.5,283.6
725.0,2516,-13.7,-15.0,89.0,1.65,205.0,17.0,284.5,289.4,284.7
704.0,2742,-14.9,-16.0,91.0,1.57,218.0,16.0,285.5,290.3,285.8
700.0,2785,-15.1,-16.4,90.0,1.52,220.0,16.0,285.7,290.4,286.0
653.0,3301,-18.0,-19.2,90.0,1.28,235.0,12.0,288.2,292.2,288.4
618.0,3710,-20.3,-21.5,90.0,1.12,255.0,14.0,290.2,293.7,290.4
601.0,3917,-21.4,-22.6,90.0,1.04,245.0,17.0,291.1,294.5,291.3
566.0,4362,-23.9,-25.1,90.0,0.89,254.0,28.0,293.3,296.1,293.4
528.0,4867,-25.5,-27.2,86.0,0.78,265.0,41.0,297.2,299.8,297.4
500.0,5260,-28.3,-30.0,85.0,0.64,260.0,45.0,298.5,300.6,298.6
440.0,6165,-33.8,-35.6,84.0,0.42,265.0,64.0,302.6,304.1,302.7
427.0,6378,-35.1,-36.9,84.0,0.38,267.0,65.0,303.6,304.9,303.6
409.0,6677,-37.7,-40.6,74.0,0.27,269.0,66.0,304.0,305.0,304.0
400.0,6830,-38.9,-41.0,80.0,0.27,270.0,66.0,304.4,305.3,304.4
391.0,6986,-39.5,-40.8,87.0,0.28,269.0,68.0,305.6,306.6,305.6
351.0,7711,-45.9,-49.8,64.0,0.11,265.0,78.0,306.5,306.9,306.5
336.0,8004,-48.5,-53.5,56.0,0.08,266.0,77.0,306.8,307.1,306.8
300.0,8740,-54.7,-57.7,69.0,0.05,270.0,74.0,308.1,308.4,308.1
299.0,8761,-54.9,-57.9,69.0,0.05,270.0,74.0,308.1,308.4,308.2
276.0,9267,-57.9,-62.6,55.0,0.03,275.0,72.0,310.9,311.1,310.9
268.0,9453,-57.1,-67.1,27.0,0.02,278.0,72.0,314.7,314.8,314.7
250.0,9890,-57.9,-69.9,20.0,0.01,285.0,72.0,319.9,319.9,319.9
236.0,10257,-57.2,-73.0,12.0,0.01,290.0,72.0,326.3,326.3,326.3
200.0,11310,-55.1,-82.1,2.0,0.0,290.0,70.0,345.4,345.4,345.4
182.0,11919,-53.6,-82.6,2.0,0.0,295.0,74.0,357.3,357.3,357.3
158.0,12832,-51.3,-83.3,1.0,0.0,291.0,62.0,375.9,375.9,375.9
150.0,13170,-51.9,-82.9,1.0,0.0,290.0,58.0,380.4,380.5,380.4
129.0,14133,-53.8,-84.4,1.0,0.0,290.0,54.0,393.9,393.9,393.9
100.0,15760,-56.9,-86.9,1.0,0.0,295.0,64.0,417.5,417.5,417.5
70.0,18000,-60.1,-88.1,1.0,0.0,285.0,70.0,455.5,455.5,455.5
50.0,20100,-59.7,-88.7,1.0,0.0,290.0,80.0,502.4,502.4,502.4
38.0,21798,-62.5,-89.9,1.0,0.0,285.0,82.0,536.2,536.3,536.2
31.0,23057,-64.6,-90.8,2.0,0.0,285.0,74.0,562.8,562.8,562.8
30.0,23260,-64.9,-90.9,2.0,0.0,285.0,76.0,567.1,567.2,567.1
26.9,23927,-64.1,-91.1,1.0,0.0,284.0,80.0,587.3,587.4,587.4
20.4,25601,-68.7,-91.7,2.0,0.0,280.0,92.0,621.7,621.7,621.7
20.0,25720,-68.7,-92.7,2.0,0.0,280.0,93.0,625.2,625.2,625.2
16.0,27061,-68.5,-92.5,2.0,0.0,285.0,84.0,667.1,667.1,667.1
10.9,29368,-68.1,-92.1,2.0,0.01,281.0,98.0,745.8,745.8,745.8
10.0,29890,-65.3,-91.3,2.0,0.01,280.0,101.0,774.8,774.9,774.8
9.3,30329,-67.3,-92.3,2.0,0.01,279.0,106.0,783.4,783.5,783.4
7.1,31965,-64.9,-90.9,2.0,0.01,275.0,122.0,856.1,856.3,856.1
7.0,32053,-64.2,-90.7,2.0,0.02,275.0,122.0,862.2,862.4,862.2
6.2,32804,-58.7,-88.7,1.0,0.02,267.0,116.0,916.4,916.7,916.4
6.0,33011,-58.4,-88.4,1.0,0.03,265.0,115.0,926.4,926.8,926.5
5.0,34161,-56.5,-86.5,1.0,0.05,,,984.5,985.1,984.5
