# 48698 WSSS Singapore Observations at 12Z 18 Aug 2020
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1006.0,16,28.2,24.1,78,19.21,280.0,5.0,300.8,357.6,304.3
1000.0,72,27.6,22.6,74,17.61,175.0,4.0,300.8,352.7,303.9
958.0,451,24.0,21.5,86,17.16,190.0,10.0,300.8,351.4,303.9
951.0,516,23.4,21.3,88,17.09,178.0,11.0,300.8,351.2,303.9
944.0,580,23.4,19.4,79,15.27,165.0,13.0,301.4,346.6,304.2
925.0,758,23.2,14.2,57,11.12,165.0,10.0,303.0,336.3,305.1
924.0,767,23.2,14.2,57,11.13,165.0,10.0,303.1,336.4,305.1
908.0,920,22.0,15.7,67,12.47,170.0,10.0,303.4,340.7,305.7
900.0,997,21.4,16.4,73,13.21,177.0,12.0,303.6,343.0,306.0
895.0,1045,21.8,14.8,64,11.96,181.0,13.0,304.4,340.4,306.6
874.0,1251,20.9,14.3,66,11.89,200.0,19.0,305.6,341.5,307.8
850.0,1493,19.8,13.8,68,11.8,205.0,19.0,306.9,342.7,309.1
836.0,1635,19.0,13.2,69,11.55,210.0,22.0,307.5,342.6,309.6
822.0,1779,18.2,12.6,70,11.29,220.0,16.0,308.1,342.6,310.2
758.0,2472,14.3,9.8,74,10.11,215.0,15.0,311.1,342.5,313.0
750.0,2563,13.8,9.4,75,9.97,209.0,16.0,311.5,342.5,313.4
733.0,2756,12.8,6.2,64,8.16,195.0,17.0,312.5,338.1,314.0
730.0,2791,12.6,5.6,62,7.87,197.0,16.0,312.6,337.4,314.1
704.0,3094,10.5,5.8,72,8.27,210.0,12.0,313.6,339.6,315.2
700.0,3142,10.2,5.8,74,8.33,205.0,10.0,313.8,340.0,315.3
593.0,4497,1.3,0.1,91,6.52,100.0,1.0,318.6,339.8,319.9
567.0,4864,-1.1,-1.5,97,6.08,87.0,2.0,319.9,339.8,321.1
500.0,5860,-6.1,-7.7,88,4.31,50.0,6.0,325.5,340.1,326.4
484.0,6112,-7.5,-9.4,86,3.9,35.0,11.0,326.8,340.2,327.6
462.0,6472,-9.6,-11.8,84,3.37,100.0,11.0,328.7,340.4,329.3
448.0,6710,-10.9,-13.4,82,3.05,81.0,14.0,329.9,340.6,330.5
447.0,6727,-10.8,-17.5,58,2.18,80.0,14.0,330.2,337.9,330.6
445.0,6761,-10.7,-25.7,28,1.07,84.0,14.0,330.8,334.7,331.0
437.0,6900,-11.7,-14.0,83,2.98,98.0,15.0,331.2,341.7,331.8
436.0,6918,-11.8,-14.1,83,2.96,100.0,15.0,331.3,341.7,331.9
409.0,7402,-15.4,-16.8,89,2.53,85.0,11.0,332.8,341.8,333.3
401.0,7551,-16.5,-17.6,91,2.41,85.0,10.0,333.2,341.9,333.7
400.0,7570,-16.7,-17.9,90,2.35,85.0,10.0,333.2,341.6,333.7
382.0,7915,-17.9,-22.9,65,1.6,106.0,14.0,336.0,341.9,336.4
365.0,8254,-20.7,-22.1,89,1.79,126.0,17.0,336.7,343.3,337.1
362.0,8315,-20.9,-23.2,82,1.64,130.0,18.0,337.2,343.3,337.5
343.0,8712,-22.5,-30.5,48,0.89,109.0,16.0,340.3,343.7,340.5
342.0,8734,-22.5,-29.5,53,0.98,108.0,16.0,340.6,344.4,340.8
339.0,8798,-23.1,-29.3,57,1.01,105.0,16.0,340.7,344.6,340.9
328.0,9039,-25.1,-28.4,74,1.13,105.0,18.0,341.1,345.4,341.3
327.0,9061,-25.1,-32.1,52,0.8,105.0,19.0,341.4,344.5,341.6
308.0,9492,-29.1,-34.0,63,0.7,105.0,23.0,341.7,344.5,341.8
300.0,9680,-30.3,-36.3,56,0.57,105.0,25.0,342.6,344.9,342.7
296.0,9775,-31.1,-36.2,61,0.59,105.0,25.0,342.7,345.0,342.8
284.0,10068,-33.7,-36.1,79,0.62,87.0,21.0,343.1,345.6,343.2
270.0,10419,-36.4,-41.9,57,0.36,65.0,17.0,344.1,345.6,344.2
