# 78954 TBPB Grantley Adams Observations at 12Z 24 Aug 2020
p [hPa],z [m],T [C],T_dew [C],RH [%],r [g/kg],wdir [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1007.0,57.0,27.8,24.2,81.0,19.31,80,11,300.4,357.3,303.8
1002.0,94.0,27.2,22.3,75.0,17.25,80,11,300.2,350.9,303.3
1000.0,109.0,27.0,22.1,75.0,17.07,80,11,300.1,350.4,303.2
995.0,154.0,26.4,21.6,75.0,16.62,80,11,300.0,348.9,303.0
979.0,296.0,25.4,20.8,76.0,16.12,80,13,300.3,347.8,303.2
946.0,598.0,23.2,19.2,78.0,15.08,85,14,301.1,345.6,303.8
925.0,795.0,21.8,18.2,80.0,14.43,80,15,301.6,344.3,304.2
914.0,898.0,21.1,17.7,81.0,14.15,80,14,301.9,343.8,304.4
860.0,1424.0,17.4,15.2,87.0,12.79,88,11,303.3,341.5,305.7
850.0,1524.0,17.0,14.5,85.0,12.36,90,10,303.9,341.0,306.2
845.0,1574.0,17.0,14.3,84.0,12.27,91,10,304.4,341.3,306.7
838.0,1646.0,17.2,13.9,81.0,12.05,92,10,305.4,341.7,307.6
795.0,2090.0,15.1,9.5,69.0,9.48,100,9,307.8,336.8,309.5
710.0,3043.0,10.6,0.2,49.0,5.49,125,11,312.9,330.4,313.9
700.0,3163.0,10.0,-1.0,46.0,5.11,115,11,313.5,329.9,314.5
671.0,3514.0,8.2,-12.8,21.0,2.14,115,14,315.3,322.6,315.7
640.0,3902.0,5.4,-5.6,45.0,3.96,115,17,316.4,329.4,317.2
617.0,4200.0,3.7,-10.0,36.0,2.91,115,20,317.8,327.5,318.3
598.0,4454.0,2.2,-13.8,30.0,2.21,108,19,318.9,326.5,319.4
589.0,4576.0,1.0,-9.0,47.0,3.3,104,18,318.9,330.0,319.6
565.0,4910.0,-0.1,-17.1,27.0,1.78,94,16,321.4,327.7,321.8
553.0,5082.0,-1.1,-9.1,55.0,3.49,89,15,322.2,334.0,322.9
545.0,5198.0,-1.5,-15.5,34.0,2.11,85,14,323.1,330.4,323.5
544.0,5213.0,-1.6,-14.8,36.0,2.24,85,14,323.1,330.9,323.5
538.0,5301.0,-2.5,-10.5,54.0,3.21,90,14,323.1,334.0,323.7
506.0,5786.0,-4.7,-23.6,21.0,1.14,120,11,326.2,330.3,326.4
500.0,5880.0,-5.1,-26.1,17.0,0.91,125,12,326.8,330.1,326.9
465.0,6441.0,-8.6,-33.2,12.0,0.51,155,10,329.3,331.2,329.4
444.0,6797.0,-10.8,-37.7,9.0,0.34,130,9,330.8,332.2,330.9
434.0,6973.0,-11.9,-39.9,8.0,0.28,131,9,331.6,332.7,331.7
404.0,7515.0,-15.9,-31.9,24.0,0.66,135,10,333.3,335.8,333.4
400.0,7590.0,-16.1,-36.1,16.0,0.44,135,10,334.0,335.7,334.1
395.0,7685.0,-16.7,-41.7,10.0,0.25,144,10,334.4,335.4,334.4
353.0,8519.0,-23.7,-27.3,72.0,1.16,220,8,335.9,340.3,336.1
