#01004 ENAS Ny-Alesund Ii Observations at 12Z 01 Aug 2020
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1017.0      8    7.4    6.5     94   6.00    335      6  279.2  295.7  280.2
 1012.0     50    6.0    6.0    100   5.82    306      5  278.2  294.2  279.2
 1000.0    153    6.6    6.4     99   6.06    235      2  279.8  296.5  280.8
  996.0    186    6.8    6.3     97   6.04    262      1  280.3  297.0  281.3
  994.0    203    8.0    6.2     89   6.03    275      0  281.6  298.4  282.7
  993.0    211    8.6    6.2     85   6.02    273      0  282.3  299.1  283.3
  968.0    422    9.4    5.0     74   5.68    222      4  285.2  301.3  286.2
  934.0    719    8.6    4.8     77   5.79    150     10  287.3  303.9  288.3
  925.0    799    8.4    4.7     78   5.82    150     12  287.9  304.6  288.9
  917.0    871    7.8    4.4     79   5.75    156     12  288.0  304.5  289.0
  894.0   1080    8.4   -1.6     49   3.82    173     12  290.7  302.1  291.4
  885.0   1164    8.0    0.7     60   4.55    180     12  291.1  304.5  291.9
  870.0   1305    7.2    4.5     83   6.08    195     14  291.7  309.4  292.8
  862.0   1381    6.8    6.5     98   7.09    210     12  292.1  312.6  293.3
  859.0   1409    6.8    6.4     97   7.06    215     12  292.4  312.9  293.6
  850.0   1496    6.8    6.1     95   6.99    215     10  293.3  313.6  294.5
  824.0   1751    5.8    4.1     89   6.27    200     10  294.8  313.3  295.9
  816.0   1830    5.4    2.7     83   5.74    195     10  295.2  312.2  296.2
  708.0   2979   -0.3  -17.3     26   1.40    227      4  301.1  305.7  301.4
  700.0   3070   -1.1  -18.1     26   1.32    230      4  301.2  305.6  301.5
  642.0   3754   -4.9  -24.9     19   0.79    269      3  304.5  307.2  304.6
  634.0   3852   -5.3  -21.3     27   1.11    275      2  305.1  308.8  305.3
  629.0   3914   -5.9  -12.9     58   2.26    278      2  305.1  312.4  305.5
  620.0   4027   -6.6  -18.1     40   1.50    285      2  305.6  310.5  305.8
  611.0   4141   -7.3  -23.3     27   0.96    273      3  306.0  309.3  306.2
  581.0   4531  -10.1  -28.1     21   0.66    233      7  307.2  309.5  307.3
  565.0   4745  -11.3  -30.0     20   0.56    210     10  308.3  310.3  308.4
  559.0   4827  -11.7  -30.7     19   0.53    213      9  308.7  310.6  308.8
  542.0   5063  -13.5  -27.5     30   0.74    222      8  309.3  311.9  309.4
  538.0   5119  -14.1  -22.1     51   1.22    224      8  309.2  313.4  309.5
  525.0   5304  -15.5  -32.5     22   0.48    231      7  309.7  311.4  309.8
  521.0   5361  -16.1  -25.1     46   0.96    233      7  309.7  313.0  309.9
  500.0   5670  -17.5  -31.5     28   0.55    245      6  311.6  313.6  311.8
  444.0   6547  -23.1  -48.1      8   0.11    291      9  315.3  315.8  315.4
  440.0   6613  -23.6  -48.1      9   0.11    295     10  315.5  315.9  315.5
  407.0   7175  -28.3  -48.3     13   0.12    290     10  316.6  317.1  316.6
  400.0   7300  -29.3  -48.3     14   0.12    295     12  316.8  317.3  316.9
  377.0   7720  -32.5  -49.2     17   0.12    290     12  318.0  318.5  318.0
  370.0   7853  -33.5  -49.5     18   0.11    303     14  318.4  318.8  318.4
  362.0   8007  -34.5  -46.5     29   0.16    317     16  319.0  319.7  319.1
