#01004 ENAS Ny-Alesund Ii Observations at 12Z 02 Feb 2020
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
  976.0      8   -7.7   -8.9     91   2.01    140      4  267.3  272.9  267.6
  925.0    433   -9.1  -10.1     92   1.93    165      2  270.0  275.4  270.3
  906.0    593   -9.7  -10.2     96   1.95    166      3  271.0  276.5  271.3
  850.0   1082  -12.7  -13.7     92   1.57    170      8  272.8  277.4  273.1
  785.0   1685  -14.9  -15.9     92   1.42    145     12  276.8  280.9  277.0
  762.0   1911  -15.7  -16.7     92   1.37    167     10  278.2  282.3  278.5
  759.0   1940  -15.9  -16.9     92   1.35    170     10  278.3  282.3  278.6
  700.0   2545  -20.3  -21.6     89   0.98    185     14  280.0  283.0  280.1
  627.0   3345  -26.7  -28.8     82   0.57    195     14  281.6  283.5  281.7
  616.0   3474  -27.7  -29.9     81   0.52    185     16  281.9  283.6  282.0
  601.0   3653  -29.1  -31.5     80   0.46    190     16  282.2  283.7  282.3
  593.0   3750  -29.9  -32.4     79   0.43    188     16  282.4  283.8  282.5
  535.0   4474  -36.1  -36.9     92   0.30    170     19  283.4  284.4  283.5
  520.0   4671  -37.9  -40.4     77   0.22    165     19  283.6  284.4  283.7
  513.0   4764  -38.7  -42.1     70   0.18    170     21  283.7  284.3  283.7
  510.0   4804  -38.9  -54.9     17   0.04    172     22  283.9  284.1  283.9
  500.0   4940  -39.9  -56.9     15   0.03    180     25  284.3  284.5  284.3
  480.0   5211  -41.9  -58.4     15   0.03    190     31  285.2  285.3  285.2
  409.0   6272  -49.8  -64.1     17   0.02    195     37  288.4  288.4  288.4
  400.0   6420  -50.9  -64.9     17   0.02    195     35  288.8  288.8  288.8
  364.0   7030  -55.3  -66.3     24   0.01    192     30  290.8  290.8  290.8
  346.0   7352  -57.2  -66.7     29   0.01    190     27  292.4  292.5  292.4
  317.0   7906  -60.5  -67.5     39   0.01    196     33  295.3  295.3  295.3
  300.0   8250  -61.3  -68.3     39   0.01    200     37  298.8  298.9  298.8
  292.0   8417  -62.3  -74.3     19   0.01    198     38  299.7  299.8  299.7
  281.0   8654  -63.4  -69.9     41   0.01    195     39  301.4  301.5  301.4
  280.0   8676  -63.5  -69.5     44   0.01    195     39  301.6  301.7  301.6
  257.0   9201  -64.9  -72.9     32   0.01    205     39  307.0  307.1  307.0
  255.0   9249  -64.8  -73.3     30   0.01    205     39  307.9  307.9  307.9
  250.0   9370  -64.5  -74.5     24   0.01    210     37  310.1  310.1  310.1
  231.0   9851  -63.2  -79.0     10   0.00    205     35  319.1  319.1  319.1
  224.0  10039  -62.7  -80.7      7   0.00    222     33  322.7  322.7  322.7
  223.0  10066  -62.7  -80.8      7   0.00    225     33  323.1  323.1  323.1
  200.0  10730  -63.7  -82.7      6   0.00    215     23  331.7  331.7  331.7
  197.0  10822  -63.9  -82.9      6   0.00    215     21  332.8  332.8  332.8
  192.0  10978  -64.3  -83.1      6   0.00    235     25  334.7  334.7  334.7
  183.0  11270  -64.9  -83.6      6   0.00    245     25  338.2  338.3  338.2
  169.0  11755  -66.0  -84.5      6   0.00    220     25  344.2  344.2  344.2
  157.0  12203  -67.1  -85.2      6   0.00    240     29  349.8  349.8  349.8
  150.0  12480  -67.7  -85.7      6   0.00    270     27  353.3  353.3  353.3
  143.0  12765  -68.2  -85.8      7   0.00    245     29  357.2  357.2  357.2
  123.0  13664  -69.8  -85.9      8   0.00    270     33  370.0  370.0  370.0
  117.0  13963  -70.4  -86.0      9   0.00    255     27  374.3  374.3  374.3
  112.0  14224  -70.9  -86.0      9   0.00    275     27  378.1  378.1  378.1
  106.0  14552  -71.5  -86.0     10   0.00    265     27  383.0  383.0  383.0
  100.0  14900  -72.1  -86.1     11   0.00    285     27  388.2  388.2  388.2
   84.0  15917  -73.9  -87.4     11   0.00    270     43  404.4  404.4  404.4
   72.0  16816  -75.4  -88.5     12   0.00    290     52  419.3  419.4  419.3
   70.0  16980  -75.7  -88.7     12   0.00    285     51  422.1  422.1  422.1
   57.7  18087  -79.1  -90.1     15   0.00    290     54  438.4  438.4  438.4
   50.0  18900  -79.7  -89.7     18   0.00    300     49  455.3  455.3  455.3
   43.0  19747  -80.6  -90.3     19   0.00    305     45  473.0  473.0  473.0
   35.0  20904  -81.9  -91.2     20   0.00    300     58  498.3  498.3  498.3
   30.0  21770  -82.9  -91.9     20   0.00    300     56  518.1  518.1  518.1
   27.2  22313  -83.9  -92.9     20   0.00    300     58  530.0  530.0  530.0
   22.0  23491  -82.7  -93.0     16   0.00    300     60  566.9  566.9  566.9
   20.0  24020  -82.1  -93.1     14   0.00    305     68  584.2  584.2  584.2
   17.0  24940  -80.8  -93.8     10   0.00    310     78  616.3  616.3  616.3
   16.6  25075  -80.5  -93.9      9   0.00    310     78  621.1  621.2  621.1
   14.0  26039  -79.1  -94.7      7   0.00    300     54  656.9  657.0  656.9
   11.5  27152  -77.5  -95.5      4   0.00    309     62  700.8  700.8  700.8
   10.0  27960  -73.9  -95.9      2   0.00    315     68  742.7  742.8  742.7
    9.0  28585  -71.1  -96.5      1   0.00    315     64  776.2  776.2  776.2
    8.0  29283  -68.0  -97.2      1   0.00    335     56  815.2  815.2  815.2
    7.8  29433  -67.3  -97.3      1   0.00    328     53  823.8  823.8  823.8
    7.0  30083  -68.4  -96.6      1   0.00    300     39  845.3  845.3  845.3
    6.9  30170  -68.5  -96.5      1   0.01    301     42  848.2  848.2  848.2
    6.3  30724  -61.7  -94.7      1   0.01    310     60  899.4  899.5  899.4
