#10410 EDZE Essen Observations at 00Z 01 Aug 2020
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
  996.0    147   22.0   14.0     60  10.18    100      6  295.5  325.1  297.3
  994.0    165   24.8   12.8     47   9.42    110      7  298.5  326.3  300.2
  988.0    218   26.2   11.2     39   8.52    140     12  300.4  325.8  301.9
  982.0    272   27.6    9.6     32   7.69    146     16  302.3  325.6  303.7
  967.0    409   29.4    8.4     27   7.20    161     26  305.5  327.6  306.8
  963.0    446   29.1    8.3     27   7.17    165     29  305.5  327.5  306.9
  925.0    804   26.2    7.2     30   6.93    180     23  306.1  327.4  307.4
  850.0   1542   20.8    4.8     35   6.38    240     14  307.9  327.8  309.1
  847.0   1572   20.5    4.7     35   6.35    240     14  307.9  327.7  309.1
  813.0   1921   17.4    3.3     39   5.98    240     16  308.3  327.0  309.4
  761.0   2483   12.4    1.0     46   5.42    280     10  308.7  325.8  309.7
  753.0   2573   11.6    0.6     47   5.34    268      8  308.8  325.6  309.8
  745.0   2662   11.4   -5.8     29   3.35    255      6  309.5  320.4  310.2
  744.0   2673   11.4   -6.6     28   3.15    255      6  309.6  319.9  310.2
  738.0   2741   11.0    0.0     47   5.21    257      6  309.9  326.4  310.9
  700.0   3180    8.4   -4.6     39   3.90    265     10  311.8  324.4  312.5
  601.0   4417    0.5  -24.4     14   0.89    240     14  316.5  319.7  316.7
  600.0   4431    0.4  -24.6     13   0.87    240     14  316.5  319.7  316.7
  544.0   5199   -5.0  -29.5     13   0.61    250     17  319.1  321.3  319.2
  521.0   5537   -7.4  -31.6     12   0.52    245     12  320.1  322.1  320.2
  500.0   5860   -9.7  -33.7     12   0.45    255     12  321.1  322.8  321.2
  487.0   6060  -11.3  -33.6     14   0.46    265     14  321.7  323.4  321.8
  472.0   6298  -13.1  -33.5     16   0.48    245     10  322.2  324.1  322.3
  441.0   6814  -17.1  -33.2     24   0.53    240      4  323.5  325.5  323.6
  434.0   6935  -18.1  -33.1     26   0.55    242      6  323.7  325.8  323.9
  410.0   7358  -21.3  -36.3     25   0.42    251     13  324.9  326.5  325.0
  400.0   7540  -21.7  -45.7     10   0.16    255     16  326.7  327.4  326.7
  395.0   7633  -21.3  -50.3      5   0.10    255     17  328.4  328.8  328.4
  390.0   7726  -22.1  -46.6      9   0.15    255     17  328.6  329.2  328.6
  386.0   7802  -22.7  -43.7     13   0.21    259     17  328.7  329.6  328.8
  380.0   7916  -23.7  -37.4     27   0.41    265     17  328.9  330.4  328.9
  372.0   8071  -25.1  -28.8     71   0.96    257     17  329.0  332.6  329.2
  369.0   8130  -25.3  -40.3     23   0.31    254     16  329.5  330.8  329.6
  364.0   8229  -25.7  -49.7      9   0.11    248     16  330.3  330.8  330.3
  362.0   8269  -26.1  -37.1     35   0.44    246     16  330.3  332.0  330.4
  361.0   8289  -26.2  -40.7     24   0.30    245     16  330.4  331.6  330.5
  360.0   8309  -26.3  -44.3     17   0.21    245     16  330.5  331.4  330.6
  355.0   8410  -27.1  -33.1     57   0.67    247     16  330.8  333.3  330.9
  341.0   8699  -28.9  -35.9     51   0.53    253     17  332.1  334.2  332.3
  323.0   9081  -32.1  -41.2     40   0.32    260     17  332.9  334.2  333.0
  308.0   9417  -34.9  -45.9     32   0.20    260     15  333.6  334.4  333.6
  300.0   9600  -36.5  -44.5     43   0.24    260     14  333.8  334.8  333.9
  287.0   9902  -39.2  -46.1     48   0.21    250     17  334.1  335.0  334.2
  260.0  10576  -45.3  -49.7     61   0.16    260     19  334.8  335.4  334.8
  256.0  10682  -46.3  -50.3     64   0.15    252     19  334.8  335.4  334.9
  251.0  10813  -47.1  -55.1     39   0.09    242     19  335.5  335.9  335.5
  250.0  10840  -47.1  -55.1     39   0.09    240     19  335.9  336.3  335.9
  241.0  11081  -48.9  -59.9     27   0.05    230     22  336.7  337.0  336.8
  233.0  11301  -49.3  -64.7     15   0.03    220     25  339.4  339.5  339.4
  230.0  11386  -49.5  -66.5     12   0.02    225     25  340.4  340.5  340.4
  207.0  12067  -52.1  -70.6      9   0.01    270     23  346.7  346.8  346.7
  200.0  12290  -52.9  -71.9      8   0.01    270     23  348.8  348.9  348.8
  185.0  12784  -55.0  -73.4      8   0.01    265     25  353.2  353.3  353.2
  157.0  13824  -59.5  -76.6      9   0.01    280     31  362.6  362.6  362.6
  156.0  13865  -59.7  -76.7      9   0.01    280     29  362.9  363.0  362.9
  150.0  14110  -59.1  -78.1      7   0.01    295     21  368.1  368.1  368.1
  146.0  14280  -58.6  -78.8      6   0.01    305     19  371.7  371.7  371.7
  143.0  14411  -58.3  -79.3      5   0.01    300     17  374.5  374.6  374.5
  136.0  14728  -57.5  -80.6      4   0.00    270     29  381.4  381.4  381.4
  131.0  14964  -56.8  -81.5      3   0.00    285     33  386.6  386.7  386.6
