#48698 WSSS Singapore Observations at 12Z 01 Aug 2020
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1005.0     16   30.0   23.0     66  17.96    265      6  302.7  356.2  306.0
 1000.0     71   29.2   22.2     66  17.17    185      7  302.4  353.4  305.4
  968.0    358   26.3   21.6     76  17.12    185     10  302.2  353.0  305.3
  925.0    760   22.2   20.8     92  17.03    155     11  302.0  352.5  305.1
  924.0    769   22.1   20.8     92  17.00    155     11  302.0  352.4  305.1
  915.0    855   21.4   20.3     93  16.69    162     11  302.1  351.6  305.1
  906.0    941   21.6   17.0     75  13.64    170     11  303.2  343.9  305.7
  889.0   1105   20.2   18.5     90  15.32    184     11  303.4  349.1  306.2
  867.0   1322   19.2   16.0     82  13.37    203     10  304.5  344.6  307.0
  857.0   1422   19.4   13.4     68  11.40    211     10  305.7  340.2  307.8
  853.0   1463   19.2   14.1     72  11.98    215     10  305.9  342.1  308.1
  850.0   1493   19.0   14.6     76  12.44    220     10  306.0  343.6  308.3
  831.0   1686   17.6   14.1     80  12.35    250     10  306.6  344.0  308.9
  803.0   1978   15.6   13.4     87  12.20    240     14  307.4  344.5  309.6
  775.0   2281   13.4   12.7     96  12.05    262     13  308.2  344.9  310.4
  771.0   2325   13.3   12.3     94  11.80    265     13  308.6  344.6  310.8
  756.0   2491   13.0   10.8     86  10.87    260     14  310.0  343.4  312.0
  748.0   2581   13.3    9.2     76   9.86    275     16  311.2  341.8  313.0
  744.0   2626   13.4    8.4     72   9.38    279     15  311.8  341.0  313.6
  708.0   3043   11.8    5.8     67   8.23    314     10  314.5  340.5  316.1
  707.0   3055   11.7    5.8     67   8.26    315     10  314.5  340.6  316.1
  700.0   3138   11.0    6.0     71   8.45    310      8  314.6  341.3  316.2
  669.0   3512    8.8    4.6     75   8.02    270     10  316.2  341.8  317.8
  647.0   3788    7.1    3.6     78   7.72    275     13  317.4  342.1  318.9
  612.0   4248    4.4    1.9     84   7.23    241     10  319.4  342.7  320.7
  611.0   4261    4.3    1.8     84   7.18    240     10  319.4  342.7  320.8
  567.0   4867    1.0   -3.1     74   5.39    235     10  322.4  340.3  323.4
  562.0   4938    0.6   -3.7     73   5.21    226     10  322.7  340.0  323.8
  558.0   4996    1.2  -12.8     34   2.57    219     10  324.1  333.0  324.6
  551.0   5097    1.0  -20.0     19   1.43    207     10  325.1  330.2  325.3
  542.0   5229   -0.1   -8.1     55   3.85    191     11  325.3  338.4  326.0
  535.0   5333   -0.7  -19.7     22   1.51    178     11  325.8  331.2  326.1
  530.0   5408   -1.5  -10.5     50   3.26    169     11  325.7  336.9  326.3
  528.0   5438   -1.7  -10.6     51   3.26    165     11  325.8  337.0  326.4
  504.0   5807   -4.1  -11.1     58   3.27    165      5  327.2  338.5  327.9
  500.0   5870   -4.7   -8.5     75   4.05    165      4  327.2  341.1  328.1
  499.0   5886   -4.9   -8.1     79   4.20    175      4  327.2  341.5  328.0
  498.0   5902   -5.1   -7.6     83   4.36    175      5  327.1  342.0  328.0
  479.0   6207   -6.8  -13.5     59   2.83    170     16  328.7  338.6  329.3
  469.0   6372   -7.7  -16.7     48   2.22    143     14  329.6  337.5  330.0
  468.0   6389   -7.7  -16.8     48   2.21    140     14  329.8  337.6  330.2
  459.0   6540   -7.7  -17.7     45   2.08    152     11  331.6  339.1  332.0
  457.0   6574   -8.0  -17.4     47   2.14    155     10  331.7  339.4  332.1
  437.0   6921  -10.7  -14.7     72   2.81    134     15  332.5  342.5  333.1
  420.0   7226  -12.3  -18.1     62   2.20    115     20  334.2  342.2  334.7
  418.0   7263  -12.5  -18.5     61   2.14    115     20  334.4  342.2  334.9
  414.0   7337  -12.1  -35.1     13   0.47    116     21  335.9  337.7  335.9
  411.0   7393  -12.1  -41.1      7   0.26    117     21  336.6  337.6  336.6
  404.0   7524  -12.7  -38.7      9   0.33    119     22  337.4  338.8  337.5
  400.0   7600  -13.5  -36.5     13   0.42    120     22  337.4  339.1  337.4
  390.0   7792  -15.1  -25.1     42   1.28    122     21  337.7  342.6  338.0
  387.0   7850  -15.1  -34.1     18   0.55    123     21  338.4  340.7  338.6
  353.0   8538  -20.5  -25.7     63   1.35    130     18  340.1  345.3  340.4
  352.0   8559  -20.7  -25.4     66   1.39    129     18  340.2  345.4  340.5
  331.0   9011  -23.9  -29.9     58   0.97     98     25  341.8  345.6  342.1
  329.0   9055  -24.3  -30.0     59   0.97     95     26  341.9  345.7  342.1
  308.0   9532  -28.3  -30.8     79   0.96     60     18  342.8  346.5  343.0
  307.0   9555  -28.5  -30.8     81   0.96     61     17  342.8  346.6  343.0
  303.0   9649  -28.9  -35.9     51   0.59     63     15  343.6  345.9  343.7
  300.0   9720  -29.5  -36.5     51   0.56     65     13  343.7  346.0  343.8
  295.0   9839  -30.5  -36.5     56   0.57     62     13  343.9  346.2  344.0
  289.0   9985  -31.1  -43.1     30   0.29     58     13  345.1  346.3  345.1
  276.0  10305  -34.0  -43.1     39   0.31     50     12  345.5  346.8  345.6
  259.0  10747  -38.0  -43.0     59   0.33     80     19  346.0  347.4  346.0
