# 48698 WSSS Singapore Observations at 12Z 01 Jan 2019
Frequency [GHz],TB
175.31,271.646559944
175.322,271.625355374
175.337,271.598793745
175.352,271.572169808
175.367,271.545483373
175.382,271.518734248
175.397,271.491922241
175.412,271.46504716
175.427,271.43810881
175.442,271.411106997
175.457,271.384041525
175.472,271.356912198
175.487,271.32971882
175.502,271.302461191
175.517,271.275139114
175.532,271.247752389
175.547,271.220300815
175.562,271.192784192
175.577,271.165202317
175.592,271.137554987
175.607,271.109841999
175.622,271.082063148
175.637,271.05421823
175.652,271.026307036
175.667,270.998329362
175.682,270.970284998
175.697,270.942173735
175.712,270.913995365
175.727,270.885749677
175.742,270.85743646
175.757,270.8290555
175.772,270.800606586
175.787,270.772089504
175.802,270.743504038
175.817,270.714849973
175.832,270.686127092
175.847,270.657335179
175.862,270.628474014
175.877,270.59954338
175.892,270.570543055
175.907,270.541472819
175.922,270.51233245
175.937,270.483121725
175.952,270.453840422
175.967,270.424488315
175.982,270.39506518
175.997,270.36557079
176.012,270.336004918
176.027,270.306367335
176.042,270.276657815
176.057,270.246876125
176.072,270.217022037
176.087,270.187095317
176.102,270.157095734
176.117,270.127023055
176.132,270.096877045
176.147,270.066657468
176.162,270.03636409
176.177,270.005996672
176.192,269.975554976
176.207,269.945038765
176.222,269.914447797
176.237,269.883781833
176.252,269.853040631
176.267,269.822223947
176.282,269.791331539
176.297,269.760363162
176.31,269.733462262
176.312,269.729318571
176.327,269.698197519
176.342,269.666999759
176.357,269.635725043
176.372,269.604373122
176.387,269.572943745
176.402,269.541436662
176.417,269.50985162
176.432,269.478188367
176.447,269.446446648
176.46,269.418873492
176.462,269.414626209
176.477,269.382726793
176.492,269.350748145
176.507,269.318690005
176.522,269.286552116
176.537,269.254334217
176.552,269.222036048
176.567,269.189657347
176.582,269.157197851
176.597,269.124657297
176.612,269.09203542
176.627,269.059331954
176.642,269.026546632
176.657,268.993679186
176.672,268.960729349
176.687,268.92769685
176.702,268.894581418
176.717,268.861382782
176.732,268.828100669
176.747,268.794734805
176.762,268.761284915
176.777,268.727750723
176.792,268.694131952
