# 78954 TBPB Grantley Adams Observations at 12Z 15 Jan 2019
Frequency [GHz],TB
175.31,287.56651747
175.322,287.559364394
175.337,287.550374803
175.352,287.541331686
175.367,287.532235136
175.382,287.523085243
175.397,287.513882099
175.412,287.504625797
175.427,287.495316428
175.442,287.485954088
175.457,287.47653887
175.472,287.467070867
175.487,287.457550177
175.502,287.447976894
175.517,287.438351114
175.532,287.428672934
175.547,287.41894245
175.562,287.40915976
175.577,287.399324961
175.592,287.389438152
175.607,287.379499429
175.622,287.369508892
175.637,287.359466639
175.652,287.349372769
175.667,287.339227382
175.682,287.329030577
175.697,287.318782452
175.712,287.308483109
175.727,287.298132645
175.742,287.287731161
175.757,287.277278756
175.772,287.266775532
175.787,287.256221586
175.802,287.245617018
175.817,287.234961929
175.832,287.224256417
175.847,287.213500583
175.862,287.202694524
175.877,287.191838341
175.892,287.180932131
175.907,287.169975993
175.922,287.158970025
175.937,287.147914325
175.952,287.136808991
175.967,287.125654119
175.982,287.114449807
175.997,287.10319615
176.012,287.091893244
176.027,287.080541184
176.042,287.069140065
176.057,287.05768998
176.072,287.046191024
176.087,287.03464329
176.102,287.023046868
176.117,287.011401851
176.132,286.999708329
176.147,286.987966392
176.162,286.976176129
176.177,286.964337628
176.192,286.952450976
176.207,286.940516261
176.222,286.928533566
176.237,286.916502977
176.252,286.904424576
176.267,286.892298447
176.282,286.880124669
176.297,286.867903325
176.31,286.857273076
176.312,286.855634491
176.327,286.843318246
176.342,286.830954665
176.357,286.818543826
176.372,286.806085799
176.387,286.79358066
176.402,286.781028477
176.417,286.768429322
176.432,286.755783262
176.447,286.743090363
176.46,286.732052014
176.462,286.730350691
176.477,286.717564309
176.492,286.70473128
176.507,286.691851662
176.522,286.678925515
176.537,286.665952896
176.552,286.652933859
176.567,286.639868458
176.582,286.626756743
176.597,286.613598765
176.612,286.600394571
176.627,286.587144207
176.642,286.573847715
176.657,286.560505138
176.672,286.547116515
176.687,286.533681883
176.702,286.520201278
176.717,286.506674731
176.732,286.493102276
176.747,286.479483938
176.762,286.465819746
176.777,286.452109723
176.792,286.438353889
176.807,286.424552265
176.822,286.410704866
176.837,286.396811707
176.852,286.382872799
176.867,286.368888151
176.882,286.35485777
176.897,286.340781659
176.912,286.326659819
176.927,286.312492249
176.942,286.298278943
176.957,286.284019895
176.972,286.269715095
176.987,286.255364529
177.002,286.240968181
177.017,286.226526032
177.032,286.212038062
177.047,286.197504244
177.062,286.18292455
177.077,286.16829895
177.092,286.153627409
177.107,286.13890989
177.122,286.124146352
177.137,286.109336751
177.152,286.094481039
177.167,286.079579167
177.182,286.06463108
177.197,286.04963672
177.21,286.036604133
177.212,286.034596028
177.227,286.019508938
177.242,286.004375382
177.257,285.98919529
177.272,285.973968587
177.287,285.958695193
177.302,285.943375026
177.31,285.935185116
177.317,285.928008001
177.332,285.912594027
177.347,285.897133011
177.362,285.881624855
177.377,285.866069458
177.392,285.850466716
177.407,285.834816518
177.422,285.819118752
177.437,285.8033733
177.452,285.787580042
177.467,285.771738852
177.482,285.755849601
177.497,285.739912155
177.512,285.723926378
177.527,285.707892125
177.542,285.691809251
177.557,285.675677607
177.572,285.659497036
177.587,285.64326738
177.602,285.626988474
177.617,285.610660152
177.632,285.594282239
177.647,285.577854558
177.66,285.563576838
177.662,285.561376929
177.677,285.544849163
177.692,285.528271072
177.707,285.511642457
177.722,285.49496312
177.737,285.478232854
177.752,285.46145145
177.767,285.444618692
177.782,285.427734361
177.797,285.410798232
177.812,285.393810075
177.827,285.376769655
177.842,285.359676733
177.857,285.342531064
177.872,285.325332398
177.887,285.308080479
177.902,285.290775047
177.917,285.273415836
177.932,285.256002576
177.947,285.238534989
177.96,285.223352254
177.962,285.221012795
177.977,285.203435707
177.992,285.185803431
178.007,285.16811567
178.022,285.15037212
178.037,285.132572471
178.052,285.114716409
178.067,285.096803614
178.082,285.078833758
178.097,285.06080651
178.112,285.042721532
178.127,285.02457848
178.142,285.006377005
178.157,284.98811675
178.172,284.969797354
178.187,284.95141845
178.202,284.932979663
178.217,284.914480613
178.232,284.895920915
178.247,284.877300175
178.262,284.858617995
178.277,284.83987397
178.292,284.821067688
178.307,284.80219873
178.322,284.783266673
178.337,284.764271086
178.352,284.745211529
178.367,284.72608756
178.382,284.706898726
178.397,284.687644569
178.41,284.670904436
178.412,284.668324625
178.427,284.648938422
178.442,284.629485481
178.457,284.609965315
178.472,284.590377433
178.487,284.570721334
178.502,284.55099651
178.517,284.531202447
178.532,284.511338623
178.547,284.491404509
178.562,284.471399567
178.577,284.451323253
178.592,284.431175014
178.607,284.410954293
178.622,284.390660519
178.637,284.370293119
178.652,284.34985151
178.667,284.329335099
178.682,284.308743287
178.697,284.288075467
178.712,284.267331024
178.727,284.246509334
178.742,284.225609764
178.757,284.204631674
178.772,284.183574415
178.787,284.162437329
178.802,284.141219749
178.817,284.119921
178.832,284.098540399
178.847,284.077077252
178.862,284.055530858
178.877,284.033900506
178.892,284.012185475
178.907,283.990385035
178.922,283.968498449
178.937,283.946524968
178.952,283.924463834
178.967,283.902314279
178.982,283.880075527
178.997,283.857746789
179.012,283.83532727
179.027,283.812816163
179.042,283.790212649
179.057,283.767515902
179.072,283.744725084
179.087,283.721839347
179.102,283.698857832
179.117,283.67577967
179.132,283.652603981
179.147,283.629329872
179.16,283.609078672
179.162,283.605956444
179.177,283.582482781
179.192,283.558907961
179.207,283.535231046
179.222,283.511451091
179.237,283.487567136
179.252,283.463578211
179.267,283.439483333
179.282,283.415281509
179.297,283.390971732
179.312,283.366552983
179.327,283.342024232
179.342,283.317384435
179.357,283.292632537
179.372,283.267767468
179.387,283.242788148
179.402,283.217693481
179.417,283.192482361
179.432,283.167153665
179.447,283.14170626
179.462,283.116138998
179.477,283.090450717
179.492,283.06464024
179.507,283.03870638
179.522,283.012647931
179.537,282.986463676
179.552,282.960152382
179.567,282.933712801
179.582,282.907143672
179.597,282.880443717
179.612,282.853611643
179.627,282.826646144
179.642,282.799545895
179.657,282.772309558
179.672,282.744935779
179.687,282.717423186
179.702,282.689770392
179.717,282.661975994
179.732,282.634038573
179.747,282.60595669
179.762,282.577728893
179.777,282.54935371
179.792,282.520829654
179.807,282.492155218
179.822,282.463328878
179.837,282.434349094
179.852,282.405214304
179.867,282.375922931
179.882,282.346473378
179.897,282.316864029
179.91,282.291072073
179.912,282.287093249
179.927,282.257159384
179.942,282.227060761
179.957,282.196795685
179.972,282.166362444
179.987,282.135759303
180.002,282.104984509
180.017,282.074036286
180.032,282.042912838
180.047,282.011612348
180.062,281.980132977
180.077,281.948472864
180.092,281.916630127
180.107,281.88460286
180.122,281.852389135
180.137,281.819987002
180.152,281.787394487
180.167,281.754609593
180.182,281.721630297
180.197,281.688454554
180.212,281.655080294
180.227,281.621505423
180.242,281.587727821
180.257,281.553745341
180.272,281.519555813
180.287,281.485157039
180.302,281.450546796
180.317,281.415722832
180.332,281.38068287
180.347,281.345424603
180.362,281.309945698
180.377,281.274243792
180.392,281.238316495
180.407,281.202161386
180.422,281.165776016
180.437,281.129157903
180.452,281.092304539
180.467,281.05521338
180.482,281.017881853
180.497,280.980307355
180.512,280.942487247
180.527,280.904418859
180.542,280.866099487
180.557,280.827526393
180.56,280.819781084
180.572,280.788696806
180.587,280.749607918
180.602,280.710256886
180.617,280.670640832
180.632,280.63075684
180.647,280.590601958
180.66,280.555579628
180.662,280.550173194
180.677,280.509467519
180.692,280.468481866
180.707,280.427213125
180.722,280.385658148
180.737,280.343813746
180.752,280.301676687
180.767,280.259243697
180.782,280.216511457
180.797,280.173476607
