# 01004 ENAS Ny-Alesund Ii Observations at 12Z 23 Jan 2019
Frequency [GHz],TB
175.31,199.752831947
175.322,199.818272986
175.337,199.900323421
175.352,199.982651501
175.367,200.065258117
175.382,200.148144155
175.397,200.231310505
175.412,200.314758052
175.427,200.398487683
175.442,200.482500283
175.457,200.566796739
175.472,200.651377932
175.487,200.736244748
175.502,200.821398068
175.517,200.906838773
175.532,200.992567744
175.547,201.078585859
175.562,201.164893995
175.577,201.251493029
175.592,201.338383836
175.607,201.425567288
175.622,201.513044258
175.637,201.600815614
175.652,201.688882224
175.667,201.777244955
175.682,201.865904671
175.697,201.954862234
175.712,202.044118503
175.727,202.133674335
175.742,202.223530586
175.757,202.313688108
175.772,202.404147751
175.787,202.494910362
175.802,202.585976786
175.817,202.677347864
175.832,202.769024435
175.847,202.861007333
175.862,202.953297391
175.877,203.045895437
175.892,203.138802298
175.907,203.232018792
175.922,203.32554574
175.937,203.419383954
175.952,203.513534245
175.967,203.607997419
175.982,203.702774276
175.997,203.797865615
176.012,203.893272228
176.027,203.988994902
176.042,204.085034423
176.057,204.181391565
176.072,204.278067106
176.087,204.375061811
176.102,204.472376444
176.117,204.570011762
176.132,204.667968515
176.147,204.766247451
176.162,204.86484931
176.177,204.963774822
176.192,205.063024718
176.207,205.162599717
176.222,205.262500533
176.237,205.362727876
176.252,205.463282444
176.267,205.564164931
176.282,205.665376023
176.297,205.766916399
176.31,205.855184931
176.312,205.868786729
176.327,205.970987677
176.342,206.073519898
176.357,206.176384038
176.372,206.279580736
176.387,206.383110621
176.402,206.486974315
176.417,206.591172429
176.432,206.695705566
176.447,206.800574319
176.46,206.891732498
176.462,206.905779271
176.477,207.011320997
176.492,207.11720006
176.507,207.223417014
176.522,207.329972401
176.537,207.436866752
176.552,207.544100592
176.567,207.651674428
176.582,207.759588759
176.597,207.867844072
176.612,207.976440841
176.627,208.085379532
176.642,208.194660592
176.657,208.30428446
176.672,208.414251561
176.687,208.524562308
176.702,208.635217097
176.717,208.746216313
176.732,208.857560327
176.747,208.969249496
176.762,209.081284161
176.777,209.19366465
176.792,209.306391274
176.807,209.419464331
176.822,209.5328841
176.837,209.646650847
176.852,209.760764822
176.867,209.875226256
176.882,209.990035364
