# 10410 EDZE Essen Observations at 12Z 25 Jan 2019
Frequency [GHz],TB
175.31,254.130488437
175.322,254.168014423
175.337,254.214788586
175.352,254.261413044
175.367,254.307886106
175.382,254.35420607
175.397,254.400371231
175.412,254.446379875
175.427,254.492230282
175.442,254.537920725
175.457,254.583449469
175.472,254.628814776
175.487,254.674014895
175.502,254.719048075
175.517,254.763912555
175.532,254.808606569
175.547,254.853128342
175.562,254.897476097
175.577,254.941648046
175.592,254.9856424
175.607,255.02945736
175.622,255.073091123
175.637,255.116541878
175.652,255.159807812
175.667,255.202887104
175.682,255.245777927
175.697,255.288478448
175.712,255.330986831
175.727,255.373301233
175.742,255.415419806
175.757,255.457340698
175.772,255.499062051
175.787,255.540582001
175.802,255.581898681
175.817,255.62301022
175.832,255.66391474
175.847,255.70461036
175.862,255.745095195
175.877,255.785367354
175.892,255.825424945
175.907,255.86526607
175.922,255.904888827
175.937,255.944291311
175.952,255.983471613
175.967,256.022427821
175.982,256.061158019
175.997,256.09966029
176.012,256.137932711
176.027,256.175973359
176.042,256.213780304
176.057,256.251351619
176.072,256.28868537
176.087,256.325779624
176.102,256.362632444
176.117,256.399241891
176.132,256.435606025
176.147,256.471722904
176.162,256.507590585
176.177,256.543207122
176.192,256.578570572
176.207,256.613678985
176.222,256.648530416
176.237,256.683122916
176.252,256.717454535
176.267,256.751523327
176.282,256.785327341
176.297,256.818864629
176.31,256.847713022
176.312,256.852133243
176.327,256.885131235
176.342,256.917856658
176.357,256.950307564
176.372,256.982482011
176.387,257.014378054
176.402,257.04599375
176.417,257.077327159
176.432,257.108376342
176.447,257.139139363
176.46,257.16556768
176.462,257.169614289
176.477,257.199799187
176.492,257.229692128
176.507,257.259291188
176.522,257.288594443
176.537,257.317599976
176.552,257.34630587
176.567,257.374710215
176.582,257.402811103
176.597,257.430606631
176.612,257.458094903
176.627,257.485274023
176.642,257.512142105
176.657,257.538697266
176.672,257.564937629
176.687,257.590861322
176.702,257.616466481
176.717,257.641751247
176.732,257.666713767
176.747,257.691352197
176.762,257.715664698
176.777,257.73964944
176.792,257.763304601
176.807,257.786628363
176.822,257.809618923
176.837,257.832274479
176.852,257.854593244
176.867,257.876573436
176.882,257.898213284
176.897,257.919511025
176.912,257.940464908
176.927,257.961073192
176.942,257.981334144
176.957,258.001246043
176.972,258.02080718
176.987,258.040015856
177.002,258.058870383
177.017,258.077369085
177.032,258.095510301
177.047,258.113292377
177.062,258.130713677
177.077,258.147772574
177.092,258.164467456
177.107,258.180796723
177.122,258.196758792
177.137,258.212352091
177.152,258.227575063
177.167,258.242426165
177.182,258.256903873
177.197,258.271006672
177.21,258.282924682
177.212,258.284733067
177.227,258.298081577
177.242,258.311050738
177.257,258.323639101
177.272,258.335845235
177.287,258.347667725
177.302,258.359105174
177.31,258.365047231
177.317,258.370156202
177.332,258.380819447
177.347,258.391093564
177.362,258.400977229
177.377,258.410469134
177.392,258.41956799
177.407,258.428272529
177.422,258.436581502
177.437,258.444493678
177.452,258.452007848
177.467,258.459122821
177.482,258.465837428
177.497,258.472150523
177.512,258.478060976
177.527,258.483567683
177.542,258.488669558
177.557,258.493365539
177.572,258.497654586
177.587,258.50153568
177.602,258.505007825
177.617,258.508070048
177.632,258.510721399
177.647,258.512960951
177.66,258.514568099
177.662,258.514787802
177.677,258.516201071
177.692,258.517199902
177.707,258.517783464
177.722,258.517950949
177.737,258.517701575
177.752,258.517034583
177.767,258.51594924
177.782,258.514444838
177.797,258.512520693
177.812,258.510176149
177.827,258.507410572
177.842,258.504223358
177.857,258.500613926
177.872,258.496581721
177.887,258.492126215
177.902,258.487246908
177.917,258.481943323
177.932,258.476215012
177.947,258.470061553
177.96,258.464384353
177.962,258.463482552
177.977,258.456477639
177.992,258.449046474
178.007,258.441188742
178.022,258.432904157
178.037,258.424192459
178.052,258.415053415
178.067,258.40548682
178.082,258.395492497
178.097,258.385070295
178.112,258.374220091
178.127,258.362941789
178.142,258.351235322
178.157,258.339100649
178.172,258.326537757
178.187,258.313546658
178.202,258.300127396
178.217,258.286280039
178.232,258.272004682
178.247,258.257301449
178.262,258.24217049
178.277,258.226611983
178.292,258.210626131
178.307,258.194213165
178.322,258.177373343
178.337,258.160106949
178.352,258.142414293
178.367,258.124295713
178.382,258.105751571
178.397,258.086782255
178.41,258.069998583
178.412,258.067388181
178.427,258.047569787
178.442,258.027327539
178.457,258.006661927
178.472,257.985573466
178.487,257.964062695
178.502,257.942130179
178.517,257.919776505
178.532,257.897002285
178.547,257.873808153
178.562,257.850194769
178.577,257.826162811
178.592,257.801712986
178.607,257.776846016
178.622,257.75156265
178.637,257.725863657
178.652,257.699749825
178.667,257.673221966
178.682,257.64628091
178.697,257.618927507
178.712,257.591162626
178.727,257.562987156
178.742,257.534402005
178.757,257.505408096
178.772,257.476006373
178.787,257.446197795
178.802,257.415983337
178.817,257.385363993
178.832,257.35434077
178.847,257.322914689
178.862,257.291086789
178.877,257.25885812
178.892,257.226229746
178.907,257.193202744
178.922,257.159778204
178.937,257.125957226
178.952,257.091740921
178.967,257.057130412
178.982,257.022126831
178.997,256.986731319
179.012,256.950945025
179.027,256.914769107
179.042,256.878204729
179.057,256.841253062
179.072,256.803915284
179.087,256.766192578
179.102,256.728086129
179.117,256.68959713
179.132,256.650726773
179.147,256.611476256
179.16,256.577152561
179.162,256.571846778
179.177,256.531839538
179.192,256.491455735
179.207,256.450696571
179.222,256.409563244
179.237,256.36805695
179.252,256.326178886
179.267,256.283930242
179.282,256.241312208
179.297,256.198325965
179.312,256.154972694
179.327,256.111253565
179.342,256.067169746
179.357,256.022722394
179.372,255.977912659
179.387,255.932741684
179.402,255.8872106
179.417,255.841320529
179.432,255.795072583
179.447,255.748467861
179.462,255.70150745
179.477,255.654192426
179.492,255.606523847
179.507,255.558502762
179.522,255.510130201
179.537,255.461407182
179.552,255.412334703
179.567,255.362913747
179.582,255.313145281
179.597,255.26303025
179.612,255.212569585
179.627,255.161764194
179.642,255.110614966
179.657,255.05912277
179.672,255.007288454
179.687,254.955112844
179.702,254.902596743
179.717,254.849740933
179.732,254.796546172
179.747,254.743013193
179.762,254.689142706
179.777,254.634935396
