# 10410 EDZE Essen Observations at 12Z 02 Feb 2019
Frequency [GHz],TB
175.31,262.286492111
175.322,262.30546471
175.337,262.329017955
175.352,262.352389652
175.367,262.375578746
175.382,262.398584181
175.397,262.421404903
175.412,262.444039862
175.427,262.466488007
175.442,262.488748289
175.457,262.510819662
175.472,262.53270108
175.487,262.554391499
175.502,262.575889883
175.517,262.59719519
175.532,262.618306385
175.547,262.639222434
175.562,262.659942305
175.577,262.680464972
175.592,262.700789406
175.607,262.720914587
175.622,262.740839494
175.637,262.760563109
175.652,262.780084421
175.667,262.799402416
175.682,262.81851609
175.697,262.837424437
175.712,262.85612646
175.727,262.874621161
175.742,262.892907548
175.757,262.910984632
175.772,262.928851429
175.787,262.946506959
175.802,262.963950245
175.817,262.981180318
175.832,262.998196209
175.847,263.014996955
175.862,263.0315816
175.877,263.047949191
175.892,263.06409878
175.907,263.080029424
175.922,263.095740186
175.937,263.111230134
175.952,263.12649834
175.967,263.141543885
175.982,263.156365852
175.997,263.170963333
176.012,263.185335423
176.027,263.199481225
176.042,263.213399848
176.057,263.227090405
176.072,263.240552021
176.087,263.25378382
176.102,263.266784939
176.117,263.279554518
176.132,263.292091707
176.147,263.304395659
176.162,263.316465538
176.177,263.328300513
176.192,263.339899761
176.207,263.351262467
176.222,263.362387824
176.237,263.373275031
176.252,263.383923295
176.267,263.394331834
176.282,263.40449987
176.297,263.414426638
176.31,263.422834088
176.312,263.424111374
176.327,263.433553332
176.342,263.442751767
176.357,263.451705946
176.372,263.460415143
176.387,263.468878644
176.402,263.477095742
176.417,263.485065737
176.432,263.492787944
176.447,263.500261683
176.46,263.506537422
176.462,263.507486284
176.477,263.514461087
176.492,263.521185442
176.507,263.527658711
176.522,263.53388026
176.537,263.539849474
176.552,263.545565738
176.567,263.551028455
176.582,263.556237036
176.597,263.561190901
176.612,263.565889482
176.627,263.570332222
176.642,263.574518576
176.657,263.578448005
176.672,263.582119987
176.687,263.585534007
176.702,263.588689562
176.717,263.591586162
176.732,263.594223326
176.747,263.596600587
176.762,263.598717488
176.777,263.600573583
176.792,263.602168438
176.807,263.603501632
176.822,263.604572756
176.837,263.60538141
176.852,263.605927209
176.867,263.606209781
176.882,263.60622876
176.897,263.605983802
176.912,263.605474566
176.927,263.604700727
176.942,263.603661975
176.957,263.602358007
176.972,263.60078854
176.987,263.598953294
177.002,263.59685201
177.017,263.594484436
177.032,263.591850338
177.047,263.588949488
177.062,263.585781679
177.077,263.582346708
177.092,263.578644393
177.107,263.574674558
177.122,263.570437045
177.137,263.565931705
177.152,263.561158406
177.167,263.556117025
177.182,263.550807453
177.197,263.545229598
177.21,263.540178378
177.212,263.539383373
177.227,263.533268711
177.242,263.526885556
177.257,263.520233863
177.272,263.513313602
177.287,263.506124754
177.302,263.498667315
177.31,263.494580192
177.317,263.490941292
177.332,263.482946707
177.347,263.474683593
177.362,263.466151996
177.377,263.457351974
177.392,263.4482836
177.407,263.438946957
177.422,263.429342142
177.437,263.419469265
177.452,263.409328448
177.467,263.398919822
177.482,263.388243536
177.497,263.377299747
177.512,263.366088628
177.527,263.354610358
177.542,263.342865133
177.557,263.330853161
177.572,263.318574658
177.587,263.306029854
177.602,263.29321899
177.617,263.28014232
177.632,263.266800106
177.647,263.253192624
177.66,263.241185122
177.662,263.23932016
177.677,263.225183011
177.692,263.210781484
177.707,263.196115898
177.722,263.18118658
177.737,263.165993871
177.752,263.150538118
177.767,263.134819681
177.782,263.11883893
177.797,263.10259624
177.812,263.086092001
177.827,263.06932661
177.842,263.052300472
177.857,263.035014002
177.872,263.017467624
177.887,262.999661769
177.902,262.981596877
177.917,262.963273398
177.932,262.944691785
177.947,262.925852503
177.96,262.909317062
177.962,262.906756022
177.977,262.887402819
177.992,262.867793381
178.007,262.847928196
178.022,262.827807764
178.037,262.807432586
178.052,262.786803175
178.067,262.765920042
178.082,262.74478371
178.097,262.723394702
178.112,262.70175355
178.127,262.679860787
178.142,262.657716952
178.157,262.635322586
178.172,262.612678239
178.187,262.589784457
178.202,262.566641792
178.217,262.5432508
178.232,262.519612038
178.247,262.495726067
178.262,262.471593445
178.277,262.447214738
178.292,262.422590507
178.307,262.397721317
178.322,262.372607734
178.337,262.347250323
178.352,262.321649647
178.367,262.295806272
178.382,262.269720761
178.397,262.243393675
178.41,262.220381895
178.412,262.216825577
178.427,262.190017022
178.442,262.16296857
178.457,262.135680774
178.472,262.108154183
178.487,262.080389346
178.502,262.052386807
178.517,262.024147106
178.532,261.995670777
178.547,261.966958351
178.562,261.938010356
178.577,261.90882731
178.592,261.879409728
178.607,261.849758119
178.622,261.819872984
178.637,261.789754819
178.652,261.759404109
178.667,261.728821338
178.682,261.698006976
178.697,261.666961487
178.712,261.635685328
178.727,261.604178942
178.742,261.572442769
178.757,261.540477235
178.772,261.508282759
178.787,261.475859745
178.802,261.443208592
178.817,261.410329684
178.832,261.377223395
178.847,261.343890086
178.862,261.310330108
178.877,261.276543798
178.892,261.242531482
178.907,261.208293471
178.922,261.173830063
178.937,261.139141545
178.952,261.104228185
178.967,261.069090242
178.982,261.033727956
178.997,260.998141556
179.012,260.962331252
179.027,260.926297242
179.042,260.890039705
179.057,260.853558807
179.072,260.816854697
179.087,260.779927505
179.102,260.742777348
179.117,260.705404321
179.132,260.667808508
179.147,260.629989969
179.16,260.597033778
179.162,260.59194875
179.177,260.55368488
179.192,260.515198365
179.207,260.476489195
179.222,260.437557344
179.237,260.398402764
179.252,260.359025387
179.267,260.319425129
179.282,260.279601882
179.297,260.239555524
179.312,260.199285907
179.327,260.158792868
179.342,260.118076221
179.357,260.077135761
179.372,260.035971261
179.387,259.994582475
179.402,259.952969136
179.417,259.911130955
179.432,259.869067623
179.447,259.826778809
179.462,259.784264161
179.477,259.741523307
179.492,259.698555853
179.507,259.655361382
179.522,259.611939458
179.537,259.56828962
179.552,259.524411389
179.567,259.480304262
179.582,259.435967716
179.597,259.391401204
179.612,259.346604159
179.627,259.301575991
179.642,259.25631609
179.657,259.210823821
179.672,259.165098531
179.687,259.119139542
179.702,259.072946156
179.717,259.026517653
179.732,258.97985329
179.747,258.932952305
179.762,258.885813912
179.777,258.838437304
179.792,258.790821653
179.807,258.742966108
179.822,258.694869799
179.837,258.646531834
179.852,258.597951299
179.867,258.549127258
179.882,258.500058758
179.897,258.450744821
179.91,258.407806773
179.912,258.401184449
179.927,258.351376626
179.942,258.301320313
179.957,258.25101445
179.972,258.200457961
179.987,258.149649744
180.002,258.098588684
180.017,258.047273639
180.032,257.995703454
180.047,257.94387695
180.062,257.891792932
180.077,257.839450184
180.092,257.786847471
180.107,257.733983542
180.122,257.680857126
180.137,257.627466934
180.152,257.573811659
180.167,257.519889976
180.182,257.465700544
180.197,257.411242004
180.212,257.35651298
180.227,257.301512081
180.242,257.246237897
180.257,257.190689004
180.272,257.134863962
180.287,257.078761315
180.302,257.022379592
180.317,256.965717308
180.332,256.908772962
180.347,256.851545041
180.362,256.794032016
180.377,256.736232346
180.392,256.678144478
180.407,256.619766843
180.422,256.561097863
180.437,256.502135946
180.452,256.44287949
180.467,256.383326882
180.482,256.323476495
180.497,256.263326698
180.512,256.202875844
180.527,256.142122282
180.542,256.081064347
