# 01004 ENAS Ny-Alesund Ii Observations at 12Z 04 Feb 2019
Frequency [GHz],TB
175.31,248.577402013
175.322,248.625037192
175.337,248.684499525
175.352,248.743869552
175.367,248.803145559
175.382,248.862325816
175.397,248.921408584
175.412,248.980392116
175.427,249.039274649
175.442,249.098054413
175.457,249.156729622
175.472,249.215298485
175.487,249.273759195
175.502,249.332109936
175.517,249.390348881
175.532,249.44847419
175.547,249.506484015
175.562,249.564376495
175.577,249.62214976
175.592,249.679801927
175.607,249.737331101
175.622,249.794735379
175.637,249.852012846
175.652,249.909161575
175.667,249.966179634
175.682,250.023065067
175.697,250.079815923
175.712,250.13643023
175.727,250.192906008
175.742,250.24924127
175.757,250.30543401
175.772,250.361482221
175.787,250.41738388
175.802,250.473136954
175.817,250.5287394
175.832,250.584189167
175.847,250.63948419
175.862,250.694622396
175.877,250.749601702
175.892,250.804420013
175.907,250.859075228
175.922,250.913565231
175.937,250.9678879
175.952,251.022041101
175.967,251.076022693
175.982,251.129830521
175.997,251.183462423
176.012,251.23691623
176.027,251.290189757
176.042,251.343280818
176.057,251.396187213
176.072,251.448906732
176.087,251.501437158
176.102,251.553776266
176.117,251.605921818
176.132,251.657871574
176.147,251.709623277
176.162,251.761174672
176.177,251.812523485
176.192,251.863667443
176.207,251.914604257
176.222,251.965331635
176.237,252.015847275
176.252,252.066148871
176.267,252.116234104
176.282,252.166100651
176.297,252.215746181
176.31,252.258591721
176.312,252.265168355
176.327,252.314364829
176.342,252.363333251
176.357,252.412071262
176.372,252.460576496
176.387,252.508846584
176.402,252.556879144
176.417,252.604671796
176.432,252.652222148
176.447,252.699527808
176.46,252.74032626
176.462,252.746586373
176.477,252.793395437
176.492,252.83995259
176.507,252.886255416
176.522,252.932301493
176.537,252.978088396
176.552,253.023613698
176.567,253.068874964
176.582,253.113869755
176.597,253.158595631
176.612,253.203050149
176.627,253.247230859
176.642,253.291135311
176.657,253.334761052
176.672,253.378105624
176.687,253.421166572
176.702,253.463941431
176.717,253.506427743
176.732,253.548623041
176.747,253.590524863
176.762,253.63213074
176.777,253.673438205
176.792,253.714444794
176.807,253.755148034
176.822,253.795545462
176.837,253.835634608
176.852,253.875413006
176.867,253.914878191
176.882,253.954027696
176.897,253.992859059
176.912,254.031369819
176.927,254.069557516
176.942,254.107419693
176.957,254.144953895
176.972,254.182157671
176.987,254.219028575
177.002,254.255564158
177.017,254.291761982
177.032,254.327619614
177.047,254.363134618
177.062,254.398304569
177.077,254.433127046
177.092,254.467599633
177.107,254.501719921
177.122,254.535485505
177.137,254.568893991
177.152,254.601942988
177.167,254.634630117
177.182,254.666952999
177.197,254.698909274
177.21,254.72630634
177.212,254.730496579
177.227,254.761712568
177.242,254.792554903
177.257,254.823021254
177.272,254.8531093
177.287,254.882816737
177.302,254.912141263
177.31,254.927623652
177.317,254.941080593
177.332,254.969632453
177.347,254.997794578
177.362,255.02556472
177.377,255.052940641
177.392,255.079920119
177.407,255.106500941
177.422,255.132680913
177.437,255.158457855
177.452,255.183829597
177.467,255.208793993
177.482,255.233348903
177.497,255.257492213
177.512,255.28122182
177.527,255.304535637
177.542,255.3274316
177.557,255.34990766
177.572,255.371961784
177.587,255.393591963
177.602,255.414796205
177.617,255.435572537
177.632,255.455919008
177.647,255.475833686
177.66,255.492742326
177.662,255.495314663
177.677,255.514360049
177.692,255.532967978
177.707,255.551136605
177.722,255.568864114
177.737,255.586148703
177.752,255.602988602
177.767,255.61938206
177.782,255.635327353
177.797,255.650822784
177.812,255.665866677
177.827,255.680457387
177.842,255.694593291
177.857,255.7082728
177.872,255.721494343
177.887,255.734256386
177.902,255.746557415
177.917,255.758395954
177.932,255.769770546
177.947,255.780679772
177.96,255.789756928
177.962,255.79112224
177.977,255.801096586
177.992,255.810601483
178.007,255.819635628
178.022,255.828197757
178.037,255.836286632
178.052,255.843901051
178.067,255.851039845
178.082,255.857701875
178.097,255.863886043
178.112,255.869591276
178.127,255.874816543
178.142,255.879560842
178.157,255.883823213
178.172,255.887602725
178.187,255.890898488
178.202,255.893709646
178.217,255.896035377
178.232,255.897874903
178.247,255.899227479
178.262,255.900092396
178.277,255.900468988
178.292,255.900356623
178.307,255.899754707
178.322,255.898662693
178.337,255.897080061
178.352,255.89500634
178.367,255.892441095
178.382,255.889383931
178.397,255.885834495
178.41,255.882359879
178.412,255.881792471
178.427,255.877257587
178.442,255.872229612
178.457,255.866708352
178.472,255.860693658
178.487,255.854185421
178.502,255.847183574
178.517,255.839688094
178.532,255.831698994
178.547,255.823216333
178.562,255.814240214
178.577,255.804770778
178.592,255.794808211
178.607,255.784352739
178.622,255.773404632
178.637,255.761964203
178.652,255.750031805
178.667,255.737607839
178.682,255.724692738
178.697,255.71128699
178.712,255.697391116
178.727,255.683005683
178.742,255.6681313
178.757,255.652768618
178.772,255.636918331
178.787,255.620581172
178.802,255.60375792
178.817,255.58644939
178.832,255.568656447
178.847,255.550379988
178.862,255.531620955
178.877,255.512380334
178.892,255.492659146
178.907,255.472458455
178.922,255.451779368
178.937,255.430623024
178.952,255.40899061
178.967,255.386883347
178.982,255.364302494
178.997,255.341249353
179.012,255.317725261
179.027,255.293731591
179.042,255.269269756
179.057,255.244341204
179.072,255.218947422
179.087,255.193089926
179.102,255.166770277
179.117,255.139990062
179.132,255.112750906
179.147,255.085054469
179.16,255.060682305
179.162,255.05690244
179.177,255.028296544
179.192,254.999238534
179.207,254.9697302
179.222,254.939773358
179.237,254.909369852
179.252,254.878521562
179.267,254.84723039
179.282,254.815498269
179.297,254.783327158
179.312,254.750719043
179.327,254.717675933
179.342,254.684199866
179.357,254.650292901
179.372,254.615957121
179.387,254.581194628
179.402,254.546007551
179.417,254.510398034
179.432,254.474368247
179.447,254.437920373
179.462,254.401056616
179.477,254.363779196
179.492,254.326090346
179.507,254.28799232
179.522,254.249487384
179.537,254.210577814
179.552,254.171265903
179.567,254.131553953
179.582,254.091444275
179.597,254.050939192
179.612,254.010041031
179.627,253.968752132
179.642,253.927074838
179.657,253.885011498
179.672,253.842564464
179.687,253.799736093
179.702,253.756528743
179.717,253.712944774
179.732,253.668986547
179.747,253.624656418
179.762,253.579956747
179.777,253.534889885
179.792,253.489458185
179.807,253.44366399
179.822,253.39750964
179.837,253.350997466
179.852,253.304129794
179.867,253.256908935
179.882,253.209337198
179.897,253.161416873
179.91,253.119605722
179.912,253.113150244
179.927,253.064539577
179.942,253.015587129
179.957,252.966295138
179.972,252.916665827
179.987,252.866701405
180.002,252.816404057
180.017,252.765775956
180.032,252.714819251
180.047,252.663536072
180.062,252.611928528
180.077,252.559998705
180.092,252.507748668
180.107,252.455180454
180.122,252.402296078
180.137,252.349097531
180.152,252.295586775
180.167,252.241765746
180.182,252.187636354
180.197,252.133200477
180.212,252.07845997
180.227,252.023416653
180.242,251.968072317
180.257,251.912428725
180.272,251.856487604
180.287,251.800250655
180.302,251.74371954
180.317,251.686895896
180.332,251.62978132
180.347,251.572377378
180.362,251.514685603
180.377,251.456707493
180.392,251.39844451
180.407,251.339898083
180.422,251.281069604
180.437,251.221960433
180.452,251.16257189
180.467,251.102905263
180.482,251.042961804
180.497,250.982742724
180.512,250.922249207
180.527,250.861482396
180.542,250.800443397
180.557,250.739133284
