# 78954 TBPB Grantley Adams Observations at 12Z 21 Feb 2019
Frequency [GHz],TB
175.31,287.909046554
175.322,287.908608113
175.337,287.9079441
175.352,287.907151104
175.367,287.906228983
175.382,287.905177601
175.397,287.903996824
175.412,287.902686524
175.427,287.901246576
175.442,287.89967686
175.457,287.89797726
175.472,287.896147665
175.487,287.894187967
175.502,287.892098065
175.517,287.88987786
175.532,287.887527257
175.547,287.885046168
175.562,287.882434507
175.577,287.879692194
175.592,287.876819154
175.607,287.873815314
175.622,287.870680608
175.637,287.867414972
175.652,287.86401835
175.667,287.860490688
175.682,287.856831936
175.697,287.853042051
175.712,287.849120993
175.727,287.845068727
175.742,287.840885223
175.757,287.836570453
175.772,287.832124397
175.787,287.827547039
175.802,287.822838365
175.817,287.817998369
175.832,287.813027047
175.847,287.8079244
175.862,287.802690436
175.877,287.797325165
175.892,287.791828601
175.907,287.786200766
175.922,287.780441683
175.937,287.774551382
175.952,287.768529895
175.967,287.762377263
175.982,287.756093526
175.997,287.749678732
176.012,287.743132933
176.027,287.736456185
176.042,287.729648548
176.057,287.722710089
176.072,287.715640876
176.087,287.708440984
176.102,287.70111049
176.117,287.693649478
176.132,287.686058034
176.147,287.678336251
176.162,287.670484223
176.177,287.662502052
176.192,287.654389841
176.207,287.646147698
176.222,287.637775737
176.237,287.629274074
176.252,287.620642831
176.267,287.611882131
176.282,287.602992105
176.297,287.593972885
176.31,287.58605183
176.312,287.584824609
176.327,287.575547417
176.342,287.566141454
176.357,287.556606869
176.372,287.546943815
176.387,287.537152447
176.402,287.527232926
176.417,287.517185415
176.432,287.507010081
176.447,287.496707095
176.46,287.487674719
176.462,287.486276631
176.477,287.475718867
176.492,287.465033983
176.507,287.454222164
176.522,287.443283596
176.537,287.432218472
176.552,287.421026985
176.567,287.40970933
176.582,287.398265709
176.597,287.386696324
176.612,287.37500138
176.627,287.363181085
176.642,287.351235651
176.657,287.33916529
176.672,287.32697022
176.687,287.314650659
176.702,287.302206826
176.717,287.289638947
176.732,287.276947245
176.747,287.264131949
176.762,287.251193287
176.777,287.238131492
176.792,287.224946796
176.807,287.211639434
176.822,287.198209644
176.837,287.184657662
176.852,287.170983729
176.867,287.157188086
176.882,287.143270975
176.897,287.129232639
176.912,287.115073323
176.927,287.100793271
176.942,287.08639273
176.957,287.071871947
176.972,287.057231169
176.987,287.042470644
177.002,287.02759062
177.017,287.012591345
177.032,286.997473069
177.047,286.982236039
177.062,286.966880505
177.077,286.951406714
177.092,286.935814914
177.107,286.920105352
177.122,286.904278276
177.137,286.888333931
177.152,286.872272562
177.167,286.856094412
177.182,286.839799726
177.197,286.823388744
177.21,286.809072009
177.212,286.806861707
177.227,286.790218853
177.242,286.773460418
177.257,286.756586638
177.272,286.739597745
177.287,286.72249397
177.302,286.705275542
177.31,286.696045577
177.317,286.687942686
177.332,286.670495625
177.347,286.65293458
177.362,286.635259769
177.377,286.617471406
177.392,286.599569703
177.407,286.581554866
177.422,286.563427101
177.437,286.545186608
177.452,286.526833584
177.467,286.508368221
177.482,286.489790708
177.497,286.471101228
177.512,286.452299962
177.527,286.433387084
177.542,286.414362763
177.557,286.395227165
177.572,286.37598045
177.587,286.35662277
177.602,286.337154276
177.617,286.317575109
177.632,286.297885407
177.647,286.278085299
177.66,286.260835997
177.662,286.258174911
177.677,286.238154361
177.692,286.21802376
177.707,286.197783211
177.722,286.177432813
177.737,286.156972655
177.752,286.136402821
177.767,286.115723384
177.782,286.094934413
177.797,286.074035967
177.812,286.053028097
177.827,286.031910845
177.842,286.010684246
177.857,285.989348326
177.872,285.9679031
177.887,285.946348575
177.902,285.924684751
177.917,285.902911615
177.932,285.881029145
177.947,285.859037311
177.96,285.839889226
177.962,285.836936071
177.977,285.814725372
177.992,285.792405154
178.007,285.769975341
178.022,285.747435851
178.037,285.724786588
178.052,285.702027444
178.067,285.679158302
178.082,285.656179032
178.097,285.633089491
178.112,285.609889524
178.127,285.586578965
178.142,285.563157634
