# 48698 WSSS Singapore Observations at 12Z 02 Mar 2019
Frequency [GHz],TB
175.31,280.470103106
175.322,280.447388392
175.337,280.41890584
175.352,280.390323913
175.367,280.361642235
175.382,280.33286047
175.397,280.303978228
175.412,280.274995168
175.427,280.245910912
175.442,280.216725105
175.457,280.187437366
175.472,280.158047335
175.487,280.128554614
175.502,280.098958847
175.517,280.069259628
175.532,280.039456597
175.547,280.009549358
175.562,279.979537515
175.577,279.949420685
175.592,279.919198459
175.607,279.888870464
175.622,279.85843626
175.637,279.827895487
175.652,279.797247715
175.667,279.766492534
175.682,279.73562954
175.697,279.704658318
175.712,279.673578438
175.727,279.642389493
175.742,279.611091052
175.757,279.579682697
175.772,279.54816398
175.787,279.516534492
175.802,279.484793791
175.817,279.452941424
175.832,279.420976961
175.847,279.388899953
175.862,279.356709954
175.877,279.324406524
175.892,279.29198919
175.907,279.259457507
175.922,279.226811012
175.937,279.19404926
175.952,279.161171752
175.967,279.128178034
175.982,279.095067649
175.997,279.0618401
176.012,279.028494916
176.027,278.995031619
176.042,278.961449728
176.057,278.927748735
176.072,278.893928172
176.087,278.85998753
176.102,278.825926321
176.117,278.791744041
176.132,278.757440181
176.147,278.723014241
176.162,278.688465709
176.177,278.653794076
176.192,278.618998813
176.207,278.58407942
176.222,278.549035349
176.237,278.51386609
176.252,278.478571106
176.267,278.443149871
176.282,278.407601841
176.297,278.371926492
176.31,278.340904426
176.312,278.336123255
176.327,278.300191604
176.342,278.264130999
176.357,278.22794086
176.372,278.191620651
176.387,278.15516979
176.402,278.118587755
176.417,278.081873946
176.432,278.045027802
176.447,278.008048767
176.46,277.975892317
176.462,277.970936245
176.477,277.933689668
176.492,277.896308453
176.507,277.858792016
176.522,277.821139764
176.537,277.78335111
176.552,277.74542545
176.567,277.707362203
176.582,277.669160769
176.597,277.630820511
176.612,277.592340859
176.627,277.553721183
176.642,277.514960888
176.657,277.476059325
176.672,277.437015897
176.687,277.397829981
176.702,277.358500933
176.717,277.319028155
176.732,277.279410985
176.747,277.239648799
176.762,277.199740952
176.777,277.159686817
176.792,277.119485734
176.807,277.079137062
176.822,277.03864015
176.837,276.997994337
176.852,276.957198981
176.867,276.916253405
176.882,276.87515696
176.897,276.833908985
176.912,276.792508796
176.927,276.750955733
176.942,276.709249112
176.957,276.667388264
176.972,276.625372517
176.987,276.583201173
177.002,276.54087355
177.017,276.498388968
177.032,276.455746741
177.047,276.412946163
177.062,276.369986548
177.077,276.326867186
177.092,276.283587395
177.107,276.240146462
177.122,276.19654368
177.137,276.152778358
177.152,276.108849756
177.167,276.064757188
177.182,276.02049993
177.197,275.97607727
177.21,275.937443281
177.212,275.931488476
177.227,275.886732859
177.242,275.841809652
177.257,275.796718168
177.272,275.751457658
177.287,275.7060274
177.302,275.66042666
177.31,275.636036317
177.317,275.614654713
177.332,275.568710827
177.347,275.52259425
177.362,275.476304267
177.377,275.429840113
177.392,275.383201075
177.407,275.336386398
177.422,275.289395334
177.437,275.242227136
177.452,275.194881071
177.467,275.147356393
177.482,275.099652341
177.497,275.051768167
177.512,275.003703132
177.527,274.955456473
177.542,274.907027434
177.557,274.858415293
177.572,274.809619268
177.587,274.760638609
177.602,274.711472566
177.617,274.662120373
177.632,274.612581297
177.647,274.562854567
177.66,274.519605693
177.662,274.512939423
177.677,274.462835128
177.692,274.412540911
177.707,274.362056005
177.722,274.311379685
177.737,274.260511169
177.752,274.209449716
177.767,274.158194571
177.782,274.106744979
177.797,274.05510018
177.812,274.003259431
177.827,273.951221966
177.842,273.89898706
177.857,273.846553937
177.872,273.793921869
177.887,273.741090089
177.902,273.688057871
177.917,273.634824448
177.932,273.581389103
177.947,273.527751094
177.96,273.481100285
177.962,273.473909657
177.977,273.419864071
177.992,273.365613608
178.007,273.311157518
178.022,273.256495094
178.037,273.201625601
178.052,273.146548296
178.067,273.091262479
178.082,273.035767424
178.097,272.980062408
178.112,272.924146731
178.127,272.86801968
178.142,272.811680528
178.157,272.755128613
178.172,272.698363187
178.187,272.641383607
178.202,272.584189138
178.217,272.526779119
178.232,272.469152862
178.247,272.41130969
178.262,272.353248911
178.277,272.294969889
178.292,272.236471932
178.307,272.177754403
178.322,272.118816633
178.337,272.05965797
178.352,272.000277787
178.367,271.940675455
178.382,271.880850309
178.397,271.820801745
178.41,271.768578466
178.412,271.760529155
178.427,271.700031896
178.442,271.639309382
178.457,271.578361026
178.472,271.517186206
178.487,271.455784347
178.502,271.39415488
178.517,271.332297216
178.532,271.270210818
178.547,271.207895103
178.562,271.145349526
178.577,271.082573554
178.592,271.019566652
178.607,270.956328292
178.622,270.892857967
178.637,270.829155154
178.652,270.765219367
178.667,270.701050111
178.682,270.636646895
178.697,270.572009266
178.712,270.507136749
178.727,270.442028897
178.742,270.376685257
178.757,270.311105403
178.772,270.245288907
178.787,270.179235357
178.802,270.11294434
178.817,270.046415477
178.832,269.979648384
178.847,269.912642674
178.862,269.845397996
178.877,269.777913994
178.892,269.710190341
178.907,269.642226679
178.922,269.574022715
178.937,269.505578139
178.952,269.436892647
178.967,269.367965957
178.982,269.298797815
178.997,269.229387927
179.012,269.159736068
179.027,269.089841992
179.042,269.019705476
179.057,268.949326311
179.072,268.87870429
179.087,268.807839214
179.102,268.736730935
179.117,268.665379258
179.132,268.593784032
179.147,268.521945133
179.16,268.459487546
179.162,268.44986242
179.177,268.37753579
179.192,268.30496511
179.207,268.232150311
179.222,268.159091309
179.237,268.085788018
179.252,268.012240411
179.267,267.938448415
179.282,267.864412004
179.297,267.79013117
179.312,267.715605871
179.327,267.640836143
179.342,267.565821987
179.357,267.490563409
179.372,267.415060469
179.387,267.339313185
179.402,267.263321635
179.417,267.187085872
179.432,267.110605972
179.447,267.033882023
179.462,266.956914117
179.477,266.879702361
179.492,266.80224686
179.507,266.724547744
179.522,266.646605135
179.537,266.568419165
179.552,266.489989989
179.567,266.411317757
179.582,266.332402614
179.597,266.253244732
179.612,266.173844278
179.627,266.094201424
179.642,266.014316342
179.657,265.934189216
179.672,265.853820247
179.687,265.7732096
179.702,265.692357457
179.717,265.61126403
179.732,265.529929495
179.747,265.448354043
179.762,265.366537855
179.777,265.284481128
179.792,265.202184037
179.807,265.119646766
179.822,265.036869484
179.837,264.953852347
179.852,264.870595543
179.867,264.787099206
179.882,264.703363485
179.897,264.61938851
179.91,264.546416772
179.912,264.53517441
179.927,264.450721292
179.942,264.366029254
179.957,264.281098373
179.972,264.195928724
179.987,264.110520342
180.002,264.024873267
180.017,263.938987506
180.032,263.85286304
180.047,263.76649983
180.062,263.679897818
180.077,263.593056927
180.092,263.505977024
180.107,263.418657968
180.122,263.331099578
180.137,263.243301653
180.152,263.155263925
180.167,263.066986129
180.182,262.978467943
180.197,262.889708989
180.212,262.800708858
180.227,262.711467117
180.242,262.621983256
180.257,262.532256723
180.272,262.442286929
180.287,262.352073202
180.302,262.261614856
180.317,262.17091111
180.332,262.079961137
180.347,261.98876405
180.362,261.897318897
180.377,261.805624649
180.392,261.71368022
180.407,261.621484445
180.422,261.529036084
180.437,261.436333813
180.452,261.343376248
180.467,261.250161895
180.482,261.156689198
180.497,261.062956509
180.512,260.968962078
180.527,260.874704063
180.542,260.780180549
180.557,260.685389497
180.56,260.666398997
180.572,260.590328767
180.587,260.494996129
180.602,260.399389256
180.617,260.30350568
180.632,260.20734285
180.647,260.110898071
180.66,260.027082389
180.662,260.014168575
180.677,259.917151404
180.692,259.819843563
180.707,259.722241869
180.722,259.624343038
180.737,259.526143641
180.752,259.427640127
180.767,259.328828813
180.782,259.229705855
180.797,259.130267311
180.812,259.030509042
180.827,258.930426812
180.842,258.830016221
180.857,258.729272701
180.872,258.628191556
180.887,258.52676794
180.902,258.424996836
180.917,258.322873062
180.932,258.220391312
180.947,258.117546097
180.962,258.014331764
180.977,257.910742502
180.992,257.806772343
181.007,257.702415123
181.022,257.597664574
181.037,257.492514197
181.052,257.386957356
181.067,257.280987246
181.082,257.174596888
181.097,257.067779122
181.112,256.960526658
181.127,256.852832007
181.142,256.744687511
181.157,256.636085348
181.172,256.52701754
181.187,256.417475943
181.202,256.30745223
181.217,256.196937932
181.232,256.085924405
181.247,255.974402852
181.262,255.862364331
181.277,255.749799702
181.292,255.636699734
181.307,255.523054996
181.31,255.50025984
181.322,255.40885593
181.337,255.294092851
181.352,255.178755906
181.367,255.062835114
181.382,254.946320381
181.397,254.829201466
181.412,254.711468019
181.427,254.593109565
181.442,254.474115532
181.457,254.354475222
181.472,254.234177848
181.487,254.113212529
181.502,253.991568308
181.517,253.869234122
181.532,253.746198859
181.547,253.622451329
181.562,253.497980307
181.577,253.372774495
181.592,253.24682254
181.607,253.120113119
181.622,252.992634827
181.637,252.864376266
181.652,252.735326039
181.667,252.605472769
181.682,252.474805073
181.697,252.343311616
181.712,252.210981094
181.727,252.077802269
181.742,251.943763954
181.757,251.808855056
181.772,251.67306456
181.787,251.536381562
181.802,251.398795284
181.817,251.260295082
181.832,251.120870458
181.847,250.980511066
181.862,250.83920677
181.877,250.69694761
181.892,250.553723847
181.907,250.409525992
181.922,250.264344784
181.937,250.118171256
181.952,249.970996711
181.967,249.822812791
181.982,249.673611443
181.997,249.523384991
182.012,249.372126137
182.027,249.219827981
182.042,249.066484053
182.057,248.91208835
182.06,248.881082497
182.072,248.756635308
182.087,248.600119942
182.102,248.442537736
182.117,248.283884777
182.132,248.124157755
182.147,247.963353992
182.162,247.801471452
182.177,247.638508825
182.192,247.474465534
182.207,247.309341787
182.222,247.143138587
182.237,246.975857823
182.252,246.807502257
182.267,246.638075635
182.282,246.467582673
182.297,246.296029137
182.312,246.1234219
182.327,245.949768991
182.342,245.775079624
182.357,245.599364297
182.372,245.422634872
182.387,245.244904547
182.402,245.066188048
182.417,244.88650161
182.432,244.705863086
182.447,244.52429204
182.462,244.341809835
182.477,244.158439693
182.492,243.974206812
182.507,243.789138452
182.522,243.603264103
182.537,243.416615497
182.552,243.22922682
182.567,243.041134803
182.582,242.852378846
182.597,242.663001196
182.612,242.4730471
182.627,242.282564904
182.642,242.091606321
182.657,241.900226549
182.672,241.708484491
182.687,241.516442924
182.702,241.324168755
182.717,241.131733189
182.732,240.939211997
182.747,240.746685694
182.762,240.554239818
182.777,240.361965091
182.792,240.16995772
182.807,239.978319481
182.822,239.787157976
182.837,239.596586752
182.852,239.406725352
182.867,239.21769935
182.882,239.029640243
182.897,238.842685243
182.912,238.656976939
182.927,238.472662607
182.942,238.289893459
182.957,238.108823364
182.972,237.929607262
182.987,237.752398939
183.002,237.577348149
183.017,237.404596851
183.032,237.234274364
183.047,237.066491168
