# 10410 EDZE Essen Observations at 12Z 10 Mar 2019
Frequency [GHz],TB
175.31,270.715966284
175.322,270.72529977
175.337,270.736814199
175.352,270.748158686
175.367,270.759332613
175.382,270.770335374
175.397,270.781166363
175.412,270.791824978
175.427,270.802310623
175.442,270.812622706
175.457,270.822760642
175.472,270.832723848
175.487,270.842511748
175.502,270.852123769
175.517,270.861559346
175.532,270.870817916
175.547,270.879898926
175.562,270.888801825
175.577,270.897526066
175.592,270.906071112
175.607,270.914436427
175.622,270.922621486
175.637,270.930625766
175.652,270.93844875
175.667,270.946089932
175.682,270.9535488
175.697,270.960824867
175.712,270.967917632
175.727,270.974826619
175.742,270.981551344
175.757,270.988091337
175.772,270.994446131
175.787,271.000615272
175.802,271.006598305
175.817,271.012394783
175.832,271.018004274
175.847,271.023426344
175.862,271.028660571
175.877,271.03370654
175.892,271.038563839
175.907,271.043232068
175.922,271.047710833
175.937,271.051999749
175.952,271.056098437
175.967,271.060006524
175.982,271.06372365
175.997,271.067249459
176.012,271.070583603
176.027,271.073725744
176.042,271.07667555
176.057,271.079432701
176.072,271.081996879
176.087,271.084367781
176.102,271.086545107
176.117,271.088528572
176.132,271.090317894
176.147,271.091912798
176.162,271.093313027
176.177,271.094518323
176.192,271.095528442
176.207,271.096343149
176.222,271.096962218
176.237,271.097385429
176.252,271.097612571
176.267,271.09764345
176.282,271.097477874
176.297,271.097115662
176.31,271.096642555
176.312,271.096556642
176.327,271.095800654
176.342,271.094847543
176.357,271.093697171
176.372,271.092349403
176.387,271.090804115
176.402,271.089061194
176.417,271.087120539
176.432,271.084982053
176.447,271.082645655
176.46,271.080460633
176.462,271.080111272
176.477,271.07737884
176.492,271.074448306
176.507,271.071319626
176.522,271.067992767
176.537,271.064467709
176.552,271.060744434
176.567,271.056822948
176.582,271.052703252
176.597,271.048385369
176.612,271.043869324
176.627,271.039155162
176.642,271.034242929
176.657,271.029132687
176.672,271.023824507
176.687,271.018318468
176.702,271.012614668
176.717,271.006713205
176.732,271.000614193
176.747,270.994317755
176.762,270.987824029
176.777,270.981133158
176.792,270.974245297
176.807,270.967160615
176.822,270.959879285
176.837,270.952401497
176.852,270.944727451
176.867,270.936857354
176.882,270.928791425
176.897,270.920529893
176.912,270.912073004
176.927,270.903421005
176.942,270.894574159
176.957,270.885532738
176.972,270.876297022
176.987,270.866867309
177.002,270.857243901
177.017,270.847427111
177.032,270.837417265
177.047,270.827214696
177.062,270.81681975
177.077,270.806232784
177.092,270.79545416
177.107,270.784484255
177.122,270.773323456
177.137,270.761972156
177.152,270.750430763
177.167,270.738699691
177.182,270.726779365
177.197,270.714670221
177.21,270.704023239
177.212,270.702372703
177.227,270.689887265
177.242,270.67721437
177.257,270.664354493
177.272,270.651308115
177.287,270.638075729
177.302,270.624657834
177.31,270.617425946
177.317,270.61105494
177.332,270.597267567
177.347,270.583296241
177.362,270.569141499
177.377,270.554803885
177.392,270.540283955
177.407,270.525582268
177.422,270.510699394
177.437,270.495635912
177.452,270.48039241
177.467,270.464969477
177.482,270.449367719
177.497,270.433587743
177.512,270.417630168
177.527,270.401495614
177.542,270.385184714
177.557,270.368698106
177.572,270.352036435
177.587,270.335200353
177.602,270.318190519
177.617,270.301007594
177.632,270.283652249
177.647,270.266125164
177.66,270.25079663
177.662,270.248427018
177.677,270.230558498
177.692,270.212520302
177.707,270.194313124
177.722,270.175937671
