# 01004 ENAS Ny-Alesund Ii Observations at 12Z 13 Mar 2019
Frequency [GHz],TB
175.31,195.044520368
175.322,195.106121603
175.337,195.1833623
175.352,195.260869565
175.367,195.338644303
175.382,195.41668742
175.397,195.49499982
175.412,195.57358241
175.427,195.652436096
175.442,195.731561783
175.457,195.810960379
175.472,195.890632789
175.487,195.970579921
175.502,196.05080268
175.517,196.131301972
175.532,196.212078704
175.547,196.293133782
175.562,196.37446811
175.577,196.456082594
175.592,196.537978138
175.607,196.620155647
175.622,196.702616024
175.637,196.785360171
175.652,196.868388991
175.667,196.951703386
175.682,197.035304254
175.697,197.119192496
175.712,197.203369009
175.727,197.287834692
175.742,197.372590439
175.757,197.457637146
175.772,197.542975705
175.787,197.628607008
175.802,197.714531945
175.817,197.800751405
175.832,197.887266274
175.847,197.974077438
175.862,198.061185779
175.877,198.148592177
175.892,198.236297512
175.907,198.32430266
175.922,198.412608496
175.937,198.50121589
175.952,198.590125711
175.967,198.679338828
175.982,198.768856102
175.997,198.858678395
176.012,198.948806565
176.027,199.039241466
176.042,199.12998395
176.057,199.221034864
176.072,199.312395054
176.087,199.404065361
176.102,199.496046622
176.117,199.58833967
176.132,199.680945335
176.147,199.773864443
176.162,199.867097815
176.177,199.960646268
176.192,200.054510614
176.207,200.14869166
176.222,200.24319021
176.237,200.338007063
176.252,200.43314301
176.267,200.528598841
176.282,200.624375336
176.297,200.720473273
176.31,200.80401876
176.312,200.816893424
176.327,200.913636554
176.342,201.010703421
176.357,201.10809478
176.372,201.205811378
176.387,201.303853955
176.402,201.402223245
176.417,201.500919974
176.432,201.599944863
176.447,201.699298625
176.46,201.785671786
176.462,201.798981965
176.477,201.898995582
176.492,201.999340165
176.507,202.100016397
176.522,202.201024952
176.537,202.302366497
176.552,202.404041688
176.567,202.506051175
176.582,202.608395597
176.597,202.711075585
176.612,202.814091761
176.627,202.917444738
176.642,203.021135116
176.657,203.125163488
176.672,203.229530438
176.687,203.334236535
176.702,203.439282343
176.717,203.544668411
176.732,203.650395278
176.747,203.756463472
176.762,203.862873511
176.777,203.969625898
176.792,204.076721126
176.807,204.184159675
176.822,204.291942014
176.837,204.400068597
176.852,204.508539867
176.867,204.617356252
176.882,204.726518166
176.897,204.836026012
176.912,204.945880177
176.927,205.056081032
176.942,205.166628937
176.957,205.277524234
176.972,205.388767251
176.987,205.5003583
177.002,205.612297678
177.017,205.724585665
177.032,205.837222525
177.047,205.950208505
177.062,206.063543835
177.077,206.177228728
177.092,206.291263379
177.107,206.405647964
177.122,206.520382642
177.137,206.635467554
177.152,206.75090282
177.167,206.866688541
177.182,206.9828248
177.197,207.099311659
177.21,207.200550565
177.212,207.216149159
177.227,207.33333732
177.242,207.450876142
177.257,207.568765604
177.272,207.687005662
177.287,207.805596249
177.302,207.924537278
177.31,207.988115747
177.317,208.043828636
177.332,208.163470189
177.347,208.283461779
177.362,208.403803223
177.377,208.524494313
177.392,208.645534817
177.407,208.766924477
177.422,208.888663012
177.437,209.01075011
177.452,209.133185435
177.467,209.255968626
177.482,209.37909929
177.497,209.50257701
177.512,209.626401339
177.527,209.750571801
177.542,209.875087891
177.557,209.999949075
177.572,210.125154788
177.587,210.250704435
177.602,210.37659739
177.617,210.502832994
177.632,210.629410558
177.647,210.75632936
177.66,210.866601095
177.662,210.883588644
177.677,211.011187621
177.692,211.139125469
177.707,211.26740133
177.722,211.396014313
177.737,211.524963488
177.752,211.654247893
177.767,211.783866527
177.782,211.913818354
177.797,212.044102297
177.812,212.174717246
177.827,212.305662047
177.842,212.43693551
177.857,212.568536405
177.872,212.700463462
177.887,212.832715367
177.902,212.96529077
177.917,213.098188275
177.932,213.231406444
177.947,213.364943797
177.96,213.480933178
177.962,213.498798812
