# 78954 TBPB Grantley Adams Observations at 12Z 16 Mar 2019
Frequency [GHz],TB
175.31,278.797270874
175.322,278.78060726
175.337,278.759727323
175.352,278.738791256
175.367,278.71779894
175.382,278.696750256
175.397,278.675645082
175.412,278.654483297
175.427,278.633264779
175.442,278.611989404
175.457,278.590657047
175.472,278.569267583
175.487,278.547820884
175.502,278.526316823
175.517,278.504755271
175.532,278.483136099
175.547,278.461459175
175.562,278.439724367
175.577,278.417931543
175.592,278.396080568
175.607,278.374171306
175.622,278.352203623
175.637,278.330177379
175.652,278.308092437
175.667,278.285948656
175.682,278.263745897
175.697,278.241484017
175.712,278.219162873
175.727,278.196782321
175.742,278.174342216
175.757,278.15184241
175.772,278.129282758
175.787,278.106663109
175.802,278.083983313
175.817,278.061243221
175.832,278.038442679
175.847,278.015581533
175.862,277.99265963
175.877,277.969676813
175.892,277.946632925
175.907,277.923527807
175.922,277.900361302
175.937,277.877133247
175.952,277.85384348
175.967,277.83049184
175.982,277.80707816
175.997,277.783602276
176.012,277.760064021
176.027,277.736463226
176.042,277.712799723
176.057,277.68907334
176.072,277.665283906
176.087,277.641431247
176.102,277.61751519
176.117,277.593535558
176.132,277.569492175
176.147,277.545384862
176.162,277.521213441
176.177,277.496977729
176.192,277.472677546
176.207,277.448312707
176.222,277.423883028
176.237,277.399388323
176.252,277.374828405
176.267,277.350203085
176.282,277.325512173
176.297,277.300755479
176.31,277.279246317
176.312,277.275932809
176.327,277.25104397
176.342,277.226088767
176.357,277.201067002
176.372,277.175978479
176.387,277.150822998
176.402,277.125600358
176.417,277.100310359
176.432,277.074952796
176.447,277.049527465
176.46,277.027437203
176.462,277.024034161
176.477,276.998472675
176.492,276.972842801
176.507,276.947144326
176.522,276.921377042
176.537,276.895540734
176.552,276.869635188
176.567,276.843660191
176.582,276.817615524
176.597,276.791500969
176.612,276.765316308
176.627,276.73906132
176.642,276.712735782
176.657,276.68633947
176.672,276.659872161
176.687,276.633333626
176.702,276.60672364
176.717,276.580041973
176.732,276.553288393
176.747,276.526462671
176.762,276.499564571
176.777,276.47259386
176.792,276.445550302
176.807,276.41843366
176.822,276.391243693
176.837,276.363980163
176.852,276.336642828
176.867,276.309231444
176.882,276.281745768
176.897,276.254185554
176.912,276.226550554
176.927,276.198840519
176.942,276.171055201
176.957,276.143194347
176.972,276.115257704
176.987,276.087245019
177.002,276.059156035
177.017,276.030990496
177.032,276.002748144
177.047,275.974428717
177.062,275.946031955
177.077,275.917557595
177.092,275.889005372
177.107,275.860375022
177.122,275.831666277
177.137,275.802878869
177.152,275.774012527
177.167,275.74506698
177.182,275.716041955
177.197,275.686937178
177.21,275.661648315
177.212,275.657752374
177.227,275.628487264
177.242,275.59914157
177.257,275.569715012
177.272,275.540207309
177.287,275.510618177
177.302,275.480947331
177.31,275.46508937
177.317,275.451194486
177.332,275.421359354
177.347,275.391441645
177.362,275.36144107
177.377,275.331357336
177.392,275.301190149
177.407,275.270939214
177.422,275.240604236
177.437,275.210184914
177.452,275.17968095
177.467,275.149092042
177.482,275.118417888
177.497,275.087658183
177.512,275.056812621
177.527,275.025880894
177.542,274.994862693
177.557,274.963757708
177.572,274.932565626
177.587,274.901286132
177.602,274.869918912
177.617,274.838463648
177.632,274.806920021
177.647,274.775287709
177.66,274.747801055
177.662,274.743566392
177.677,274.711755745
177.692,274.679855442
177.707,274.647865155
177.722,274.615784556
177.737,274.583613312
177.752,274.551351093
177.767,274.518997562
177.782,274.486552385
177.797,274.454015221
177.812,274.421385732
177.827,274.388663575
177.842,274.355848407
177.857,274.322939881
177.872,274.289937651
177.887,274.256841366
177.902,274.223650675
177.917,274.190365224
177.932,274.156984657
177.947,274.123508618
177.96,274.094418545
177.962,274.089936745
177.977,274.056268678
177.992,274.022504051
178.007,273.9886425
178.022,273.954683654
178.037,273.920627144
178.052,273.886472597
178.067,273.852219637
178.082,273.817867887
178.097,273.783416966
178.112,273.748866493
178.127,273.714216082
178.142,273.679465345
178.157,273.644613894
178.172,273.609661335
178.187,273.574607272
178.202,273.539451309
178.217,273.504193045
178.232,273.468832076
178.247,273.433367995
178.262,273.397800394
178.277,273.362128861
178.292,273.326352981
178.307,273.290472334
178.322,273.254486501
178.337,273.218395057
178.352,273.182197573
178.367,273.145893619
178.382,273.109482761
178.397,273.07296456
178.41,273.041228283
178.412,273.036338575
178.427,272.999604362
178.442,272.962761471
178.457,272.92580945
178.472,272.888747843
178.487,272.851576189
178.502,272.814294025
178.517,272.776900882
178.532,272.739396287
178.547,272.701779765
178.562,272.664050833
178.577,272.626209006
178.592,272.588253794
178.607,272.550184702
178.622,272.512001231
178.637,272.473702875
178.652,272.435289126
178.667,272.396759468
178.682,272.358113382
178.697,272.319350343
178.712,272.280469819
178.727,272.241471274
178.742,272.202354166
178.757,272.163117948
178.772,272.123762064
178.787,272.084285955
178.802,272.044689055
178.817,272.004970789
178.832,271.965130579
178.847,271.925167838
178.862,271.885081973
178.877,271.844872383
178.892,271.804538461
178.907,271.764079591
178.922,271.72349515
178.937,271.682784509
178.952,271.641947028
178.967,271.60098206
178.982,271.559888951
178.997,271.518667037
179.012,271.477315644
179.027,271.435834093
179.042,271.394221691
179.057,271.352477738
179.072,271.310601526
179.087,271.268592333
179.102,271.226449431
179.117,271.184172079
179.132,271.141759525
179.147,271.09921101
179.16,271.062225054
179.162,271.056525759
179.177,271.013702989
179.192,270.970741904
179.207,270.927641695
179.222,270.884401544
179.237,270.841020617
179.252,270.79749807
179.267,270.753833044
179.282,270.710024667
179.297,270.666072055
179.312,270.621974307
179.327,270.57773051
179.342,270.533339736
179.357,270.488801041
179.372,270.444113467
179.387,270.399276038
179.402,270.354287765
179.417,270.30914764
179.432,270.26385464
179.447,270.218407724
179.462,270.172805833
179.477,270.127047891
179.492,270.081132802
179.507,270.035059453
179.522,269.988826712
179.537,269.942433425
179.552,269.89587842
179.567,269.849160505
179.582,269.802278464
179.597,269.755231062
179.612,269.708017042
179.627,269.660635125
179.642,269.613084007
